evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.0016452311817261073,1,,177,100
1,6,31,831,3.026843614512798e-07,0,,178,100
2,14,78,878,5.068622063293314e-10,0,,179,100
3,19,112,912,2.107482135257533e-10,0,,181,100
4,24,145,945,4.725168600577928e-07,0,,184,100
5,29,170,970,1.9866512805075926e-09,0,,183,100
6,35,200,1000,1.3391815351386248e-09,0,,180,100
7,45,255,1055,3.209111993890462e-13,0,,182,100
8,52,297,1097,3.162226143629288e-14,0,,181,100
9,57,321,1121,8.4464174208554e-16,0,,179,100
10,62,348,1148,3.925444665201845e-09,0,,178,100
11,68,374,1174,3.497033383521764e-17,0,,177,100
12,75,411,1211,1.820855533032269e-13,0,,174,100
13,81,443,1243,4.247704807081334e-14,0,,174,100
14,86,469,1269,9.805722812974455e-09,0,,174,100
15,91,498,1298,7.939328629333253e-08,0,,174,100
16,96,527,1327,6.52972397866394e-11,0,,175,100
17,104,567,1367,7.059030737175897e-15,0,,172,100
18,109,590,1390,5.4778729409629e-15,0,,170,100
19,114,628,1428,4.123214956902392e-13,0,,172,100
20,120,666,1466,1.58697606072873e-16,0,,168,100
21,125,692,1492,3.7504754417131897e-16,0,,163,100
22,130,729,1529,3.5943543831054467e-09,0,,153,100
23,135,754,1554,1.7170245811323642e-10,0,,148,100
24,143,795,1595,3.1793393504231745e-12,0,,139,100
25,149,827,1627,6.956133312658294e-12,0,,132,100
26,156,861,1661,2.049641915179084e-12,0,,124,100
27,162,887,1687,1.03996325209736e-09,0,,117,100
28,167,914,1714,6.296074115974963e-13,0,,110,100
29,173,942,1742,4.1814563660657127e-10,0,,105,100
30,178,973,1773,2.2182228222852686e-12,0,,100,100
