evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9558569385686947,1,,153,100
1,6,39,839,1.072397879698613e-05,0,,151,100
2,11,71,871,0.00029074771501052556,0,,152,100
3,17,99,899,0.00022614032700524745,0,,152,100
4,22,148,948,0.0033296157601257464,1,,155,100
5,27,172,972,0.00020404878255405896,0,,155,100
6,34,233,1033,0.013797950706326724,1,,156,100
7,39,262,1062,0.00018502369005221262,0,,147,100
8,44,307,1107,2.5922318377868272e-05,0,,139,100
9,49,335,1135,0.00010200676367266943,0,,132,100
10,55,365,1165,0.007429368589996365,1,,126,100
11,61,397,1197,0.004349264203215834,1,,119,100
12,66,435,1235,0.10378985162734294,1,,111,100
13,71,466,1266,1.3321095263870024e-05,0,,106,100
14,77,507,1307,6.550097142802063e-05,0,,100,100
