evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.0010055129737385773,1,,179,100
1,33,195,995,1.4043100374334922e-11,0,,181,100
2,48,297,1097,2.6586839640438915e-06,0,,181,100
3,70,411,1211,1.4182281110300872e-20,0,,181,100
4,75,435,1235,8.947077414802678e-27,0,,181,100
5,82,481,1281,7.39152517911855e-18,0,,177,100
6,91,530,1330,4.01073886850924e-12,0,,176,100
7,96,556,1356,1.1204617119544095e-08,0,,175,100
8,101,576,1376,3.539326561585764e-07,0,,173,100
9,110,617,1417,0.00129548409956763,1,,171,100
10,119,660,1460,5.878297244001579e-07,0,,170,100
11,127,714,1514,2.5868051369178685e-08,0,,168,100
12,139,797,1597,2.9996321987975616e-16,0,,172,100
13,144,828,1628,1.3017519571474277e-12,0,,172,100
14,149,856,1656,7.696941429337589e-18,0,,173,100
15,154,901,1701,1.4350761895196596e-15,0,,174,100
16,162,942,1742,6.237626487021211e-20,0,,172,100
17,168,975,1775,4.400861956458691e-05,0,,168,100
18,174,1002,1802,2.4146025215687547e-13,0,,167,100
19,179,1027,1827,4.4984702780410634e-11,0,,164,100
20,185,1065,1865,1.2261205738045234e-13,0,,166,100
21,191,1102,1902,4.453413871566516e-16,0,,168,100
22,200,1147,1947,2.056887974331217e-15,0,,166,100
23,220,1250,2050,4.062798413120715e-13,0,,159,100
24,227,1289,2089,4.924266887670659e-10,0,,162,100
25,268,1513,2313,3.622674701722273e-18,0,,162,100
26,276,1567,2367,1.813937026220106e-11,0,,165,100
27,399,2279,3079,1.623374133470396e-21,0,,109,100
28,406,2320,3120,2.073223787485334e-16,0,,101,100
