evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,1.521443480756164e-07,0,,177,100
1,6,31,831,2.8774662365940172e-12,0,,178,100
2,14,78,878,1.9469469067978166e-13,0,,179,100
3,19,112,912,4.4106502732361775e-13,0,,181,100
4,24,145,945,5.133605305453233e-13,0,,184,100
5,29,170,970,1.2072433143579082e-13,0,,183,100
6,35,200,1000,3.4235896408759454e-13,0,,180,100
7,45,255,1055,9.567813838627008e-15,0,,182,100
8,52,297,1097,1.5533843884714116e-14,0,,181,100
9,57,321,1121,3.649471798171201e-15,0,,179,100
10,62,348,1148,2.570030893922766e-14,0,,178,100
11,68,374,1174,8.966302703337518e-14,0,,177,100
12,75,411,1211,2.1063729826423823e-17,0,,174,100
13,81,443,1243,6.792576242156286e-19,0,,174,100
14,86,469,1269,1.9502169788339868e-15,0,,174,100
15,91,498,1298,1.4407516205700793e-15,0,,174,100
16,96,527,1327,1.494915637770969e-19,0,,175,100
17,104,567,1367,4.0115765323310657e-19,0,,172,100
18,109,590,1390,2.1018131694062378e-15,0,,170,100
19,114,628,1428,1.3472765407421202e-16,0,,172,100
20,120,666,1466,3.6958208399753464e-17,0,,168,100
21,125,692,1492,3.1723665698176205e-18,0,,163,100
22,130,729,1529,1.4927845405770913e-10,0,,153,100
23,135,754,1554,9.110426707578184e-13,0,,148,100
24,143,795,1595,2.731127807447202e-21,0,,139,100
25,149,827,1627,9.03968154685996e-19,0,,132,100
26,156,861,1661,9.7936847736027e-15,0,,124,100
27,162,887,1687,2.4076774496817038e-17,0,,117,100
28,167,914,1714,1.2054023086437608e-15,0,,110,100
29,173,942,1742,2.3565374220475176e-16,0,,105,100
30,178,973,1773,2.61905725858955e-17,0,,100,100
