evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.9026965444945626,1,,153,100
1,6,39,839,1.0492544560091421e-05,0,,151,100
2,11,71,871,0.0002703445477291669,0,,152,100
3,17,99,899,0.00021039593183556495,0,,152,100
4,22,148,948,0.0029890972929362087,1,,155,100
5,27,172,972,0.00020103388675328445,0,,155,100
6,34,233,1033,0.012697230646884583,1,,156,100
7,39,262,1062,0.00018001819120628428,0,,147,100
8,44,307,1107,3.182363948893955e-06,0,,139,100
9,49,335,1135,6.310531344963467e-06,0,,132,100
10,55,365,1165,0.0007183181283027146,0,,126,100
11,61,397,1197,0.00036425953018315565,0,,119,100
12,66,435,1235,0.09131920120274499,1,,111,100
13,71,466,1266,1.1377697250891074e-05,0,,106,100
14,77,507,1307,5.7373993598378325e-05,0,,100,100
