evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.002595910592338854,1,,150,100
1,7,44,844,5.7820248674503344e-05,0,,152,100
2,12,81,881,0.8167529172355827,1,,151,100
3,25,175,975,0.012926327314207408,1,,153,100
4,32,226,1026,0.3384290942254164,1,,156,100
5,39,268,1068,0.02547274474365384,1,,156,100
6,48,336,1136,0.20869389893314552,1,,157,100
7,53,376,1176,0.5882525045325345,1,,162,100
8,58,408,1208,0.9657211037278025,1,,164,100
9,65,469,1269,0.005917178333357214,1,,165,100
10,70,507,1307,0.011192775537091536,1,,165,100
11,83,590,1390,0.13430321971238074,1,,167,100
12,89,620,1420,0.942148433940244,1,,167,100
13,95,670,1470,0.33867506436639316,1,,163,100
14,100,711,1511,0.0399792758187265,1,,156,100
15,105,739,1539,0.8407490430147778,1,,151,100
16,111,782,1582,0.7918968687497112,1,,142,100
17,118,832,1632,0.9846320167217455,1,,132,100
18,126,878,1678,0.4415323202711556,1,,121,100
19,132,923,1723,0.12763790668367309,1,,116,100
20,137,953,1753,0.9389722726345713,1,,106,100
