evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.6081409095936429,1,,178,100
1,8,53,853,0.03146674221715723,1,,180,100
2,17,105,905,0.0008770883489627519,0,,174,100
3,22,137,937,0.01611462891598044,1,,170,100
4,28,180,980,9.46160399365008e-06,0,,172,100
5,34,207,1007,9.042162156744864e-08,0,,170,100
6,39,243,1043,0.00012832667497199012,0,,171,100
7,45,281,1081,0.6378775396541184,1,,169,100
8,50,323,1123,0.5163348764494847,1,,173,100
9,57,359,1159,0.8603884619538341,1,,168,100
10,62,389,1189,0.734372155266497,1,,163,100
11,67,424,1224,0.7988538418901994,1,,157,100
12,72,449,1249,0.008149357716884973,1,,151,100
13,78,486,1286,0.08868902505051679,1,,144,100
14,90,543,1343,0.7300686569843596,1,,132,100
15,96,585,1385,0.5855128497710254,1,,123,100
16,102,607,1407,0.2182832050221265,1,,116,100
17,113,677,1477,0.695648871114534,1,,101,100
