evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,4.5049109566914603e-07,0,,165,100
1,121,835,1635,5.582776579898881e-07,0,,165,100
2,169,1204,2004,2.5802162039042e-19,0,,168,100
3,180,1289,2089,3.304979819636872e-06,0,,170,100
4,193,1396,2196,1.0666874843437982e-05,0,,178,100
5,200,1444,2244,1.785925309787586e-06,0,,175,100
6,258,1808,2608,2.0913835961611617e-09,0,,164,100
7,282,1990,2790,1.5242806014777574e-15,0,,162,100
8,293,2073,2873,4.07102028559442e-22,0,,162,100
9,304,2130,2930,6.126500639668875e-10,0,,162,100
10,309,2164,2964,9.298944935071794e-12,0,,160,100
11,366,2553,3353,3.4293350641744115e-12,0,,161,100
12,381,2663,3463,1.6721873280915985e-12,0,,157,100
13,388,2715,3515,2.5724633968547886e-08,0,,158,100
14,393,2753,3553,4.4117435784230997e-13,0,,161,100
15,445,3120,3920,2.5243748138774074e-07,0,,169,100
16,457,3211,4011,1.9728302286430803e-07,0,,169,100
17,474,3334,4134,1.8992812228802303e-08,0,,177,100
18,481,3383,4183,8.657339489335024e-11,0,,171,100
19,523,3731,4531,2.3299179998705017e-14,0,,171,100
20,528,3761,4561,7.706928608678991e-08,0,,167,100
21,547,3882,4682,1.8607254709249208e-07,0,,163,100
22,555,3974,4774,3.248690081180717e-10,0,,160,100
23,561,4009,4809,3.696955289108486e-08,0,,165,100
24,581,4142,4942,5.085396499028006e-13,0,,160,100
25,597,4261,5061,1.9504590935579066e-07,0,,165,100
26,602,4301,5101,1.2527004758895342e-05,0,,165,100
27,618,4421,5221,3.26397757172657e-11,0,,167,100
28,636,4546,5346,1.053385174535693e-08,0,,169,100
29,649,4659,5459,3.112131486878051e-09,0,,173,100
30,680,4868,5668,4.576415942279599e-06,0,,179,100
31,697,4977,5777,3.5648610195939396e-06,0,,175,100
32,703,5016,5816,0.00022685221668028457,0,,172,100
33,719,5128,5928,1.0372243870358605e-07,0,,170,100
34,724,5161,5961,3.3656202999227953e-10,0,,167,100
35,744,5291,6091,8.581778136766441e-14,0,,163,100
36,759,5393,6193,3.837936840923636e-19,0,,162,100
37,792,5619,6419,5.635314712280829e-16,0,,156,100
38,798,5649,6449,9.790421886599299e-14,0,,151,100
39,804,5703,6503,0.00015705663201274691,0,,151,100
40,811,5757,6557,5.632062968299727e-10,0,,153,100
41,816,5789,6589,1.5361624701490735e-09,0,,155,100
42,823,5850,6650,2.452439490177589e-09,0,,155,100
43,829,5891,6691,2.2916019385099604e-12,0,,154,100
44,847,5997,6797,1.9119419903657055e-09,0,,150,100
45,929,6598,7398,2.5853058169244467e-17,0,,149,100
46,948,6741,7541,1.923372427177454e-14,0,,152,100
47,957,6814,7614,3.4573787391436426e-15,0,,159,100
48,966,6883,7683,6.632966337832819e-16,0,,159,100
49,975,6945,7745,3.961823949490797e-17,0,,161,100
50,980,6979,7779,1.541356518198828e-20,0,,158,100
51,993,7077,7877,1.5128428640335852e-09,0,,165,100
52,1003,7155,7955,5.045011750131352e-09,0,,162,100
53,1014,7248,8048,3.685427309530896e-11,0,,164,100
54,1020,7277,8077,3.131224641528688e-09,0,,167,100
55,1026,7317,8117,7.547552289503815e-07,0,,166,100
56,1033,7363,8163,4.0017837382291155e-11,0,,166,100
57,1043,7455,8255,7.892616228149188e-11,0,,168,100
58,1048,7481,8281,2.5518579539070696e-07,0,,167,100
59,1054,7527,8327,0.011761896351831957,1,,168,100
60,1059,7575,8375,0.0001294861850536466,0,,165,100
61,1064,7608,8408,8.780244491593334e-05,0,,162,100
62,1073,7671,8471,1.443027611971131e-10,0,,160,100
63,1090,7781,8581,2.6074643941566154e-08,0,,166,100
64,1104,7873,8673,4.347547358029647e-07,0,,162,100
65,1110,7916,8716,0.0032156380164596967,1,,162,100
66,1115,7950,8750,0.0024020226798311564,1,,162,100
67,1125,8020,8820,0.00014878686034983685,0,,161,100
68,1140,8121,8921,1.1143710487470393e-08,0,,159,100
69,1159,8288,9088,4.678070791825161e-12,0,,164,100
70,1164,8323,9123,1.3450852615251225e-10,0,,163,100
71,1171,8386,9186,1.1477162657747085e-06,0,,165,100
72,1176,8417,9217,8.114844886415089e-09,0,,167,100
73,1181,8456,9256,0.013885105879002302,1,,166,100
74,1186,8491,9291,4.124791058222018e-05,0,,172,100
75,1191,8526,9326,7.180953359353552e-07,0,,167,100
76,1197,8559,9359,1.1547231612462073e-06,0,,165,100
77,1202,8593,9393,1.1949084333044577e-08,0,,165,100
78,1213,8686,9486,0.009850816411893186,1,,167,100
79,1218,8724,9524,6.952900618219861e-06,0,,168,100
80,1227,8775,9575,0.00011488679353220213,0,,167,100
81,1234,8823,9623,2.2951349403415712e-07,0,,165,100
82,1241,8885,9685,4.946331794179478e-05,0,,166,100
83,1246,8924,9724,0.005194469173979414,1,,170,100
84,1257,8980,9780,1.2535397997035487e-09,0,,168,100
85,1262,9004,9804,7.451673264587548e-07,0,,168,100
86,1276,9100,9900,1.8008858271352852e-16,0,,163,100
87,1286,9171,9971,3.1169807377700416e-16,0,,163,100
88,1315,9382,10182,1.7065858487068188e-23,0,,170,100
89,1335,9525,10325,3.549457564287815e-10,0,,170,100
