evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,1.571750535761467e-05,0,,165,100
1,54,345,1145,2.3570915078828345e-05,0,,166,100
2,116,722,1522,2.223436385901696e-19,0,,162,100
3,124,766,1566,2.7981317119133565e-15,0,,163,100
4,150,910,1710,8.393983031067469e-10,0,,162,100
5,162,976,1776,2.153835928173469e-07,0,,158,100
6,172,1025,1825,2.559466294796114e-12,0,,156,100
7,183,1106,1906,4.181065997976149e-11,0,,152,100
8,189,1142,1942,9.153426017171486e-15,0,,156,100
9,569,3409,4209,2.3469945964972033e-25,0,,174,100
10,1444,8434,9234,1.0039526975527872e-08,0,,181,100
11,1462,8539,9339,1.717514542335966e-08,0,,173,100
12,1487,8678,9478,1.5698439632465497e-15,0,,170,100
13,1502,8770,9570,3.8530049270534247e-19,0,,172,100
14,1537,8999,9799,3.2456945407997264e-11,0,,179,100
15,1545,9046,9846,7.302475793216338e-10,0,,180,100
16,1572,9213,10013,3.037782055458219e-13,0,,182,100
17,1577,9243,10043,1.5894565385323397e-21,0,,184,100
18,1615,9489,10289,1.5593036925707571e-15,0,,186,100
19,1636,9615,10415,5.231637253435124e-23,0,,177,100
20,1646,9679,10479,5.435388516855308e-15,0,,175,100
21,1672,9815,10615,2.3053300414523095e-10,0,,171,100
