evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.7036338543094919,1,,178,100
1,8,53,853,0.014795239327483252,1,,180,100
2,17,105,905,0.00013306840154336195,0,,174,100
3,22,137,937,7.974158171935522e-09,0,,170,100
4,28,180,980,2.4761590081914525e-13,0,,172,100
5,34,207,1007,1.3361921110424163e-13,0,,170,100
6,39,243,1043,1.251488628683908e-12,0,,171,100
7,45,281,1081,0.5822195701986309,1,,169,100
8,50,323,1123,0.5148627628180473,1,,173,100
9,57,359,1159,0.025624292121924068,1,,168,100
10,62,389,1189,0.019572530886252826,1,,163,100
11,67,424,1224,0.004689775266237516,1,,157,100
12,72,449,1249,0.025928844812275857,1,,151,100
13,78,486,1286,0.008282050107849477,1,,144,100
14,90,543,1343,0.7372305523071675,1,,132,100
15,96,585,1385,0.9096530112724488,1,,123,100
16,102,607,1407,0.9507131735551169,1,,116,100
17,113,677,1477,0.731392649074039,1,,101,100
