evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,1.1937211271227529e-05,0,,179,100
1,33,195,995,2.2999724965038344e-06,0,,181,100
2,48,297,1097,5.257165889322022e-09,0,,181,100
3,70,411,1211,8.094643792456077e-05,0,,181,100
4,75,435,1235,0.0003796805148159388,0,,181,100
5,82,481,1281,1.519896868365981e-08,0,,177,100
6,91,530,1330,0.057439346184087726,1,,176,100
7,96,556,1356,0.02288678816800168,1,,175,100
8,101,576,1376,0.007763817927557921,1,,173,100
9,110,617,1417,0.00010831793251502422,0,,171,100
10,119,660,1460,0.0003873106671773227,0,,170,100
11,127,714,1514,0.09215336662120427,1,,168,100
12,139,797,1597,8.743089784346378e-07,0,,172,100
13,144,828,1628,5.6350039875086275e-11,0,,172,100
14,149,856,1656,2.6459854714702944e-06,0,,173,100
15,154,901,1701,1.5719790614091325e-07,0,,174,100
16,162,942,1742,0.0008544784093161383,0,,172,100
17,168,975,1775,2.418444190490072e-06,0,,168,100
18,174,1002,1802,2.234674032571666e-06,0,,167,100
19,179,1027,1827,4.162718069911905e-08,0,,164,100
20,185,1065,1865,0.0002588612614356014,0,,166,100
21,191,1102,1902,1.2884121915951968e-06,0,,168,100
22,200,1147,1947,1.3249736001814618e-17,0,,166,100
23,220,1250,2050,9.19011197444441e-05,0,,159,100
24,227,1289,2089,1.053641640380767e-05,0,,162,100
25,268,1513,2313,1.4382299707565327e-05,0,,162,100
26,276,1567,2367,1.9692717874986744e-08,0,,165,100
27,399,2279,3079,8.515834400355152e-07,0,,109,100
28,406,2320,3120,0.09510294865798664,1,,101,100
