evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,113,777,1577,0.1595935687028717,1,,165,100
1,121,835,1635,0.0033639599003036317,1,,165,100
2,169,1204,2004,0.05831187456267345,1,,168,100
3,180,1289,2089,0.0015862706426185496,1,,170,100
4,193,1396,2196,0.006485184424814306,1,,178,100
5,200,1444,2244,0.02104513642584943,1,,175,100
6,258,1808,2608,4.451481418759642e-06,0,,164,100
7,282,1990,2790,0.13115128156186703,1,,162,100
8,293,2073,2873,4.714752447523726e-09,0,,162,100
9,304,2130,2930,0.002572266928097914,1,,162,100
10,309,2164,2964,0.05851129661678022,1,,160,100
11,366,2553,3353,0.01739642450331933,1,,161,100
12,381,2663,3463,0.003708106474844449,1,,157,100
13,388,2715,3515,0.00017302020313889006,0,,158,100
14,393,2753,3553,0.01858227801864726,1,,161,100
15,445,3120,3920,0.0009585346788126902,0,,169,100
16,457,3211,4011,7.915994217916612e-06,0,,169,100
17,474,3334,4134,0.5643806405988991,1,,177,100
18,481,3383,4183,0.0836894359420973,1,,171,100
19,523,3731,4531,0.003414351786526776,1,,171,100
20,528,3761,4561,0.023650141998030855,1,,167,100
21,547,3882,4682,0.0019642681307214345,1,,163,100
22,555,3974,4774,0.2425436770105245,1,,160,100
23,561,4009,4809,0.4143071167235418,1,,165,100
24,581,4142,4942,0.10331422505218099,1,,160,100
25,597,4261,5061,0.37262647322049347,1,,165,100
26,602,4301,5101,0.0002455323214852396,0,,165,100
27,618,4421,5221,0.0068520816634457145,1,,167,100
28,636,4546,5346,0.25658410131715675,1,,169,100
29,649,4659,5459,0.00015447505536644675,0,,173,100
30,680,4868,5668,0.0010586655171909926,1,,179,100
31,697,4977,5777,0.001932196780842854,1,,175,100
32,703,5016,5816,0.057358524099613735,1,,172,100
33,719,5128,5928,8.975049481842488e-05,0,,170,100
34,724,5161,5961,0.0002952916987907326,0,,167,100
35,744,5291,6091,0.008610501809503901,1,,163,100
36,759,5393,6193,0.001638465207760803,1,,162,100
37,792,5619,6419,0.05481874098647544,1,,156,100
38,798,5649,6449,0.001151769297408144,1,,151,100
39,804,5703,6503,0.00013463635604058576,0,,151,100
40,811,5757,6557,0.01947472497703652,1,,153,100
41,816,5789,6589,0.0028493374037440846,1,,155,100
42,823,5850,6650,0.09467990757119468,1,,155,100
43,829,5891,6691,0.0025544568797863784,1,,154,100
44,847,5997,6797,0.00035562447210567966,0,,150,100
45,929,6598,7398,0.00037193554767122217,0,,149,100
46,948,6741,7541,0.000530505649057643,0,,152,100
47,957,6814,7614,0.0470933860539639,1,,159,100
48,966,6883,7683,0.01921594697074496,1,,159,100
49,975,6945,7745,0.0010996205351412702,1,,161,100
50,980,6979,7779,0.013703177250552926,1,,158,100
51,993,7077,7877,0.020858112631391146,1,,165,100
52,1003,7155,7955,0.47700964635714427,1,,162,100
53,1014,7248,8048,0.17630518390064304,1,,164,100
54,1020,7277,8077,0.09625997221754636,1,,167,100
55,1026,7317,8117,0.0018296079082584533,1,,166,100
56,1033,7363,8163,0.008951435856018153,1,,166,100
57,1043,7455,8255,0.00022369757771919447,0,,168,100
58,1048,7481,8281,0.5986210958585446,1,,167,100
59,1054,7527,8327,0.5622585253309907,1,,168,100
60,1059,7575,8375,0.22405067225513967,1,,165,100
61,1064,7608,8408,0.42768977371860556,1,,162,100
62,1073,7671,8471,0.08582268788856857,1,,160,100
63,1090,7781,8581,0.07776832783066388,1,,166,100
64,1104,7873,8673,0.8358893083838684,1,,162,100
65,1110,7916,8716,0.040858819606187056,1,,162,100
66,1115,7950,8750,0.08013616944312951,1,,162,100
67,1125,8020,8820,7.818724760678166e-05,0,,161,100
68,1140,8121,8921,0.008618416724219022,1,,159,100
69,1159,8288,9088,0.0008524746027162838,0,,164,100
70,1164,8323,9123,0.014757775187067258,1,,163,100
71,1171,8386,9186,2.9067997303572484e-05,0,,165,100
72,1176,8417,9217,0.5461341459666289,1,,167,100
73,1181,8456,9256,0.006213180818086815,1,,166,100
74,1186,8491,9291,0.08631851277077322,1,,172,100
75,1191,8526,9326,0.062127884545766725,1,,167,100
76,1197,8559,9359,0.7009480713752494,1,,165,100
77,1202,8593,9393,0.05385801584130364,1,,165,100
78,1213,8686,9486,0.012368419639148375,1,,167,100
79,1218,8724,9524,0.05350753965971994,1,,168,100
80,1227,8775,9575,0.008349460288956844,1,,167,100
81,1234,8823,9623,1.4857533578286229e-05,0,,165,100
82,1241,8885,9685,0.0017807739859746145,1,,166,100
83,1246,8924,9724,0.021259241401443654,1,,170,100
84,1257,8980,9780,0.24227209898418126,1,,168,100
85,1262,9004,9804,0.0010968784997564232,1,,168,100
86,1276,9100,9900,0.00016874210034598867,0,,163,100
87,1286,9171,9971,0.00017100422980987148,0,,163,100
88,1315,9382,10182,0.0004648924833262759,0,,170,100
89,1335,9525,10325,0.00011499721736761736,0,,170,100
