evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.00010015512064396299,0,,179,100
1,33,195,995,0.03611880191234638,1,,181,100
2,48,297,1097,0.13520559491619435,1,,181,100
3,70,411,1211,0.0029198416401600064,1,,181,100
4,75,435,1235,0.05452482458302422,1,,181,100
5,82,481,1281,0.01636281262266613,1,,177,100
6,91,530,1330,0.017538318703527175,1,,176,100
7,96,556,1356,0.10341976958355126,1,,175,100
8,101,576,1376,0.15328430585754993,1,,173,100
9,110,617,1417,0.3926229084871519,1,,171,100
10,119,660,1460,0.004697888824734143,1,,170,100
11,127,714,1514,0.16720984201535546,1,,168,100
12,139,797,1597,0.041587422143386656,1,,172,100
13,144,828,1628,0.07612382524869216,1,,172,100
14,149,856,1656,0.11619710866046189,1,,173,100
15,154,901,1701,0.004839647836808528,1,,174,100
16,162,942,1742,2.725843148463889e-05,0,,172,100
17,168,975,1775,0.49488142100298116,1,,168,100
18,174,1002,1802,0.009076247600986962,1,,167,100
19,179,1027,1827,0.6123244101529718,1,,164,100
20,185,1065,1865,0.4745279909066426,1,,166,100
21,191,1102,1902,0.0016904183600010855,1,,168,100
22,200,1147,1947,0.015972487113021478,1,,166,100
23,220,1250,2050,0.0007618955490316116,0,,159,100
24,227,1289,2089,0.0040696696844354325,1,,162,100
25,268,1513,2313,4.161523423165265e-05,0,,162,100
26,276,1567,2367,0.009514576263694991,1,,165,100
27,399,2279,3079,0.0015343148330983216,1,,109,100
28,406,2320,3120,0.015882606328298646,1,,101,100
