evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.0026965616022173273,1,,165,100
1,54,345,1145,0.1527363541318153,1,,166,100
2,116,722,1522,0.000657301379901379,0,,162,100
3,124,766,1566,0.007786074076477272,1,,163,100
4,150,910,1710,0.004412385751025163,1,,162,100
5,162,976,1776,0.10469469611537485,1,,158,100
6,172,1025,1825,0.02860027736527671,1,,156,100
7,183,1106,1906,0.12124921051679684,1,,152,100
8,189,1142,1942,0.2301430068103766,1,,156,100
9,569,3409,4209,0.08797194326950489,1,,174,100
10,1444,8434,9234,0.018910361864878246,1,,181,100
11,1462,8539,9339,0.33488759017334896,1,,173,100
12,1487,8678,9478,2.7608740067596594e-06,0,,170,100
13,1502,8770,9570,0.04991762367906776,1,,172,100
14,1537,8999,9799,0.22334427238376148,1,,179,100
15,1545,9046,9846,0.007747170975051842,1,,180,100
16,1572,9213,10013,0.019884116907996043,1,,182,100
17,1577,9243,10043,0.04368321901336712,1,,184,100
18,1615,9489,10289,0.0728117225326459,1,,186,100
19,1636,9615,10415,0.036825643543421584,1,,177,100
20,1646,9679,10479,0.09428853040604172,1,,175,100
21,1672,9815,10615,9.310898929932379e-06,0,,171,100
