evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.8532298668794737,1,,178,100
1,8,53,853,0.06633860309927705,1,,180,100
2,17,105,905,0.00045070995241238527,0,,174,100
3,22,137,937,0.42557558727136147,1,,170,100
4,28,180,980,0.002145287958507877,1,,172,100
5,34,207,1007,0.04770071191264778,1,,170,100
6,39,243,1043,0.007104977360544673,1,,171,100
7,45,281,1081,0.8018314735810111,1,,169,100
8,50,323,1123,0.7964283584922014,1,,173,100
9,57,359,1159,0.905809700365003,1,,168,100
10,62,389,1189,0.129158181573919,1,,163,100
11,67,424,1224,0.8619905609075741,1,,157,100
12,72,449,1249,0.07953650699417596,1,,151,100
13,78,486,1286,0.8608518062996392,1,,144,100
14,90,543,1343,0.49734868893270734,1,,132,100
15,96,585,1385,0.4443326305786365,1,,123,100
16,102,607,1407,0.7138646428901844,1,,116,100
17,113,677,1477,0.0005195290366787453,0,,101,100
