evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,1.097118281225985e-13,0,,156,100
1,14,86,886,2.233479077478697e-10,0,,156,100
2,21,123,923,4.4665799936176645e-05,0,,156,100
3,29,170,970,0.0031566013706992926,1,,159,100
4,37,225,1025,0.0004711653005252856,0,,161,100
5,44,263,1063,0.0047859391817189085,1,,158,100
6,50,297,1097,0.0021404598189784007,1,,160,100
7,56,328,1128,6.307892358618974e-05,0,,161,100
8,62,359,1159,2.3550407483498995e-06,0,,158,100
9,70,401,1201,1.8170421545830962e-06,0,,159,100
10,79,459,1259,0.00010807589175409227,0,,159,100
11,86,502,1302,0.0003492785506986641,0,,154,100
12,95,552,1352,1.9066554054557562e-08,0,,152,100
13,100,580,1380,7.895551128197035e-07,0,,152,100
14,108,627,1427,3.654224160143481e-05,0,,154,100
15,115,674,1474,2.2986351215072295e-07,0,,152,100
16,121,718,1518,6.964220190977108e-13,0,,156,100
17,134,807,1607,3.3868789155861246e-14,0,,156,100
18,140,841,1641,4.378867144543897e-16,0,,160,100
19,174,1035,1835,4.040687088932556e-17,0,,160,100
20,209,1255,2055,3.4592488762874856e-09,0,,162,100
21,215,1297,2097,1.5325472287076658e-13,0,,164,100
22,243,1473,2273,5.55165884997659e-26,0,,168,100
23,305,1844,2644,2.3855037294819885e-26,0,,160,100
24,1223,7476,8276,2.148370579057433e-22,0,,132,100
