evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.00022763296397994976,0,,218,100
1,25,132,932,7.00598371722643e-08,0,,217,100
2,75,378,1178,3.103676161285729e-09,0,,213,100
3,87,443,1243,2.5426742324847323e-11,0,,212,100
4,94,480,1280,5.124021933122067e-07,0,,212,100
5,112,562,1362,2.139117082117478e-14,0,,211,100
6,160,830,1630,1.1630664289027828e-16,0,,216,100
7,183,951,1751,8.556067286599644e-17,0,,222,100
8,547,2849,3649,2.1205267451078405e-11,0,,220,100
9,552,2881,3681,7.595728503012037e-08,0,,223,100
10,561,2923,3723,9.290849861430139e-10,0,,220,100
11,578,3006,3806,1.7890576219142165e-07,0,,221,100
12,586,3053,3853,3.736260173600206e-08,0,,222,100
13,594,3091,3891,1.8062589997445878e-07,0,,224,100
14,635,3287,4087,2.27911163854738e-12,0,,221,100
15,643,3331,4131,2.3486062811361763e-12,0,,223,100
16,719,3729,4529,7.877751875045075e-14,0,,222,100
17,1409,7115,7915,7.776252906029882e-14,0,,228,100
18,1415,7144,7944,7.265279450567991e-20,0,,233,100
