evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,7,41,841,0.0008595298599667554,0,,156,100
1,14,86,886,0.03483990903286319,1,,156,100
2,21,123,923,0.41451441090388524,1,,156,100
3,29,170,970,0.4097491516762603,1,,159,100
4,37,225,1025,0.020093240497203617,1,,161,100
5,44,263,1063,0.0026655609204573535,1,,158,100
6,50,297,1097,0.005542261560584609,1,,160,100
7,56,328,1128,0.4346544318185524,1,,161,100
8,62,359,1159,0.0003562637935743406,0,,158,100
9,70,401,1201,0.16389844700893402,1,,159,100
10,79,459,1259,0.11548997946218395,1,,159,100
11,86,502,1302,0.40144097955547287,1,,154,100
12,95,552,1352,0.004307417117741186,1,,152,100
13,100,580,1380,0.003233861346696287,1,,152,100
14,108,627,1427,0.11772574967792816,1,,154,100
15,115,674,1474,0.0022211506102981483,1,,152,100
16,121,718,1518,0.04480874255607966,1,,156,100
17,134,807,1607,0.0002583771272957536,0,,156,100
18,140,841,1641,1.0302709577813359e-05,0,,160,100
19,174,1035,1835,0.19160533576589844,1,,160,100
20,209,1255,2055,8.411159361787904e-05,0,,162,100
21,215,1297,2097,0.0005103726421443936,0,,164,100
22,243,1473,2273,1.2806416862653088e-06,0,,168,100
23,305,1844,2644,8.245918630867505e-05,0,,160,100
24,1223,7476,8276,3.1417614045052547e-12,0,,132,100
