window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.0650465903623728e-53,0,,242,100
1,10,810,2.585910614134996e-54,0,,244,100
2,20,820,3.99848985314047e-56,0,,244,100
3,30,830,6.501437801882652e-55,0,,243,100
4,40,840,9.327364973571124e-50,0,,246,100
5,50,850,1.2004789496096418e-49,0,,249,100
6,60,860,2.3842605609869977e-47,0,,250,100
7,70,870,1.434795035955646e-51,0,,250,100
8,80,880,4.95615829214285e-53,0,,251,100
9,90,890,1.619164326787244e-55,0,,251,100
10,100,900,3.592216198691858e-57,0,,250,100
11,110,910,3.9875592611874734e-54,0,,251,100
12,120,920,1.2804225211664754e-53,0,,250,100
13,130,930,6.424808559279939e-54,0,,251,100
14,140,940,1.5356990019297717e-53,0,,253,100
15,150,950,4.8364179199644645e-54,0,,253,100
16,160,960,3.312775448318938e-56,0,,250,100
17,170,970,1.3942197766788127e-58,0,,250,100
18,180,980,2.7874257927441023e-58,0,,250,100
19,190,990,4.497950429993131e-53,0,,251,100
20,200,1000,5.531578935042693e-58,0,,252,100
21,210,1010,6.24737010247128e-59,0,,251,100
22,220,1020,2.409808388959611e-62,0,,252,100
23,230,1030,1.225600264936986e-57,0,,253,100
24,240,1040,2.7804100309300525e-57,0,,255,100
25,250,1050,8.969681666623782e-58,0,,253,100
26,260,1060,1.305233234675778e-57,0,,255,100
27,270,1070,6.926652699960528e-58,0,,254,100
28,280,1080,3.8135410012993178e-59,0,,254,100
29,290,1090,3.943552551535676e-60,0,,255,100
30,300,1100,3.673420759152727e-62,0,,254,100
31,310,1110,2.0759631121614188e-62,0,,251,100
32,320,1120,1.3290789938101598e-63,0,,254,100
33,330,1130,6.414045401362057e-66,0,,252,100
34,340,1140,7.084357294616906e-67,0,,251,100
35,350,1150,2.1837609400527546e-64,0,,252,100
36,360,1160,3.7285533098738615e-67,0,,251,100
37,370,1170,5.522466334649614e-66,0,,252,100
38,380,1180,8.60706150850425e-60,0,,252,100
39,390,1190,3.2053762839478274e-60,0,,252,100
40,400,1200,4.4668033455751086e-67,0,,252,100
41,410,1210,1.7817569430979555e-65,0,,251,100
42,420,1220,7.230999016803091e-64,0,,251,100
43,430,1230,1.3332781425918212e-65,0,,250,100
44,440,1240,8.847901223405037e-67,0,,250,100
45,450,1250,5.004556871995448e-67,0,,250,100
46,460,1260,5.159341653697538e-67,0,,250,100
47,470,1270,9.751174382704498e-68,0,,248,100
48,480,1280,5.4744120460903455e-65,0,,247,100
49,490,1290,2.5043950239645807e-65,0,,248,100
50,500,1300,2.9033745881276672e-62,0,,248,100
51,510,1310,1.7656998269376292e-61,0,,247,100
52,520,1320,2.5840531828791394e-62,0,,249,100
53,530,1330,2.083696730670422e-64,0,,250,100
54,540,1340,1.0181320665269022e-63,0,,250,100
55,550,1350,1.4107843858789184e-66,0,,250,100
56,560,1360,9.34992683436044e-61,0,,248,100
57,570,1370,7.004117122485291e-65,0,,250,100
58,580,1380,2.9501513427615708e-62,0,,248,100
59,590,1390,7.214971969122371e-62,0,,246,100
60,600,1400,1.9945943302832463e-63,0,,245,100
61,610,1410,1.8173739938770052e-61,0,,243,100
62,620,1420,1.1161732799422347e-66,0,,243,100
63,630,1430,4.880538957406912e-68,0,,242,100
64,640,1440,1.1065515839221231e-69,0,,243,100
65,650,1450,4.809232187076432e-71,0,,245,100
66,660,1460,4.3086740203586264e-70,0,,242,100
67,670,1470,9.893914771565536e-78,0,,242,100
68,680,1480,1.090011015912649e-68,0,,240,100
69,690,1490,2.4166653586251266e-64,0,,239,100
70,700,1500,1.0532518237126829e-62,0,,240,100
71,710,1510,1.7350265553464225e-66,0,,237,100
72,720,1520,4.949854651978309e-62,0,,237,100
73,730,1530,3.712007443273632e-64,0,,237,100
74,740,1540,2.6692139883203204e-69,0,,237,100
75,750,1550,4.108510958883494e-69,0,,237,100
76,760,1560,1.129034234461468e-71,0,,238,100
77,770,1570,2.6655082551121507e-71,0,,239,100
78,780,1580,3.241162403210569e-63,0,,236,100
79,790,1590,6.1929402763459655e-71,0,,232,100
80,800,1600,5.813124875668596e-68,0,,230,100
81,810,1610,7.741420424874129e-72,0,,227,100
82,820,1620,4.8014189505992474e-74,0,,228,100
83,830,1630,5.482341752447907e-73,0,,228,100
84,840,1640,6.9986108346583e-73,0,,225,100
85,850,1650,8.480648610355954e-73,0,,224,100
86,860,1660,3.659973626545781e-69,0,,223,100
87,870,1670,5.56762371243433e-69,0,,222,100
88,880,1680,1.9673297495481447e-63,0,,219,100
89,890,1690,6.065534103086104e-75,0,,222,100
90,900,1700,6.991328764237682e-76,0,,225,100
91,910,1710,1.6684227181721632e-74,0,,222,100
92,920,1720,1.5544766311535544e-75,0,,223,100
93,930,1730,4.129853604956073e-68,0,,221,100
94,940,1740,1.7891960045635285e-68,0,,219,100
95,950,1750,5.117121620969904e-68,0,,219,100
96,960,1760,3.146147761938766e-69,0,,219,100
97,970,1770,3.948326585702891e-65,0,,220,100
98,980,1780,2.4821309496712987e-65,0,,221,100
99,990,1790,4.756941822384265e-61,0,,219,100
100,1000,1800,4.463913557236765e-63,0,,223,100
101,1010,1810,1.135787129761851e-62,0,,221,100
102,1020,1820,6.738097552595563e-63,0,,223,100
103,1030,1830,3.561852881710336e-62,0,,220,100
104,1040,1840,2.259929651418821e-72,0,,221,100
105,1050,1850,1.2134262088169656e-73,0,,223,100
106,1060,1860,2.6159818703211705e-79,0,,223,100
107,1070,1870,2.5784670754040916e-77,0,,223,100
108,1080,1880,4.440816883075829e-69,0,,220,100
109,1090,1890,2.9164867410316033e-67,0,,220,100
110,1100,1900,1.9868531149873406e-68,0,,222,100
111,1110,1910,9.166290026134605e-70,0,,221,100
112,1120,1920,7.63221112726928e-72,0,,219,100
113,1130,1930,1.0213685943397825e-70,0,,219,100
114,1140,1940,4.9201046913571685e-68,0,,220,100
115,1150,1950,1.4941368304999014e-65,0,,221,100
116,1160,1960,4.972946970629838e-71,0,,219,100
117,1170,1970,1.2945851601194798e-69,0,,223,100
118,1180,1980,2.993816020117679e-71,0,,220,100
119,1190,1990,1.828639628341849e-74,0,,220,100
120,1200,2000,6.700901169358722e-78,0,,219,100
121,1210,2010,2.89732214244349e-73,0,,219,100
122,1220,2020,3.922353685401893e-67,0,,218,100
123,1230,2030,5.00471466962651e-64,0,,218,100
124,1240,2040,6.270979212118484e-69,0,,223,100
125,1250,2050,1.4493376092579136e-69,0,,225,100
126,1260,2060,6.043817440803233e-73,0,,224,100
127,1270,2070,2.511259995780107e-76,0,,224,100
128,1280,2080,9.132952696299968e-76,0,,225,100
129,1290,2090,5.713903639595495e-73,0,,224,100
130,1300,2100,8.557700684244095e-78,0,,221,100
131,1310,2110,7.947656314289032e-82,0,,221,100
132,1320,2120,2.958660011888367e-73,0,,219,100
133,1330,2130,5.713865555656964e-74,0,,219,100
134,1340,2140,2.4054414816313746e-69,0,,220,100
135,1350,2150,1.0175435229152442e-70,0,,220,100
136,1360,2160,2.3321897432337626e-78,0,,219,100
137,1370,2170,4.636849744035339e-78,0,,218,100
138,1380,2180,3.990511436413035e-79,0,,220,100
139,1390,2190,3.636290203968629e-77,0,,220,100
140,1400,2200,8.724207979153243e-79,0,,221,100
141,1410,2210,5.159738999377154e-80,0,,222,100
142,1420,2220,1.189199537338785e-84,0,,221,100
143,1430,2230,3.393275742449874e-83,0,,219,100
144,1440,2240,2.4553287332483314e-85,0,,221,100
145,1450,2250,3.9100225080729448e-81,0,,221,100
146,1460,2260,1.78262712787543e-83,0,,219,100
147,1470,2270,2.858220668700999e-80,0,,217,100
148,1480,2280,2.0988508482831625e-81,0,,216,100
149,1490,2290,9.199406741403919e-77,0,,215,100
150,1500,2300,4.733182041998824e-76,0,,218,100
151,1510,2310,3.5610164400706237e-75,0,,215,100
152,1520,2320,2.684001082173655e-77,0,,213,100
153,1530,2330,1.339141561106684e-79,0,,212,100
154,1540,2340,9.31801750580251e-79,0,,211,100
155,1550,2350,9.167230545878889e-68,0,,208,100
156,1560,2360,1.229459521681269e-60,0,,205,100
157,1570,2370,1.7542022419640402e-56,0,,201,100
158,1580,2380,7.647897439473574e-54,0,,200,100
159,1590,2390,3.43639847524077e-58,0,,198,100
160,1600,2400,1.4498700060589039e-55,0,,200,100
161,1610,2410,7.8206018514287045e-59,0,,200,100
162,1620,2420,9.760719539373761e-59,0,,200,100
163,1630,2430,1.6664820707014563e-57,0,,201,100
164,1640,2440,1.788329022573871e-58,0,,204,100
165,1650,2450,8.981974201749859e-57,0,,205,100
166,1660,2460,4.448790862140278e-58,0,,206,100
167,1670,2470,1.8906335001548223e-56,0,,209,100
168,1680,2480,2.939017120154176e-53,0,,209,100
169,1690,2490,6.965409885397676e-48,0,,207,100
170,1700,2500,3.8023341565972365e-51,0,,206,100
171,1710,2510,2.462149009558956e-55,0,,209,100
172,1720,2520,2.9723514910006117e-53,0,,211,100
173,1730,2530,8.770917306236269e-58,0,,210,100
174,1740,2540,6.789378040638326e-57,0,,212,100
175,1750,2550,3.748640435581346e-61,0,,210,100
176,1760,2560,1.4488066951220973e-65,0,,211,100
177,1770,2570,2.522058300329665e-64,0,,209,100
178,1780,2580,2.109357771935124e-63,0,,208,100
179,1790,2590,1.2422122100372619e-56,0,,209,100
180,1800,2600,6.247282834832783e-57,0,,207,100
181,1810,2610,5.262349945591557e-52,0,,205,100
182,1820,2620,4.5742004019303145e-53,0,,206,100
183,1830,2630,1.044310452134262e-62,0,,204,100
184,1840,2640,2.2914525703424668e-66,0,,203,100
185,1850,2650,1.3504921670812265e-66,0,,201,100
186,1860,2660,8.671660836758459e-71,0,,203,100
187,1870,2670,3.6918298562554157e-66,0,,205,100
188,1880,2680,3.689121354976974e-67,0,,206,100
189,1890,2690,1.8554515591906318e-68,0,,206,100
190,1900,2700,6.528809216052946e-67,0,,205,100
191,1910,2710,1.5798405071968343e-73,0,,203,100
192,1920,2720,4.661232692298947e-71,0,,206,100
193,1930,2730,1.177953684691159e-68,0,,206,100
194,1940,2740,6.643053391202255e-74,0,,206,100
195,1950,2750,9.948128653441065e-81,0,,204,100
196,1960,2760,4.8909295423817015e-82,0,,204,100
