window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.6987407254836476e-24,0,,204,100
1,10,810,1.2679286828193311e-27,0,,204,100
2,20,820,2.232547403110832e-28,0,,206,100
3,30,830,5.370829731884929e-32,0,,204,100
4,40,840,3.774426681025175e-30,0,,202,100
5,50,850,4.222092487846259e-31,0,,204,100
6,60,860,2.908224703672409e-40,0,,203,100
7,70,870,1.948444306464367e-36,0,,203,100
8,80,880,5.446731173016619e-37,0,,203,100
9,90,890,7.338924787533177e-34,0,,204,100
10,100,900,8.043208333563405e-33,0,,203,100
11,110,910,4.38317937314086e-37,0,,202,100
12,120,920,1.0321993350995722e-37,0,,204,100
13,130,930,1.3276325864708014e-37,0,,204,100
14,140,940,7.563306270008553e-39,0,,207,100
15,150,950,1.4906183169310098e-46,0,,206,100
16,160,960,1.3743843653464625e-40,0,,204,100
17,170,970,2.320012926510649e-44,0,,204,100
18,180,980,2.1191037616255292e-46,0,,204,100
19,190,990,1.1737118585150428e-44,0,,205,100
20,200,1000,2.6197142448591932e-45,0,,205,100
21,210,1010,4.100766964365498e-45,0,,206,100
22,220,1020,1.2101036662207722e-43,0,,203,100
23,230,1030,1.1501375915583014e-43,0,,202,100
24,240,1040,1.4985450494804915e-46,0,,202,100
25,250,1050,9.921709261678461e-43,0,,200,100
26,260,1060,2.4632417147479493e-40,0,,201,100
27,270,1070,5.679455510538871e-41,0,,202,100
28,280,1080,4.82040676051218e-44,0,,197,100
29,290,1090,5.8606994692759804e-46,0,,198,100
30,300,1100,3.943241841500485e-47,0,,200,100
31,310,1110,5.823043585411379e-43,0,,197,100
32,320,1120,4.37927843777591e-50,0,,198,100
33,330,1130,6.392544013632689e-54,0,,198,100
34,340,1140,1.451528282498492e-48,0,,197,100
35,350,1150,7.690339600568694e-50,0,,198,100
36,360,1160,2.0377413909259817e-52,0,,197,100
37,370,1170,3.832393438462286e-53,0,,201,100
38,380,1180,1.3656069128118157e-57,0,,201,100
39,390,1190,1.637174008881128e-57,0,,204,100
40,400,1200,5.733340963126294e-56,0,,202,100
41,410,1210,1.964458479527197e-50,0,,201,100
42,420,1220,2.6122877623397973e-52,0,,201,100
43,430,1230,1.2488701672127454e-53,0,,205,100
44,440,1240,1.8810968407038324e-50,0,,203,100
45,450,1250,2.0930205599092637e-58,0,,205,100
46,460,1260,1.4376966427247718e-54,0,,206,100
47,470,1270,1.664128308101556e-51,0,,205,100
48,480,1280,2.327179935827644e-51,0,,206,100
49,490,1290,3.1549885510385305e-50,0,,209,100
50,500,1300,1.343957108816815e-54,0,,210,100
51,510,1310,1.9888433391095772e-59,0,,207,100
52,520,1320,1.3174126803951682e-49,0,,206,100
53,530,1330,1.030700665652042e-50,0,,207,100
54,540,1340,4.582332269150582e-52,0,,203,100
55,550,1350,1.0738788284753222e-50,0,,201,100
56,560,1360,2.992118068701004e-56,0,,203,100
57,570,1370,1.7205213360613863e-55,0,,202,100
58,580,1380,6.6262038077229884e-52,0,,203,100
59,590,1390,4.961140860506911e-49,0,,202,100
60,600,1400,6.1827633015059156e-49,0,,204,100
61,610,1410,5.1511303452486463e-48,0,,201,100
62,620,1420,1.402184366107342e-41,0,,203,100
63,630,1430,1.914149574701694e-40,0,,200,100
64,640,1440,3.237752981540946e-42,0,,198,100
65,650,1450,7.617614734245081e-39,0,,199,100
66,660,1460,2.2244487665483987e-45,0,,199,100
67,670,1470,4.805440366278741e-41,0,,201,100
68,680,1480,3.7473074830472105e-37,0,,202,100
69,690,1490,3.278905362356303e-38,0,,201,100
70,700,1500,4.047944281687975e-43,0,,200,100
71,710,1510,1.961592518245845e-45,0,,202,100
72,720,1520,1.0350629882836359e-51,0,,201,100
73,730,1530,2.338034870171256e-51,0,,200,100
74,740,1540,2.2276154116484216e-57,0,,196,100
75,750,1550,4.985196588756451e-56,0,,199,100
76,760,1560,6.650816274466512e-51,0,,197,100
77,770,1570,4.527389766505398e-49,0,,198,100
78,780,1580,3.740574692589335e-52,0,,197,100
79,790,1590,3.994892999611894e-51,0,,198,100
80,800,1600,8.854135080448176e-57,0,,197,100
81,810,1610,7.321810451451589e-58,0,,198,100
82,820,1620,9.292236037861688e-54,0,,198,100
83,830,1630,7.749876006136067e-57,0,,199,100
84,840,1640,2.81242825772223e-60,0,,199,100
85,850,1650,2.8052542925818785e-57,0,,199,100
