window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.78565980639805e-12,0,,182,100
1,10,810,6.615241251560408e-15,0,,184,100
2,20,820,1.5457144351328119e-13,0,,185,100
3,30,830,6.744562255828675e-11,0,,182,100
4,40,840,3.885135967241927e-12,0,,180,100
5,50,850,1.089714177859318e-10,0,,178,100
6,60,860,3.2819180058533663e-13,0,,177,100
7,70,870,5.939954028682165e-07,0,,174,100
8,80,880,4.263892803812323e-09,0,,172,100
9,90,890,1.7765768640311863e-06,0,,171,100
10,100,900,1.5912545164636505e-10,0,,167,100
11,110,910,2.4385800371842905e-10,0,,165,100
12,120,920,1.4718564063687176e-10,0,,164,100
13,130,930,4.328764886287234e-13,0,,162,100
14,140,940,6.088895912163532e-10,0,,158,100
15,150,950,4.49659896432651e-08,0,,157,100
16,160,960,8.406586135778305e-09,0,,153,100
17,170,970,8.83872875320121e-14,0,,151,100
18,180,980,1.2526870990060303e-14,0,,150,100
19,190,990,3.121094238384475e-11,0,,146,100
20,200,1000,3.794885567886369e-14,0,,144,100
21,210,1010,6.7223917756782275e-15,0,,141,100
22,220,1020,2.0680467704320518e-17,0,,140,100
23,230,1030,2.0738615522987472e-15,0,,137,100
24,240,1040,3.51472943249833e-16,0,,136,100
25,250,1050,2.343910351756594e-16,0,,135,100
26,260,1060,2.0614419438357306e-13,0,,132,100
27,270,1070,3.763515262607467e-12,0,,129,100
28,280,1080,8.171843613206465e-14,0,,129,100
29,290,1090,1.280459605392306e-13,0,,127,100
30,300,1100,8.157955638674176e-15,0,,124,100
31,310,1110,7.34869181072044e-11,0,,122,100
32,320,1120,2.458308062643455e-12,0,,120,100
33,330,1130,2.700301277354978e-13,0,,120,100
34,340,1140,9.589120042040847e-11,0,,116,100
35,350,1150,7.853634030892716e-11,0,,116,100
36,360,1160,9.339778327763358e-16,0,,114,100
37,370,1170,1.2722522945439915e-10,0,,109,100
38,380,1180,8.158700578609253e-12,0,,109,100
39,390,1190,6.183558103575086e-14,0,,106,100
40,400,1200,2.687168118631655e-12,0,,103,100
41,410,1210,8.196087571455614e-12,0,,103,100
42,420,1220,2.724994625998885e-12,0,,100,100
