window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0,0,,208,100
1,10,810,0.0,0,,203,100
2,20,820,0.0,0,,202,100
3,30,830,0.81,1,,201,100
4,40,840,0.0,0,,201,100
5,50,850,0.0,0,,198,100
6,60,860,0.0,0,,202,100
7,70,870,0.0,0,,203,100
8,80,880,0.0,0,,202,100
9,90,890,0.0,0,,202,100
10,100,900,0.0,0,,202,100
11,110,910,0.0,0,,200,100
12,120,920,0.0,0,,197,100
13,130,930,0.0,0,,199,100
14,140,940,0.0,0,,198,100
15,150,950,0.0,0,,197,100
16,160,960,0.0,0,,196,100
17,170,970,0.0,0,,195,100
18,180,980,0.0,0,,194,100
19,190,990,0.0,0,,195,100
20,200,1000,0.0,0,,193,100
21,210,1010,0.0,0,,192,100
22,220,1020,0.0,0,,192,100
23,230,1030,0.0,0,,191,100
24,240,1040,0.0,0,,192,100
25,250,1050,0.0,0,,191,100
26,260,1060,0.0,0,,192,100
27,270,1070,0.0,0,,192,100
28,280,1080,0.0,0,,193,100
29,290,1090,0.0,0,,192,100
30,300,1100,0.0,0,,196,100
31,310,1110,0.0,0,,196,100
32,320,1120,0.0,0,,196,100
33,330,1130,0.0,0,,195,100
34,340,1140,0.0,0,,194,100
35,350,1150,0.0,0,,196,100
36,360,1160,0.0,0,,195,100
37,370,1170,0.0,0,,193,100
38,380,1180,0.0,0,,193,100
39,390,1190,0.0,0,,196,100
40,400,1200,0.0,0,,195,100
41,410,1210,0.0,0,,195,100
42,420,1220,0.0,0,,196,100
43,430,1230,0.0,0,,195,100
44,440,1240,0.0,0,,194,100
45,450,1250,0.0,0,,195,100
46,460,1260,0.0,0,,196,100
47,470,1270,0.0,0,,195,100
48,480,1280,0.0,0,,195,100
49,490,1290,0.0,0,,193,100
50,500,1300,0.0,0,,194,100
51,510,1310,0.0,0,,193,100
52,520,1320,0.0,0,,192,100
53,530,1330,0.0,0,,194,100
54,540,1340,0.0,0,,195,100
55,550,1350,0.0,0,,194,100
56,560,1360,0.0,0,,195,100
57,570,1370,0.0,0,,197,100
58,580,1380,0.0,0,,199,100
59,590,1390,0.0,0,,202,100
60,600,1400,0.0,0,,202,100
61,610,1410,0.0,0,,203,100
62,620,1420,0.0,0,,202,100
63,630,1430,0.0,0,,201,100
64,640,1440,0.0,0,,198,100
65,650,1450,0.0,0,,200,100
66,660,1460,0.0,0,,201,100
67,670,1470,0.0,0,,201,100
68,680,1480,0.0,0,,201,100
69,690,1490,0.0,0,,198,100
70,700,1500,0.0,0,,197,100
71,710,1510,0.0,0,,195,100
72,720,1520,0.0,0,,196,100
73,730,1530,0.0,0,,195,100
74,740,1540,0.0,0,,193,100
75,750,1550,0.0,0,,192,100
76,760,1560,0.0,0,,190,100
77,770,1570,0.0,0,,189,100
78,780,1580,0.0,0,,190,100
79,790,1590,0.0,0,,188,100
80,800,1600,0.0,0,,188,100
81,810,1610,0.0,0,,188,100
82,820,1620,0.0,0,,188,100
83,830,1630,0.0,0,,186,100
84,840,1640,0.0,0,,188,100
85,850,1650,0.0,0,,188,100
86,860,1660,0.0,0,,186,100
87,870,1670,0.0,0,,188,100
88,880,1680,0.0,0,,188,100
89,890,1690,0.0,0,,189,100
90,900,1700,0.0,0,,188,100
91,910,1710,0.0,0,,188,100
92,920,1720,0.0,0,,188,100
93,930,1730,0.0,0,,187,100
94,940,1740,0.0,0,,186,100
95,950,1750,0.0,0,,185,100
96,960,1760,0.0,0,,187,100
97,970,1770,0.0,0,,188,100
98,980,1780,0.0,0,,186,100
99,990,1790,0.0,0,,185,100
100,1000,1800,0.0,0,,183,100
101,1010,1810,0.0,0,,184,100
102,1020,1820,0.0,0,,185,100
103,1030,1830,0.0,0,,186,100
104,1040,1840,0.0,0,,187,100
105,1050,1850,0.0,0,,186,100
106,1060,1860,0.0,0,,186,100
107,1070,1870,0.0,0,,184,100
108,1080,1880,0.0,0,,183,100
109,1090,1890,0.0,0,,183,100
110,1100,1900,0.0,0,,185,100
111,1110,1910,0.0,0,,184,100
112,1120,1920,0.0,0,,180,100
113,1130,1930,0.0,0,,180,100
114,1140,1940,0.0,0,,181,100
115,1150,1950,0.0,0,,181,100
116,1160,1960,0.0,0,,183,100
117,1170,1970,0.0,0,,183,100
118,1180,1980,0.0,0,,183,100
119,1190,1990,0.0,0,,183,100
120,1200,2000,0.0,0,,182,100
121,1210,2010,0.0,0,,183,100
122,1220,2020,0.0,0,,183,100
123,1230,2030,0.0,0,,182,100
124,1240,2040,0.0,0,,181,100
125,1250,2050,0.0,0,,180,100
126,1260,2060,0.0,0,,180,100
127,1270,2070,0.0,0,,179,100
128,1280,2080,0.0,0,,181,100
129,1290,2090,0.0,0,,182,100
130,1300,2100,0.0,0,,180,100
131,1310,2110,0.0,0,,183,100
132,1320,2120,0.0,0,,184,100
133,1330,2130,0.0,0,,183,100
134,1340,2140,0.0,0,,184,100
135,1350,2150,0.0,0,,183,100
136,1360,2160,0.0,0,,183,100
137,1370,2170,0.0,0,,180,100
138,1380,2180,0.0,0,,178,100
139,1390,2190,0.0,0,,179,100
140,1400,2200,0.0,0,,179,100
141,1410,2210,0.0,0,,180,100
142,1420,2220,0.0,0,,180,100
143,1430,2230,0.0,0,,181,100
144,1440,2240,0.0,0,,182,100
145,1450,2250,0.0,0,,179,100
146,1460,2260,0.0,0,,177,100
147,1470,2270,0.0,0,,177,100
148,1480,2280,0.0,0,,177,100
149,1490,2290,0.0,0,,177,100
150,1500,2300,0.0,0,,176,100
151,1510,2310,0.0,0,,176,100
152,1520,2320,0.0,0,,176,100
153,1530,2330,0.0,0,,176,100
154,1540,2340,0.0,0,,177,100
155,1550,2350,0.0,0,,176,100
156,1560,2360,0.0,0,,175,100
157,1570,2370,0.0,0,,174,100
158,1580,2380,0.0,0,,175,100
159,1590,2390,0.0,0,,176,100
160,1600,2400,0.0,0,,177,100
161,1610,2410,0.0,0,,177,100
162,1620,2420,0.0,0,,176,100
163,1630,2430,0.0,0,,176,100
164,1640,2440,0.0,0,,177,100
165,1650,2450,0.0,0,,175,100
166,1660,2460,0.0,0,,176,100
167,1670,2470,0.0,0,,177,100
168,1680,2480,0.0,0,,177,100
169,1690,2490,0.0,0,,177,100
170,1700,2500,0.0,0,,177,100
171,1710,2510,0.0,0,,178,100
172,1720,2520,0.0,0,,176,100
173,1730,2530,0.0,0,,179,100
174,1740,2540,0.0,0,,177,100
175,1750,2550,0.0,0,,176,100
176,1760,2560,0.0,0,,175,100
177,1770,2570,0.0,0,,176,100
178,1780,2580,0.0,0,,174,100
179,1790,2590,0.0,0,,176,100
180,1800,2600,0.0,0,,177,100
181,1810,2610,0.0,0,,177,100
182,1820,2620,0.0,0,,178,100
183,1830,2630,0.0,0,,176,100
184,1840,2640,0.0,0,,176,100
185,1850,2650,0.0,0,,176,100
186,1860,2660,0.0,0,,175,100
187,1870,2670,0.0,0,,177,100
188,1880,2680,0.0,0,,176,100
189,1890,2690,0.0,0,,176,100
190,1900,2700,0.0,0,,174,100
191,1910,2710,0.0,0,,176,100
192,1920,2720,0.0,0,,175,100
193,1930,2730,0.0,0,,175,100
194,1940,2740,0.0,0,,177,100
195,1950,2750,0.0,0,,176,100
196,1960,2760,0.0,0,,176,100
197,1970,2770,0.0,0,,177,100
198,1980,2780,0.0,0,,173,100
199,1990,2790,0.0,0,,171,100
200,2000,2800,0.0,0,,171,100
201,2010,2810,0.0,0,,171,100
202,2020,2820,0.0,0,,172,100
203,2030,2830,0.0,0,,174,100
204,2040,2840,0.0,0,,176,100
205,2050,2850,0.0,0,,174,100
206,2060,2860,0.0,0,,174,100
207,2070,2870,0.0,0,,174,100
208,2080,2880,0.0,0,,173,100
209,2090,2890,0.0,0,,172,100
210,2100,2900,0.0,0,,172,100
211,2110,2910,0.0,0,,171,100
212,2120,2920,0.0,0,,171,100
213,2130,2930,0.0,0,,168,100
214,2140,2940,0.0,0,,169,100
215,2150,2950,0.0,0,,169,100
216,2160,2960,0.0,0,,171,100
217,2170,2970,0.0,0,,171,100
218,2180,2980,0.0,0,,171,100
219,2190,2990,0.0,0,,168,100
220,2200,3000,0.0,0,,169,100
221,2210,3010,0.0,0,,170,100
222,2220,3020,0.0,0,,169,100
223,2230,3030,0.0,0,,168,100
224,2240,3040,0.0,0,,171,100
225,2250,3050,0.0,0,,171,100
226,2260,3060,0.0,0,,169,100
227,2270,3070,0.0,0,,169,100
228,2280,3080,0.0,0,,169,100
229,2290,3090,0.0,0,,169,100
230,2300,3100,0.0,0,,169,100
231,2310,3110,0.0,0,,173,100
232,2320,3120,0.0,0,,171,100
233,2330,3130,0.0,0,,170,100
234,2340,3140,0.0,0,,168,100
235,2350,3150,0.0,0,,168,100
236,2360,3160,0.0,0,,168,100
237,2370,3170,0.0,0,,168,100
238,2380,3180,0.0,0,,172,100
239,2390,3190,0.0,0,,167,100
240,2400,3200,0.0,0,,167,100
241,2410,3210,0.0,0,,165,100
242,2420,3220,0.0,0,,166,100
243,2430,3230,0.0,0,,165,100
244,2440,3240,0.0,0,,165,100
245,2450,3250,0.0,0,,167,100
246,2460,3260,0.0,0,,170,100
247,2470,3270,0.0,0,,168,100
248,2480,3280,0.0,0,,170,100
249,2490,3290,0.0,0,,167,100
250,2500,3300,0.0,0,,166,100
251,2510,3310,0.0,0,,166,100
252,2520,3320,0.0,0,,166,100
253,2530,3330,0.0,0,,168,100
254,2540,3340,0.0,0,,169,100
255,2550,3350,0.0,0,,169,100
256,2560,3360,0.0,0,,170,100
257,2570,3370,0.0,0,,170,100
258,2580,3380,0.0,0,,169,100
259,2590,3390,0.0,0,,169,100
260,2600,3400,0.0,0,,169,100
261,2610,3410,0.0,0,,169,100
262,2620,3420,0.0,0,,170,100
263,2630,3430,0.0,0,,170,100
264,2640,3440,0.0,0,,171,100
265,2650,3450,0.0,0,,171,100
266,2660,3460,0.0,0,,170,100
267,2670,3470,0.0,0,,170,100
268,2680,3480,0.0,0,,170,100
269,2690,3490,0.0,0,,170,100
270,2700,3500,0.0,0,,172,100
271,2710,3510,0.0,0,,169,100
272,2720,3520,0.0,0,,170,100
273,2730,3530,0.0,0,,168,100
274,2740,3540,0.0,0,,167,100
275,2750,3550,0.0,0,,169,100
276,2760,3560,0.0,0,,166,100
277,2770,3570,0.0,0,,167,100
278,2780,3580,0.0,0,,169,100
279,2790,3590,0.0,0,,170,100
280,2800,3600,0.0,0,,171,100
281,2810,3610,0.0,0,,171,100
282,2820,3620,0.0,0,,171,100
283,2830,3630,0.0,0,,172,100
284,2840,3640,0.0,0,,171,100
285,2850,3650,0.0,0,,171,100
286,2860,3660,0.0,0,,170,100
287,2870,3670,0.0,0,,171,100
288,2880,3680,0.0,0,,171,100
289,2890,3690,0.0,0,,170,100
290,2900,3700,0.0,0,,171,100
291,2910,3710,0.0,0,,171,100
292,2920,3720,0.0,0,,171,100
293,2930,3730,0.0,0,,170,100
294,2940,3740,0.0,0,,171,100
295,2950,3750,0.0,0,,171,100
296,2960,3760,0.0,0,,172,100
297,2970,3770,0.0,0,,172,100
298,2980,3780,0.0,0,,172,100
299,2990,3790,0.0,0,,172,100
300,3000,3800,0.0,0,,171,100
301,3010,3810,0.0,0,,172,100
302,3020,3820,0.0,0,,172,100
303,3030,3830,0.0,0,,170,100
304,3040,3840,0.0,0,,171,100
305,3050,3850,0.0,0,,171,100
306,3060,3860,0.0,0,,171,100
307,3070,3870,0.0,0,,173,100
308,3080,3880,0.0,0,,174,100
309,3090,3890,0.0,0,,173,100
310,3100,3900,0.0,0,,175,100
311,3110,3910,0.0,0,,174,100
312,3120,3920,0.0,0,,174,100
313,3130,3930,0.0,0,,176,100
314,3140,3940,0.0,0,,177,100
315,3150,3950,0.0,0,,179,100
316,3160,3960,0.0,0,,180,100
317,3170,3970,0.0,0,,181,100
318,3180,3980,0.0,0,,179,100
319,3190,3990,0.0,0,,179,100
320,3200,4000,0.0,0,,181,100
321,3210,4010,0.0,0,,182,100
322,3220,4020,0.0,0,,183,100
323,3230,4030,0.0,0,,183,100
324,3240,4040,0.0,0,,185,100
325,3250,4050,0.0,0,,182,100
326,3260,4060,0.0,0,,177,100
327,3270,4070,0.0,0,,178,100
328,3280,4080,0.0,0,,177,100
329,3290,4090,0.0,0,,179,100
330,3300,4100,0.0,0,,177,100
331,3310,4110,0.0,0,,179,100
332,3320,4120,0.0,0,,181,100
333,3330,4130,0.0,0,,178,100
334,3340,4140,0.0,0,,177,100
335,3350,4150,0.0,0,,179,100
336,3360,4160,0.0,0,,176,100
337,3370,4170,0.0,0,,176,100
338,3380,4180,0.0,0,,178,100
339,3390,4190,0.0,0,,177,100
340,3400,4200,0.0,0,,176,100
341,3410,4210,0.0,0,,177,100
342,3420,4220,0.0,0,,179,100
343,3430,4230,0.0,0,,174,100
344,3440,4240,0.0,0,,173,100
345,3450,4250,0.0,0,,176,100
346,3460,4260,0.0,0,,175,100
347,3470,4270,0.0,0,,175,100
348,3480,4280,0.0,0,,176,100
349,3490,4290,0.0,0,,178,100
350,3500,4300,0.0,0,,178,100
351,3510,4310,0.0,0,,179,100
352,3520,4320,0.0,0,,180,100
353,3530,4330,0.0,0,,179,100
354,3540,4340,0.0,0,,180,100
355,3550,4350,0.0,0,,179,100
356,3560,4360,0.0,0,,180,100
357,3570,4370,0.0,0,,178,100
358,3580,4380,0.0,0,,180,100
359,3590,4390,0.0,0,,179,100
360,3600,4400,0.0,0,,178,100
361,3610,4410,0.0,0,,179,100
362,3620,4420,0.0,0,,178,100
