window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,10,810,0.0,0,,153,100
2,20,820,0.0,0,,153,100
3,30,830,1.0,1,,152,100
4,40,840,0.0,0,,153,100
5,50,850,0.0,0,,151,100
6,60,860,1.0,1,,151,100
7,70,870,1.0,1,,152,100
8,80,880,1.0,1,,151,100
9,90,890,0.0,0,,152,100
10,100,900,0.0,0,,153,100
11,110,910,0.0,0,,153,100
12,120,920,0.0,0,,154,100
13,130,930,0.0,0,,154,100
14,140,940,0.0,0,,155,100
15,150,950,1.0,1,,155,100
16,160,960,0.0,0,,154,100
17,170,970,0.0,0,,155,100
18,180,980,0.0,0,,155,100
19,190,990,0.0,0,,157,100
20,200,1000,0.0,0,,157,100
21,210,1010,1.0,1,,157,100
22,220,1020,0.0,0,,160,100
23,230,1030,0.0,0,,157,100
24,240,1040,1.0,1,,153,100
25,250,1050,0.0,0,,151,100
26,260,1060,0.97,1,,148,100
27,270,1070,0.97,1,,145,100
28,280,1080,0.0,0,,145,100
29,290,1090,0.0,0,,144,100
30,300,1100,0.0,0,,140,100
31,310,1110,0.0,0,,138,100
32,320,1120,0.68,1,,135,100
33,330,1130,0.61,1,,133,100
34,340,1140,0.0,0,,132,100
35,350,1150,0.0,0,,130,100
36,360,1160,0.43,1,,127,100
37,370,1170,0.0,0,,126,100
38,380,1180,0.0,0,,125,100
39,390,1190,0.0,0,,122,100
40,400,1200,0.0,0,,119,100
41,410,1210,0.0,0,,117,100
42,420,1220,0.0,0,,116,100
43,430,1230,0.0,0,,115,100
44,440,1240,0.0,0,,111,100
45,450,1250,0.0,0,,109,100
46,460,1260,0.0,0,,108,100
47,470,1270,0.61,1,,105,100
48,480,1280,0.0,0,,105,100
49,490,1290,0.0,0,,103,100
50,500,1300,0.0,0,,101,100
