window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9945942709224721,1,,153,100
1,10,810,0.5287717878413798,1,,153,100
2,20,820,0.11708583692337933,1,,153,100
3,30,830,6.526233935656919e-05,0,,152,100
4,40,840,0.007846191009059294,1,,153,100
5,50,850,0.012062172650473558,1,,151,100
6,60,860,0.00019491889471869644,0,,151,100
7,70,870,0.0005166892729520597,0,,152,100
8,80,880,0.006067392077799772,1,,151,100
9,90,890,0.07244850624375435,1,,152,100
10,100,900,0.026541313227489458,1,,153,100
11,110,910,0.3887019583489815,1,,153,100
12,120,920,0.013673959742744855,1,,154,100
13,130,930,0.010601935459610936,1,,154,100
14,140,940,0.049078537644758724,1,,155,100
15,150,950,0.18492213954130118,1,,155,100
16,160,960,0.17330337068986948,1,,154,100
17,170,970,0.1885191198994137,1,,155,100
18,180,980,0.7958707526321531,1,,155,100
19,190,990,0.6810412779438473,1,,157,100
20,200,1000,0.9641828416694728,1,,157,100
21,210,1010,0.9531337045366395,1,,157,100
22,220,1020,0.8554479221167777,1,,160,100
23,230,1030,0.9951309169454134,1,,157,100
24,240,1040,0.9969599872007633,1,,153,100
25,250,1050,0.6098071452981713,1,,151,100
26,260,1060,0.9988486077646979,1,,148,100
27,270,1070,0.9987090149227356,1,,145,100
28,280,1080,0.9989182969294457,1,,145,100
29,290,1090,0.9236870355095803,1,,144,100
30,300,1100,0.9988192754081194,1,,140,100
31,310,1110,0.9976752843236095,1,,138,100
32,320,1120,0.998883644112112,1,,135,100
33,330,1130,0.990630021200481,1,,133,100
34,340,1140,0.997869314106702,1,,132,100
35,350,1150,0.9865472351817567,1,,130,100
36,360,1160,0.9992821309408385,1,,127,100
37,370,1170,0.9995544429359879,1,,126,100
38,380,1180,0.9947721694803712,1,,125,100
39,390,1190,0.9848162028621095,1,,122,100
40,400,1200,0.9993388193184544,1,,119,100
41,410,1210,0.6586729355947467,1,,117,100
42,420,1220,0.9903648731807526,1,,116,100
43,430,1230,0.9972911918942292,1,,115,100
44,440,1240,0.9994294365812935,1,,111,100
45,450,1250,0.9981539731822374,1,,109,100
46,460,1260,0.9929054086436464,1,,108,100
47,470,1270,0.9992312496807699,1,,105,100
48,480,1280,0.9974114210753895,1,,105,100
49,490,1290,0.938386849912234,1,,103,100
50,500,1300,0.9921189815016795,1,,101,100
