window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.23932463451784e-121,0,,204,100
1,10,810,1.6776438407820192e-112,0,,204,100
2,20,820,4.961708374447847e-123,0,,204,100
3,30,830,2.5760874985477208e-129,0,,203,100
4,40,840,3.858737881628323e-203,0,,201,100
5,50,850,1.2458533998489003e-238,0,,201,100
6,60,860,6.557538435849868e-162,0,,201,100
7,70,870,2.8982975633428462e-139,0,,203,100
8,80,880,1.7211049784522303e-90,0,,202,100
9,90,890,5.225384018309814e-126,0,,202,100
10,100,900,1.1728284969867525e-117,0,,202,100
11,110,910,1.188801255417442e-93,0,,201,100
12,120,920,7.86346221425661e-106,0,,202,100
13,130,930,2.2467757329787846e-118,0,,203,100
14,140,940,3.9562421281722312e-140,0,,201,100
15,150,950,4.101434952121225e-133,0,,201,100
16,160,960,4.019100884917936e-118,0,,200,100
17,170,970,2.363745787367936e-127,0,,200,100
18,180,980,2.076805902161745e-67,0,,200,100
19,190,990,5.874069971204168e-92,0,,201,100
20,200,1000,3.8235021968690334e-90,0,,202,100
21,210,1010,9.843696006678695e-100,0,,201,100
22,220,1020,9.762962120085678e-95,0,,201,100
23,230,1030,3.2919129447833516e-94,0,,201,100
24,240,1040,7.729652265978246e-108,0,,203,100
25,250,1050,1.0113521952426116e-98,0,,202,100
26,260,1060,2.4439721615777885e-136,0,,201,100
27,270,1070,1.7831524552047011e-124,0,,199,100
28,280,1080,9.047135048048324e-99,0,,199,100
29,290,1090,4.244777504431229e-91,0,,200,100
30,300,1100,3.278984309074476e-102,0,,199,100
31,310,1110,4.838484319924765e-115,0,,199,100
32,320,1120,1.4422852959279305e-123,0,,199,100
33,330,1130,2.7027724393621146e-123,0,,202,100
34,340,1140,7.026226144181097e-138,0,,198,100
35,350,1150,2.538754056778919e-134,0,,201,100
36,360,1160,1.1811880153435647e-243,0,,200,100
37,370,1170,1.5454626421747989e-177,0,,200,100
38,380,1180,8.120574672048261e-136,0,,198,100
39,390,1190,1.0185631933090154e-120,0,,199,100
40,400,1200,1.546387042333835e-98,0,,199,100
41,410,1210,8.727299337556377e-101,0,,199,100
42,420,1220,2.0251556816979588e-117,0,,199,100
43,430,1230,1.7355939441256415e-124,0,,199,100
44,440,1240,1.42982239578255e-146,0,,200,100
45,450,1250,3.4085677504454177e-105,0,,200,100
46,460,1260,9.017506571268865e-90,0,,200,100
47,470,1270,8.414683299709132e-124,0,,201,100
48,480,1280,4.7511049491467295e-95,0,,201,100
49,490,1290,6.439617428017501e-116,0,,200,100
50,500,1300,2.2330682078371483e-88,0,,199,100
51,510,1310,1.7053524360143099e-121,0,,199,100
52,520,1320,5.166662439558354e-114,0,,201,100
53,530,1330,2.4255343018884183e-117,0,,200,100
54,540,1340,3.9375822468600194e-127,0,,202,100
55,550,1350,5.25769722088106e-72,0,,201,100
56,560,1360,4.055936532713594e-82,0,,199,100
57,570,1370,6.602462125525843e-76,0,,199,100
58,580,1380,2.803521588116837e-79,0,,200,100
59,590,1390,6.901106886111889e-78,0,,201,100
60,600,1400,7.562493363002835e-90,0,,200,100
61,610,1410,2.758366239164759e-100,0,,200,100
62,620,1420,6.350655937159468e-98,0,,200,100
63,630,1430,9.323564266033451e-122,0,,197,100
64,640,1440,5.095350867424583e-132,0,,195,100
65,650,1450,2.446868996298368e-77,0,,197,100
66,660,1460,8.074456045033687e-76,0,,197,100
67,670,1470,1.2840169037178306e-104,0,,197,100
