window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.743888981887603e-06,0,,164,100
1,10,810,1.012318805701578e-06,0,,164,100
2,20,820,1.1728328541837131e-09,0,,160,100
3,30,830,3.210799428930886e-12,0,,154,100
4,40,840,6.60201783904645e-13,0,,155,100
5,50,850,3.63053533574739e-11,0,,158,100
6,60,860,5.7113062981161385e-08,0,,157,100
7,70,870,4.747993964280678e-10,0,,159,100
8,80,880,1.0945357464444735e-14,0,,158,100
9,90,890,1.5531160684128588e-12,0,,157,100
10,100,900,1.939396641710776e-12,0,,155,100
11,110,910,2.499512858974445e-10,0,,156,100
12,120,920,1.9168877141503257e-12,0,,156,100
13,130,930,0.0021862849969919245,1,,155,100
14,140,940,0.0008478461369086325,0,,157,100
15,150,950,2.2297187630906258e-05,0,,158,100
16,160,960,0.0030386521301617973,1,,158,100
17,170,970,0.0056072527649766194,1,,159,100
18,180,980,9.084459597094408e-05,0,,161,100
19,190,990,8.322056059709444e-08,0,,161,100
20,200,1000,7.405402211732777e-06,0,,162,100
21,210,1010,0.0001458180300202566,0,,161,100
22,220,1020,0.005874879610524177,1,,162,100
23,230,1030,5.9130114718201496e-06,0,,161,100
24,240,1040,5.181333878863121e-08,0,,160,100
25,250,1050,1.5521255655592552e-07,0,,160,100
26,260,1060,0.004435927473977966,1,,158,100
27,270,1070,0.0018396953555843145,1,,158,100
28,280,1080,0.0028776180605025597,1,,159,100
29,290,1090,0.0010816233318386346,1,,160,100
30,300,1100,0.0004563383984291154,0,,159,100
31,310,1110,1.4722037073587866e-05,0,,160,100
32,320,1120,6.606897883859577e-05,0,,160,100
33,330,1130,0.00023341786746127973,0,,160,100
34,340,1140,0.00018386387006734663,0,,159,100
35,350,1150,1.2979952778792995e-09,0,,159,100
36,360,1160,9.939164834661213e-10,0,,158,100
37,370,1170,1.441190248961283e-15,0,,159,100
38,380,1180,8.495171277611382e-17,0,,159,100
39,390,1190,1.858369124255874e-11,0,,159,100
40,400,1200,7.2657176267581e-16,0,,157,100
41,410,1210,1.5360921090878212e-12,0,,157,100
42,420,1220,4.870620662616842e-12,0,,156,100
43,430,1230,2.544667013518469e-10,0,,157,100
44,440,1240,9.661856262757147e-12,0,,157,100
45,450,1250,2.4590504638656623e-13,0,,159,100
46,460,1260,1.4364506340236398e-11,0,,158,100
47,470,1270,1.0209658991810166e-16,0,,158,100
48,480,1280,0.020376723174170254,1,,157,100
49,490,1290,0.001095466711634391,1,,156,100
50,500,1300,0.0008446682161183086,0,,156,100
51,510,1310,0.000975375483389069,0,,153,100
52,520,1320,1.79134174443503e-07,0,,156,100
53,530,1330,0.009003403506558299,1,,155,100
54,540,1340,3.986920399057216e-06,0,,154,100
55,550,1350,9.698535531862038e-06,0,,152,100
56,560,1360,6.686183300430357e-05,0,,151,100
57,570,1370,1.3472561467514836e-05,0,,153,100
58,580,1380,4.570586944671108e-05,0,,152,100
59,590,1390,0.00023957217910394694,0,,154,100
60,600,1400,0.008693008310024246,1,,153,100
61,610,1410,0.11705157698460698,1,,154,100
62,620,1420,0.12107287537168633,1,,153,100
63,630,1430,0.011845645023835125,1,,153,100
64,640,1440,0.0002705863497467218,0,,153,100
65,650,1450,2.2549108079537585e-08,0,,153,100
66,660,1460,6.335540780162729e-09,0,,153,100
67,670,1470,2.945725015388216e-09,0,,153,100
68,680,1480,2.508122238101082e-10,0,,154,100
69,690,1490,7.42535392027099e-10,0,,154,100
70,700,1500,9.630193116921061e-17,0,,152,100
71,710,1510,6.36814407535339e-14,0,,155,100
72,720,1520,7.062742360671427e-14,0,,155,100
73,730,1530,1.1129726306734496e-13,0,,155,100
74,740,1540,7.522226323688864e-12,0,,154,100
75,750,1550,1.8927750676809428e-13,0,,156,100
76,760,1560,5.030016930510598e-13,0,,156,100
77,770,1570,6.6370246177960684e-15,0,,156,100
78,780,1580,9.208384026270714e-17,0,,156,100
79,790,1590,3.402328875041181e-14,0,,157,100
80,800,1600,4.053619664146447e-14,0,,155,100
81,810,1610,3.952793881933303e-16,0,,157,100
82,820,1620,2.081142062940269e-14,0,,159,100
83,830,1630,1.308690043101572e-15,0,,158,100
84,840,1640,5.2286977967064e-23,0,,159,100
85,850,1650,3.197457217690071e-14,0,,161,100
86,860,1660,8.68804702274625e-12,0,,160,100
87,870,1670,1.255576319333853e-18,0,,160,100
88,880,1680,1.414927931271547e-13,0,,162,100
89,890,1690,2.4258892506812893e-14,0,,163,100
90,900,1700,6.131841013327903e-13,0,,163,100
91,910,1710,1.2860685681991225e-21,0,,163,100
92,920,1720,2.3550247583505657e-13,0,,161,100
93,930,1730,6.294069567559512e-11,0,,159,100
94,940,1740,9.671213959575224e-14,0,,160,100
95,950,1750,8.484756091136726e-13,0,,160,100
96,960,1760,9.830191518821315e-14,0,,159,100
97,970,1770,4.4416555562864605e-07,0,,158,100
98,980,1780,8.90040175814437e-18,0,,159,100
99,990,1790,1.400600347223949e-16,0,,159,100
100,1000,1800,9.108087482000968e-23,0,,160,100
101,1010,1810,2.79374293929083e-16,0,,161,100
102,1020,1820,2.6554347679110925e-15,0,,161,100
103,1030,1830,2.3262741208414704e-19,0,,159,100
104,1040,1840,8.824346219547528e-17,0,,160,100
105,1050,1850,2.3867791478634908e-18,0,,162,100
106,1060,1860,6.54200537695695e-18,0,,161,100
107,1070,1870,8.135984271252989e-18,0,,161,100
108,1080,1880,1.7584830242621982e-14,0,,160,100
109,1090,1890,2.371891706054721e-16,0,,160,100
110,1100,1900,3.4336647659091695e-15,0,,159,100
111,1110,1910,1.7908512925870045e-10,0,,160,100
112,1120,1920,5.507438824394825e-11,0,,159,100
113,1130,1930,1.6532110667635446e-16,0,,159,100
114,1140,1940,5.33619124444601e-10,0,,161,100
115,1150,1950,2.1754048798711957e-11,0,,161,100
116,1160,1960,1.6913655200878864e-10,0,,159,100
117,1170,1970,2.4141677130799035e-08,0,,159,100
118,1180,1980,8.990284428812e-05,0,,158,100
119,1190,1990,9.217857743548106e-08,0,,161,100
120,1200,2000,5.16350696811416e-06,0,,162,100
121,1210,2010,5.593633786689304e-10,0,,161,100
122,1220,2020,1.9414257228195476e-09,0,,163,100
123,1230,2030,2.496482282671906e-07,0,,162,100
124,1240,2040,0.0025781010790451773,1,,163,100
125,1250,2050,3.180405451670496e-08,0,,161,100
126,1260,2060,8.312674361517469e-17,0,,163,100
127,1270,2070,1.505439361455437e-17,0,,162,100
128,1280,2080,4.406191175547645e-19,0,,162,100
129,1290,2090,8.639675164076105e-19,0,,165,100
130,1300,2100,6.354399561396086e-18,0,,166,100
131,1310,2110,2.2527863978593824e-35,0,,166,100
132,1320,2120,8.877792118095581e-22,0,,164,100
133,1330,2130,2.4278266901822603e-24,0,,165,100
134,1340,2140,3.1258931758190765e-26,0,,167,100
135,1350,2150,5.036508775813862e-38,0,,167,100
136,1360,2160,3.9601634950278406e-34,0,,168,100
137,1370,2170,4.913013286057053e-33,0,,169,100
138,1380,2180,4.1393965424649945e-21,0,,168,100
139,1390,2190,3.6273457842969014e-21,0,,167,100
140,1400,2200,7.51518301787556e-30,0,,166,100
141,1410,2210,4.084811448698296e-36,0,,168,100
142,1420,2220,6.130291550707932e-37,0,,168,100
143,1430,2230,7.72379554115215e-26,0,,169,100
144,1440,2240,9.889767204617019e-34,0,,168,100
145,1450,2250,8.929900903797462e-35,0,,167,100
146,1460,2260,2.5105832301669332e-36,0,,168,100
147,1470,2270,1.1380910269737027e-19,0,,168,100
148,1480,2280,9.869562303205916e-43,0,,166,100
149,1490,2290,1.5019357309558923e-49,0,,166,100
150,1500,2300,1.076388527050922e-18,0,,164,100
151,1510,2310,1.1682670490367367e-19,0,,163,100
152,1520,2320,5.275883712713789e-22,0,,163,100
153,1530,2330,1.484514056326206e-19,0,,164,100
154,1540,2340,8.89159863129255e-21,0,,163,100
155,1550,2350,1.0744669868894248e-25,0,,163,100
156,1560,2360,1.1081540367126093e-31,0,,163,100
157,1570,2370,3.4148468205417963e-31,0,,162,100
158,1580,2380,1.7924283174487497e-23,0,,163,100
159,1590,2390,2.006334760798375e-20,0,,164,100
160,1600,2400,4.435353778351427e-25,0,,165,100
161,1610,2410,8.527658955244992e-25,0,,164,100
162,1620,2420,1.6385183055817249e-24,0,,163,100
163,1630,2430,9.09000374311809e-24,0,,161,100
164,1640,2440,2.361268742577737e-24,0,,161,100
165,1650,2450,1.0536534986189115e-22,0,,162,100
166,1660,2460,5.017610108632655e-34,0,,162,100
167,1670,2470,5.514058914201084e-31,0,,163,100
168,1680,2480,7.31451898001743e-24,0,,162,100
169,1690,2490,5.342440076300332e-27,0,,162,100
170,1700,2500,2.9563339874664984e-30,0,,161,100
171,1710,2510,4.337478818801335e-35,0,,161,100
172,1720,2520,2.040820899940196e-31,0,,161,100
173,1730,2530,1.4960791572125955e-36,0,,162,100
174,1740,2540,3.573926331837537e-29,0,,161,100
175,1750,2550,2.523819650588976e-40,0,,160,100
176,1760,2560,2.7871785584901564e-40,0,,159,100
177,1770,2570,1.3488364307298798e-28,0,,160,100
178,1780,2580,2.3948695545222572e-33,0,,160,100
179,1790,2590,1.3821567835668931e-30,0,,158,100
180,1800,2600,2.9018583677059293e-30,0,,157,100
181,1810,2610,2.9046894137608912e-33,0,,156,100
182,1820,2620,1.2840802477171901e-30,0,,159,100
183,1830,2630,1.4627076323821723e-26,0,,159,100
184,1840,2640,1.9757506999310598e-28,0,,160,100
185,1850,2650,4.827684850072297e-30,0,,160,100
186,1860,2660,5.169008084677214e-26,0,,160,100
187,1870,2670,7.119462601533546e-25,0,,160,100
188,1880,2680,6.781635694322637e-23,0,,164,100
189,1890,2690,5.258759736047074e-21,0,,163,100
190,1900,2700,1.1929681784266565e-24,0,,161,100
191,1910,2710,2.11572087822261e-26,0,,161,100
192,1920,2720,7.46833362329574e-25,0,,160,100
193,1930,2730,9.787034250503964e-20,0,,161,100
194,1940,2740,4.082037442921983e-31,0,,161,100
195,1950,2750,2.756915727278081e-22,0,,159,100
196,1960,2760,9.660233270147612e-23,0,,161,100
197,1970,2770,3.914604166141449e-22,0,,161,100
198,1980,2780,3.5953921701848807e-19,0,,159,100
199,1990,2790,2.1701887803002496e-19,0,,158,100
200,2000,2800,2.519484659099207e-21,0,,158,100
201,2010,2810,1.009300850273369e-43,0,,159,100
202,2020,2820,1.1147075615878473e-19,0,,161,100
203,2030,2830,3.6572619328020524e-23,0,,161,100
204,2040,2840,8.033663981321385e-32,0,,161,100
205,2050,2850,2.5488021991785602e-30,0,,160,100
206,2060,2860,7.430932680489091e-38,0,,159,100
207,2070,2870,3.229947754239288e-37,0,,160,100
208,2080,2880,1.0632990780431251e-38,0,,160,100
209,2090,2890,9.596525718488493e-67,0,,159,100
210,2100,2900,1.3911471213899954e-66,0,,159,100
211,2110,2910,1.709451603024469e-106,0,,157,100
212,2120,2920,4.6171049599876115e-109,0,,156,100
213,2130,2930,3.479487838587198e-60,0,,155,100
214,2140,2940,1.1113468361029106e-107,0,,155,100
215,2150,2950,1.9879280722892097e-111,0,,153,100
216,2160,2960,9.810593281196092e-80,0,,154,100
217,2170,2970,3.382924470557669e-80,0,,151,100
218,2180,2980,1.7512342211756646e-79,0,,153,100
219,2190,2990,2.836291623816174e-88,0,,152,100
220,2200,3000,4.7209851022018083e-104,0,,154,100
221,2210,3010,3.5106837759898345e-101,0,,156,100
222,2220,3020,3.0360848289778283e-117,0,,153,100
223,2230,3030,2.9020320765616136e-107,0,,154,100
224,2240,3040,6.736444054134153e-108,0,,155,100
225,2250,3050,8.726277520337635e-147,0,,156,100
226,2260,3060,2.5312154366588456e-130,0,,154,100
227,2270,3070,2.7924559422032433e-97,0,,157,100
228,2280,3080,4.1229946489024664e-114,0,,156,100
229,2290,3090,2.218996333336178e-87,0,,158,100
230,2300,3100,1.9586956887547232e-107,0,,159,100
231,2310,3110,4.113452273635809e-98,0,,159,100
232,2320,3120,3.241339212196905e-91,0,,158,100
233,2330,3130,1.3179277920487914e-95,0,,159,100
234,2340,3140,4.378666545030942e-90,0,,159,100
235,2350,3150,6.741011235812527e-111,0,,158,100
236,2360,3160,1.0356982117320744e-102,0,,159,100
237,2370,3170,1.582643992756917e-82,0,,160,100
238,2380,3180,2.3807706977017033e-96,0,,158,100
239,2390,3190,4.595532875563407e-108,0,,159,100
240,2400,3200,3.125596982335345e-103,0,,158,100
241,2410,3210,3.001023600792044e-68,0,,159,100
242,2420,3220,1.5144501113821452e-64,0,,160,100
243,2430,3230,5.621856030706616e-68,0,,159,100
244,2440,3240,4.00397374802257e-67,0,,158,100
245,2450,3250,5.841648707643338e-80,0,,157,100
246,2460,3260,1.803904626484008e-58,0,,156,100
247,2470,3270,4.2538740664929686e-58,0,,158,100
248,2480,3280,3.80157353246648e-78,0,,156,100
249,2490,3290,3.3894648869187447e-70,0,,157,100
250,2500,3300,7.263260138994144e-63,0,,157,100
251,2510,3310,1.5905947544920756e-63,0,,158,100
252,2520,3320,7.879296576482231e-78,0,,158,100
253,2530,3330,8.064298013246847e-77,0,,159,100
254,2540,3340,3.1001353673918952e-49,0,,158,100
255,2550,3350,9.410812573162944e-52,0,,160,100
256,2560,3360,1.001620371659535e-54,0,,160,100
257,2570,3370,4.389879180403227e-43,0,,159,100
258,2580,3380,3.344988744131492e-54,0,,159,100
259,2590,3390,1.879456135698484e-54,0,,162,100
260,2600,3400,5.95968898608027e-47,0,,163,100
261,2610,3410,1.806799039250869e-52,0,,162,100
262,2620,3420,1.2640422445713391e-51,0,,160,100
263,2630,3430,4.3566891349767947e-57,0,,159,100
264,2640,3440,2.1231158940462655e-40,0,,158,100
265,2650,3450,1.506565908838821e-39,0,,158,100
266,2660,3460,1.712992883172106e-43,0,,158,100
267,2670,3470,2.095825555454369e-42,0,,158,100
268,2680,3480,7.845954348284714e-36,0,,155,100
269,2690,3490,7.277018880159173e-48,0,,157,100
270,2700,3500,2.5585624671658238e-43,0,,157,100
271,2710,3510,1.9938563212026433e-47,0,,156,100
272,2720,3520,2.0707052761695675e-54,0,,157,100
273,2730,3530,2.2114959628386125e-60,0,,158,100
274,2740,3540,4.40318177699208e-56,0,,158,100
275,2750,3550,4.350947139649935e-64,0,,157,100
276,2760,3560,1.4141289494301174e-61,0,,157,100
277,2770,3570,1.0245342345370207e-58,0,,156,100
278,2780,3580,4.697390455762462e-60,0,,158,100
279,2790,3590,7.723444975989466e-80,0,,158,100
280,2800,3600,1.0506771297096432e-67,0,,160,100
281,2810,3610,5.245776409906743e-85,0,,158,100
282,2820,3620,5.956522717666843e-92,0,,158,100
283,2830,3630,1.1268629283886864e-85,0,,158,100
284,2840,3640,1.5531251580630372e-122,0,,157,100
285,2850,3650,9.990656850648319e-117,0,,159,100
286,2860,3660,6.366244542950371e-89,0,,159,100
287,2870,3670,1.5603665685532524e-76,0,,160,100
288,2880,3680,4.7812687996541503e-63,0,,157,100
289,2890,3690,3.129293531751671e-75,0,,156,100
290,2900,3700,6.4489931902411e-73,0,,160,100
291,2910,3710,2.112413237242448e-81,0,,160,100
292,2920,3720,2.5479009891164727e-76,0,,161,100
293,2930,3730,1.1531847525975717e-58,0,,160,100
294,2940,3740,2.5819718935275594e-55,0,,160,100
295,2950,3750,6.545634431591736e-49,0,,162,100
296,2960,3760,5.7194527558601165e-65,0,,162,100
297,2970,3770,2.033969146055294e-58,0,,161,100
298,2980,3780,1.8742460214886088e-45,0,,161,100
299,2990,3790,1.3403031982493238e-51,0,,161,100
300,3000,3800,1.4223221106497726e-50,0,,161,100
301,3010,3810,2.3514456009493503e-46,0,,158,100
302,3020,3820,5.46428015343707e-82,0,,158,100
303,3030,3830,5.077890592347923e-81,0,,160,100
304,3040,3840,1.827458568378612e-109,0,,159,100
305,3050,3850,5.168361465751145e-122,0,,158,100
306,3060,3860,1.374802570775859e-113,0,,159,100
307,3070,3870,1.5669766943083702e-105,0,,159,100
308,3080,3880,9.318099258214837e-42,0,,159,100
