window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0391647466064927e-17,0,,182,100
1,10,810,1.4410422731501576e-29,0,,184,100
2,20,820,1.805786847821536e-43,0,,185,100
3,30,830,8.669330703582108e-22,0,,182,100
4,40,840,1.7676179603996998e-22,0,,180,100
5,50,850,1.2727707676766186e-29,0,,178,100
6,60,860,5.55227597426855e-16,0,,177,100
7,70,870,2.8508641874339124e-17,0,,174,100
8,80,880,1.2311750036981105e-19,0,,172,100
9,90,890,1.3177367233056046e-21,0,,171,100
10,100,900,1.4337004720560787e-12,0,,167,100
11,110,910,4.132204213682785e-24,0,,165,100
12,120,920,1.6890907819028876e-11,0,,164,100
13,130,930,9.800294267859757e-20,0,,162,100
14,140,940,3.640237367487036e-15,0,,158,100
15,150,950,1.037556011051354e-14,0,,157,100
16,160,960,6.254554805714172e-09,0,,153,100
17,170,970,1.6845352731638337e-20,0,,151,100
18,180,980,1.3134484957364186e-53,0,,150,100
19,190,990,5.767737854729868e-17,0,,146,100
20,200,1000,3.7792987078534455e-27,0,,144,100
21,210,1010,4.065799222860664e-36,0,,141,100
22,220,1020,3.342865429228364e-34,0,,140,100
23,230,1030,5.512260946148581e-27,0,,137,100
24,240,1040,4.991120602863627e-38,0,,136,100
25,250,1050,2.809118309305625e-34,0,,135,100
26,260,1060,2.978928500482642e-32,0,,132,100
27,270,1070,4.7554762654711775e-35,0,,129,100
28,280,1080,6.08718240283547e-32,0,,129,100
29,290,1090,8.463884915234807e-37,0,,127,100
30,300,1100,3.9838128966477157e-44,0,,124,100
31,310,1110,1.1302982068850051e-39,0,,122,100
32,320,1120,2.740710713243745e-30,0,,120,100
33,330,1130,3.292708633843456e-27,0,,120,100
34,340,1140,1.8436685263993466e-33,0,,116,100
35,350,1150,1.2852788765594073e-23,0,,116,100
36,360,1160,2.2601975967756254e-21,0,,114,100
37,370,1170,1.9322132178939412e-36,0,,109,100
38,380,1180,1.5323166294040332e-41,0,,109,100
39,390,1190,2.4546239740193705e-30,0,,106,100
40,400,1200,5.963247692236712e-30,0,,103,100
41,410,1210,9.436384825876015e-37,0,,103,100
42,420,1220,3.032051231358404e-30,0,,100,100
