window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.350340775779303e-54,0,,193,100
1,10,810,3.9983813176892e-60,0,,190,100
2,20,820,8.584968907995004e-60,0,,188,100
3,30,830,4.17856407848937e-57,0,,189,100
4,40,840,2.0887365948734457e-56,0,,187,100
5,50,850,1.6605161218480936e-55,0,,188,100
6,60,860,5.05445578639677e-50,0,,188,100
7,70,870,8.039383668484692e-52,0,,188,100
8,80,880,7.961497917868518e-57,0,,190,100
9,90,890,8.131007012169172e-59,0,,187,100
10,100,900,2.022969364485372e-60,0,,187,100
11,110,910,1.3395211867561415e-62,0,,187,100
12,120,920,2.575444541015453e-60,0,,185,100
13,130,930,4.67566264231019e-56,0,,188,100
14,140,940,1.0048986328847837e-55,0,,187,100
15,150,950,4.625324588428701e-56,0,,187,100
16,160,960,4.9685037036221205e-56,0,,189,100
17,170,970,4.767231581178069e-57,0,,188,100
18,180,980,5.323193721692974e-55,0,,186,100
19,190,990,1.45631247272291e-54,0,,189,100
20,200,1000,2.0991748129509768e-50,0,,189,100
21,210,1010,4.210229714762473e-49,0,,190,100
22,220,1020,5.801231713790271e-46,0,,190,100
23,230,1030,2.8844849293261645e-50,0,,190,100
24,240,1040,2.525402463515332e-56,0,,190,100
25,250,1050,9.491671390047164e-55,0,,191,100
26,260,1060,1.6016357743055578e-56,0,,191,100
27,270,1070,5.651786962551063e-58,0,,191,100
28,280,1080,9.597649587939438e-61,0,,193,100
29,290,1090,4.557494383686536e-60,0,,193,100
30,300,1100,1.2969280199703672e-61,0,,194,100
31,310,1110,2.8050336484974914e-55,0,,192,100
32,320,1120,9.496763056751452e-54,0,,193,100
33,330,1130,9.989682547935165e-53,0,,191,100
34,340,1140,1.4637029255000281e-52,0,,191,100
35,350,1150,1.1828100127054771e-54,0,,193,100
36,360,1160,2.0612793427557935e-55,0,,193,100
37,370,1170,8.133699355998732e-54,0,,192,100
38,380,1180,4.1412294830178827e-57,0,,191,100
39,390,1190,8.560648598418619e-61,0,,190,100
40,400,1200,1.4422207116383008e-61,0,,189,100
41,410,1210,9.321876210893893e-67,0,,188,100
42,420,1220,5.2582099003000394e-70,0,,188,100
43,430,1230,6.470336195027882e-64,0,,189,100
44,440,1240,1.6638876680125607e-56,0,,191,100
45,450,1250,3.7541011046975136e-57,0,,191,100
46,460,1260,2.273303132356074e-55,0,,190,100
47,470,1270,5.543146069675092e-58,0,,191,100
48,480,1280,3.4041062708947455e-56,0,,187,100
49,490,1290,4.762535944788759e-58,0,,191,100
50,500,1300,1.902303306238321e-56,0,,192,100
51,510,1310,9.944581117371581e-57,0,,191,100
52,520,1320,2.0799888822926777e-58,0,,190,100
53,530,1330,1.2391890685779574e-64,0,,191,100
54,540,1340,8.997294405049637e-63,0,,190,100
55,550,1350,1.1391442147475835e-62,0,,188,100
56,560,1360,4.013532883381343e-62,0,,187,100
57,570,1370,8.153799674174963e-61,0,,189,100
58,580,1380,5.022505814278952e-61,0,,186,100
59,590,1390,3.872690671107941e-61,0,,188,100
60,600,1400,1.0527912690979402e-60,0,,185,100
61,610,1410,3.7932245613091884e-60,0,,186,100
62,620,1420,4.8200588859759174e-58,0,,188,100
63,630,1430,6.347023017354434e-61,0,,188,100
64,640,1440,3.465150371202606e-67,0,,189,100
65,650,1450,3.835806986705496e-69,0,,190,100
66,660,1460,3.0276236325631526e-72,0,,189,100
67,670,1470,1.1916509188244328e-69,0,,188,100
68,680,1480,1.1948104308913992e-72,0,,188,100
69,690,1490,1.5166697778368204e-78,0,,187,100
70,700,1500,5.099877873584336e-67,0,,186,100
71,710,1510,3.1307620301777414e-63,0,,185,100
72,720,1520,2.6449761230130953e-62,0,,186,100
73,730,1530,2.7371217032169605e-63,0,,187,100
74,740,1540,3.415013468867821e-57,0,,188,100
75,750,1550,1.1152922704405466e-61,0,,185,100
76,760,1560,4.362077446624972e-62,0,,186,100
77,770,1570,1.2134016652645446e-62,0,,188,100
78,780,1580,4.50636415343621e-65,0,,187,100
79,790,1590,1.6180182099296075e-63,0,,189,100
80,800,1600,6.91061143759987e-67,0,,190,100
81,810,1610,5.448461607376409e-60,0,,190,100
82,820,1620,1.7365321179156836e-67,0,,188,100
83,830,1630,2.9047353269472844e-69,0,,186,100
