window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.042377575647685e-40,0,,204,100
1,10,810,6.640239073080404e-41,0,,204,100
2,20,820,2.5283096066709928e-43,0,,204,100
3,30,830,2.2609307363760287e-41,0,,203,100
4,40,840,3.712944489149569e-52,0,,201,100
5,50,850,2.5903380955420897e-51,0,,201,100
6,60,860,2.454589555333592e-50,0,,201,100
7,70,870,3.4767504362595577e-44,0,,203,100
8,80,880,4.483463823147917e-50,0,,202,100
9,90,890,6.533589013824905e-53,0,,202,100
10,100,900,9.951767467025388e-50,0,,202,100
11,110,910,3.9438706633480885e-44,0,,201,100
12,120,920,4.8602230868016474e-45,0,,202,100
13,130,930,3.541276075691528e-45,0,,203,100
14,140,940,8.021519725814729e-49,0,,201,100
15,150,950,2.672261995546225e-47,0,,201,100
16,160,960,4.526286907644191e-44,0,,200,100
17,170,970,1.3872993928379788e-45,0,,200,100
18,180,980,6.365212353873144e-41,0,,200,100
19,190,990,6.084698336685753e-41,0,,201,100
20,200,1000,2.0865772294799428e-41,0,,202,100
21,210,1010,3.227844663577676e-40,0,,201,100
22,220,1020,9.818719339038728e-40,0,,201,100
23,230,1030,4.698020944489102e-40,0,,201,100
24,240,1040,4.696164731600828e-41,0,,203,100
25,250,1050,6.497863807691175e-44,0,,202,100
26,260,1060,2.8830199656017492e-39,0,,201,100
27,270,1070,9.222514659588126e-43,0,,199,100
28,280,1080,6.27603768643808e-40,0,,199,100
29,290,1090,4.804713056952301e-39,0,,200,100
30,300,1100,8.020565230263188e-46,0,,199,100
31,310,1110,1.653308511828945e-50,0,,199,100
32,320,1120,9.682970627106243e-49,0,,199,100
33,330,1130,4.3989299250754333e-48,0,,202,100
34,340,1140,1.3222780630309207e-49,0,,198,100
35,350,1150,1.2465995151697805e-49,0,,201,100
36,360,1160,1.3972881693765912e-56,0,,200,100
37,370,1170,1.945813435854683e-56,0,,200,100
38,380,1180,8.618574216817998e-45,0,,198,100
39,390,1190,1.2861545213492624e-42,0,,199,100
40,400,1200,1.1236641621573126e-40,0,,199,100
41,410,1210,1.5407942448629778e-38,0,,199,100
42,420,1220,4.525947689905526e-43,0,,199,100
43,430,1230,5.667125336751427e-44,0,,199,100
44,440,1240,2.98173065677044e-44,0,,200,100
45,450,1250,7.69762218287761e-45,0,,200,100
46,460,1260,8.10752560281223e-42,0,,200,100
47,470,1270,1.7119178332064073e-44,0,,201,100
48,480,1280,3.73194587649824e-39,0,,201,100
49,490,1290,3.2132135839286776e-39,0,,200,100
50,500,1300,2.4562832089672185e-42,0,,199,100
51,510,1310,1.3033055787256597e-41,0,,199,100
52,520,1320,7.633785724213285e-43,0,,201,100
53,530,1330,8.286161678779216e-38,0,,200,100
54,540,1340,5.713668267744674e-39,0,,202,100
55,550,1350,9.38294968481805e-41,0,,201,100
