window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.5594259443697008,1,,150,100
1,15,815,1.2015248873803316e-05,0,,152,100
2,19,819,3.947036217270256e-06,0,,149,100
3,23,823,4.4672043462796484e-06,0,,150,100
4,26,826,2.407217970454864e-05,0,,150,100
5,33,833,2.8458771018572587e-06,0,,150,100
6,37,837,4.43108465325843e-05,0,,150,100
7,44,844,7.882026019924706e-06,0,,152,100
8,51,851,0.00014218466580220572,0,,150,100
9,56,856,2.41773710378503e-06,0,,151,100
10,59,859,7.208216702158281e-05,0,,150,100
11,67,867,0.8254640368523407,1,,150,100
12,81,881,0.1459021407808691,1,,151,100
13,85,885,1.0,1,,152,100
14,95,895,0.0005662307316288035,0,,150,100
15,104,904,0.0027380930341169753,1,,151,100
16,109,909,0.0003274579626998587,0,,150,100
17,113,913,0.00024030002206240893,0,,151,100
18,123,923,0.0010987600617506541,1,,151,100
19,134,934,0.0009352256062828724,0,,151,100
20,138,938,0.0001322542912863058,0,,152,100
21,147,947,0.0002028057827372169,0,,151,100
22,149,949,0.7109396175594218,1,,152,100
23,165,965,4.5874066549804046e-07,0,,153,100
24,168,968,3.065450638533968e-06,0,,153,100
25,175,975,3.437184377455068e-06,0,,153,100
26,180,980,1.4596230781024053e-06,0,,153,100
27,185,985,0.3627866861010343,1,,155,100
28,192,992,4.028262546501094e-07,0,,155,100
29,196,996,9.172150182919003e-06,0,,154,100
30,202,1002,5.928529984975237e-06,0,,155,100
31,218,1018,0.00011156545988293658,0,,155,100
32,226,1026,0.00027411783085447457,0,,156,100
33,231,1031,2.3054549055566813e-05,0,,155,100
34,236,1036,8.851533669945785e-05,0,,155,100
35,239,1039,0.0014131376270494075,1,,154,100
36,250,1050,0.00011856622564535395,0,,155,100
37,254,1054,6.182943931793192e-05,0,,156,100
38,258,1058,5.97673580308603e-05,0,,156,100
39,268,1068,0.5411526125242834,1,,156,100
40,284,1084,3.0453465582344387e-05,0,,155,100
41,286,1086,0.3554187744364996,1,,157,100
42,302,1102,8.764955989641445e-08,0,,157,100
43,305,1105,6.1002446996174744e-05,0,,157,100
44,312,1112,0.0005939934396652748,0,,158,100
45,317,1117,1.6939140296978816e-05,0,,159,100
46,322,1122,0.44787487010630717,1,,159,100
47,332,1132,4.1820224700485485e-07,0,,159,100
48,336,1136,6.312319865235859e-06,0,,157,100
49,342,1142,0.00018841132170949255,0,,157,100
50,358,1158,0.00010272433751642146,0,,159,100
51,366,1166,7.927066604327071e-05,0,,160,100
52,371,1171,3.120441604253681e-05,0,,160,100
53,376,1176,0.000105061393925181,0,,162,100
54,379,1179,0.002572015651076625,1,,161,100
55,390,1190,0.0016609916372010828,1,,163,100
56,394,1194,0.001003482980446098,1,,164,100
57,398,1198,2.4901080796715707e-05,0,,162,100
58,408,1208,0.06862695667885041,1,,164,100
59,419,1219,4.297848667224104e-05,0,,163,100
60,422,1222,3.1194068530155834e-05,0,,163,100
61,432,1232,8.446069319523144e-05,0,,162,100
62,446,1246,0.0011957966034402323,1,,164,100
63,453,1253,0.002578937111522627,1,,165,100
64,459,1259,0.00017374336989247968,0,,164,100
65,469,1269,0.00016602570786656968,0,,165,100
66,478,1278,0.00016650850369029683,0,,165,100
67,483,1283,5.083436464632178e-05,0,,166,100
68,487,1287,0.0007703082144493711,0,,165,100
69,505,1305,0.0033658153532811668,1,,165,100
70,507,1307,0.004851624752181734,1,,165,100
71,515,1315,5.23087414852644e-07,0,,165,100
72,519,1319,2.0089080566393764e-06,0,,166,100
73,524,1324,1.8898292078392018e-06,0,,167,100
74,527,1327,5.1683222901978064e-05,0,,164,100
75,531,1331,0.002160594082407335,1,,164,100
76,546,1346,4.84560446335122e-05,0,,165,100
77,550,1350,1.8997016109249487e-06,0,,163,100
78,560,1360,3.7288329312786756e-05,0,,163,100
79,566,1366,1.5117092538456169e-05,0,,163,100
80,569,1369,9.046059591722053e-06,0,,163,100
81,573,1373,0.37974917338268255,1,,164,100
82,586,1386,0.00012938588190785087,0,,167,100
83,590,1390,1.0322681188180902e-05,0,,167,100
84,593,1393,2.798395683292128e-05,0,,167,100
85,598,1398,6.018168552554768e-06,0,,167,100
86,601,1401,0.0859860738305081,1,,168,100
87,609,1409,1.1568576219716262e-07,0,,167,100
88,612,1412,0.03833187100375701,1,,168,100
89,620,1420,6.099377748900995e-05,0,,167,100
90,635,1435,0.01774050036662588,1,,166,100
91,643,1443,0.024068849811191846,1,,167,100
92,648,1448,0.08497900830398314,1,,166,100
93,653,1453,0.005589028804168362,1,,165,100
94,662,1462,0.019163924733915667,1,,164,100
95,670,1470,0.1668315983504691,1,,163,100
96,679,1479,0.016159470975731366,1,,162,100
97,685,1485,0.05057065135148131,1,,161,100
98,693,1493,0.0001628172630257392,0,,160,100
99,706,1506,0.9882496902584595,1,,156,100
100,711,1511,0.9647490707753785,1,,156,100
101,720,1520,7.850519222178425e-05,0,,154,100
102,723,1523,0.8048087957445509,1,,155,100
103,732,1532,9.22453271605563e-06,0,,152,100
104,735,1535,0.0005742506536347475,0,,151,100
105,739,1539,0.300798128210551,1,,151,100
106,749,1549,0.3433412039182415,1,,151,100
107,757,1557,1.4454306551425053e-05,0,,148,100
108,761,1561,0.765094393937952,1,,150,100
109,774,1574,0.00017665914857937658,0,,146,100
110,778,1578,0.00039378489931612954,0,,144,100
111,782,1582,0.0004053944482327141,0,,142,100
112,786,1586,0.8585628012581571,1,,140,100
113,790,1590,0.9647490707753785,1,,140,100
114,798,1598,0.05738210079957986,1,,138,100
115,801,1601,0.9363273362256687,1,,138,100
116,809,1609,0.8412299465783744,1,,138,100
117,821,1621,0.00046642225943809907,0,,134,100
118,832,1632,2.2255441268833874e-05,0,,132,100
119,836,1636,0.00014094613552962805,0,,131,100
120,840,1640,0.5504847312400925,1,,131,100
121,848,1648,6.0323123582835695e-05,0,,129,100
122,852,1652,2.4234692537991352e-05,0,,127,100
123,856,1656,0.32131615388261237,1,,127,100
124,864,1664,0.9677431727662805,1,,124,100
125,875,1675,0.030646901170507865,1,,121,100
126,878,1678,0.8809410428845015,1,,121,100
127,894,1694,0.0001138122464111882,0,,119,100
128,898,1698,0.9118726769384466,1,,119,100
129,906,1706,0.00017163846149092888,0,,117,100
130,910,1710,6.130237907668946e-05,0,,116,100
131,912,1712,0.6006641508101154,1,,117,100
132,923,1723,0.4590805305630128,1,,116,100
133,931,1731,0.00018762822633326687,0,,113,100
134,935,1735,0.9301884904458679,1,,111,100
135,947,1747,0.17740502242924192,1,,108,100
136,950,1750,7.665892265072071e-05,0,,107,100
137,953,1753,8.171813290553989e-05,0,,106,100
138,959,1759,0.6208868302019227,1,,106,100
139,965,1765,0.07203270169868081,1,,104,100
140,976,1776,0.10567647558439382,1,,102,100
