window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,6.632876319531783e-07,0,,164,100
1,3,803,0.00048725226768300253,0,,163,100
2,13,813,0.07078629631051166,1,,163,100
3,18,818,0.15863878937766296,1,,162,100
4,21,821,0.001290610150314948,1,,160,100
5,27,827,0.0004729569277841977,0,,155,100
6,31,831,0.002721959944359017,1,,157,100
7,41,841,3.865844436226596e-06,0,,156,100
8,53,853,1.4143428109296302e-05,0,,158,100
9,56,856,1.6666986765403282e-06,0,,156,100
10,60,860,5.310769604290013e-08,0,,157,100
11,69,869,0.04402403807607715,1,,159,100
12,76,876,1.1065004627125145e-05,0,,158,100
13,83,883,2.3746349787407275e-06,0,,157,100
14,86,886,1.4775251732833773e-05,0,,156,100
15,95,895,0.32315996742281905,1,,157,100
16,100,900,8.49331852375705e-05,0,,155,100
17,103,903,7.682900252945334e-05,0,,155,100
18,107,907,5.574817733214812e-05,0,,155,100
19,114,914,1.938646043039857e-06,0,,155,100
20,117,917,9.539673016064342e-05,0,,155,100
21,123,923,0.00043969528807554046,0,,156,100
22,131,931,9.941045782728184e-05,0,,156,100
23,134,934,0.2604872236980141,1,,157,100
24,142,942,1.7675014363399002e-05,0,,157,100
25,152,952,7.019621678657085e-05,0,,158,100
26,156,956,0.00029754819144445433,0,,157,100
27,160,960,3.859569364234058e-05,0,,158,100
28,167,967,0.00018344470207248552,0,,158,100
29,170,970,0.06582069578426061,1,,159,100
30,179,979,5.5874572650210536e-05,0,,161,100
31,183,983,0.00041825844169150723,0,,160,100
32,193,993,0.00023517227261949096,0,,161,100
33,199,999,5.1876255676465726e-05,0,,160,100
34,205,1005,8.954602993180825e-05,0,,161,100
35,210,1010,0.0037542028275524757,1,,161,100
36,220,1020,2.3550170711861038e-07,0,,162,100
37,225,1025,0.0001163421364396533,0,,161,100
38,230,1030,2.7378062396425542e-05,0,,161,100
39,239,1039,0.00016636601124867632,0,,161,100
40,243,1043,0.0007448242835414565,0,,160,100
41,246,1046,0.1594561173616712,1,,160,100
42,253,1053,2.1401245371467865e-05,0,,159,100
43,259,1059,1.2451836577333015e-05,0,,160,100
44,263,1063,0.00026865495861556736,0,,158,100
45,270,1070,3.5595489398338585e-07,0,,158,100
46,273,1073,2.9405173885732443e-05,0,,158,100
47,277,1077,0.00011135263323386068,0,,158,100
48,284,1084,2.1231566440880377e-05,0,,157,100
49,288,1088,0.15535293938905118,1,,159,100
50,297,1097,9.10986896075562e-06,0,,160,100
51,301,1101,0.00019654749787957902,0,,160,100
52,307,1107,2.8655179381494385e-05,0,,159,100
53,315,1115,0.0003296674189242952,0,,160,100
54,318,1118,0.0001968100089287141,0,,160,100
55,324,1124,0.00020104770489777867,0,,160,100
56,328,1128,0.23764098427937966,1,,161,100
57,333,1133,7.724364384169001e-06,0,,159,100
58,336,1136,0.0012742224287345082,1,,159,100
59,343,1143,2.397789462634371e-06,0,,159,100
60,347,1147,1.365092658736038e-05,0,,159,100
61,350,1150,0.0007731910857588093,0,,159,100
62,359,1159,0.001052250100220478,1,,158,100
63,363,1163,0.005900275191379215,1,,159,100
64,371,1171,1.0220747173502138e-05,0,,159,100
65,377,1177,0.00112799660900794,1,,159,100
66,379,1179,0.003626564941460138,1,,159,100
67,386,1186,0.000361306402840133,0,,159,100
68,394,1194,7.754153477975658e-06,0,,159,100
69,397,1197,3.989303156324266e-05,0,,158,100
70,401,1201,0.006511471352100785,1,,159,100
71,410,1210,4.795312989399964e-07,0,,157,100
72,413,1213,3.676142833660324e-05,0,,158,100
73,421,1221,8.033067076387531e-06,0,,158,100
74,430,1230,0.0003870018134253339,0,,157,100
75,435,1235,8.753635843492613e-05,0,,157,100
76,440,1240,7.212474021231155e-06,0,,157,100
77,447,1247,8.734698877182063e-05,0,,157,100
78,455,1255,3.338065972249965e-05,0,,158,100
79,459,1259,0.05913997713698375,1,,159,100
80,466,1266,3.100733442485495e-05,0,,158,100
81,472,1272,1.0912810946529526e-05,0,,158,100
82,478,1278,1.8021395357693092e-06,0,,157,100
83,483,1283,1.1502871148602795e-09,0,,157,100
84,486,1286,1.3368704247534904e-06,0,,157,100
85,490,1290,0.0037574179656413315,1,,156,100
86,502,1302,0.2979846085834611,1,,154,100
87,505,1305,0.0012012071298604357,1,,153,100
88,510,1310,0.0004954621476105927,0,,153,100
89,516,1316,0.002172112949001834,1,,154,100
90,523,1323,9.503897356903105e-06,0,,155,100
91,526,1326,1.0440488038204645e-06,0,,155,100
92,529,1329,3.606976229427823e-05,0,,155,100
93,543,1343,0.0014543667606341233,1,,153,100
94,548,1348,0.00012838126822323686,0,,152,100
95,552,1352,0.00016862948530841222,0,,152,100
96,556,1356,0.00017284801856581137,0,,152,100
97,560,1360,0.0009669759265389411,0,,151,100
98,568,1368,0.0015098372132685493,1,,153,100
99,575,1375,0.009812949014246616,1,,152,100
100,580,1380,9.48823510999632e-05,0,,152,100
101,585,1385,0.002257281470563444,1,,152,100
102,589,1389,0.035797460490238776,1,,153,100
103,597,1397,4.9382035269579916e-05,0,,153,100
104,600,1400,5.341887307797813e-05,0,,153,100
105,606,1406,0.00025564714193583864,0,,153,100
106,614,1414,0.0001781262017724859,0,,152,100
107,619,1419,0.005041679230086324,1,,153,100
108,627,1427,0.39484006650941744,1,,154,100
109,639,1439,0.0007522905613581597,0,,153,100
110,647,1447,0.007887180859613869,1,,152,100
111,652,1452,0.0026608066521042273,1,,152,100
112,658,1458,0.0009541163117099312,0,,153,100
113,664,1464,0.000490368320447529,0,,154,100
114,668,1468,0.013816863892071282,1,,152,100
115,674,1474,0.00025570514631474255,0,,152,100
116,682,1482,1.2630821465583637e-05,0,,153,100
117,686,1486,7.257132732041726e-05,0,,153,100
118,690,1490,0.13241294975360632,1,,154,100
119,698,1498,1.8153296708447017e-05,0,,154,100
120,701,1501,0.00945653210699338,1,,154,100
121,718,1518,0.001567914229413356,1,,156,100
122,721,1521,0.001299517475123293,1,,155,100
123,728,1528,7.342587816636602e-05,0,,155,100
124,734,1534,1.0382385864375986e-05,0,,155,100
125,742,1542,0.16926331751903625,1,,156,100
126,754,1554,0.00041212994092589954,0,,155,100
127,758,1558,0.01404448546880774,1,,156,100
128,769,1569,9.360178319915815e-06,0,,157,100
129,775,1575,4.846719716282629e-06,0,,157,100
130,780,1580,0.014235946659569622,1,,156,100
131,789,1589,9.16953671809413e-05,0,,156,100
132,795,1595,0.0002448407250179235,0,,156,100
133,800,1600,8.41384648335481e-06,0,,155,100
134,807,1607,0.00032147794399574146,0,,156,100
135,812,1612,3.8386775386264205e-06,0,,158,100
136,816,1616,0.0006357292600154475,0,,159,100
137,824,1624,1.4967710331399026e-06,0,,159,100
138,827,1627,2.3209463075760215e-07,0,,158,100
139,831,1631,0.0001741317229771963,0,,161,100
140,841,1641,0.00024317641126482512,0,,160,100
141,848,1648,0.001008533424809846,1,,160,100
142,857,1657,3.476520645294706e-07,0,,160,100
143,861,1661,2.1491232927569466e-05,0,,160,100
144,866,1666,3.3111078931758975e-06,0,,160,100
145,869,1669,3.616162403143643e-05,0,,160,100
146,880,1680,0.11538228247122716,1,,162,100
147,888,1688,0.0317480333752239,1,,164,100
148,900,1700,1.706072281767591e-06,0,,163,100
149,903,1703,7.027205818499372e-05,0,,162,100
150,909,1709,7.777381920735796e-07,0,,163,100
151,915,1715,0.0005129019591928728,0,,162,100
152,918,1718,4.742681795763447e-06,0,,161,100
153,921,1721,7.896981054532062e-05,0,,160,100
154,925,1725,0.00038740333322018227,0,,160,100
155,931,1731,1.699115130474541e-05,0,,160,100
156,934,1734,5.415111025645526e-06,0,,160,100
157,938,1738,0.0001859850956793601,0,,160,100
158,945,1745,0.00020098468693400393,0,,160,100
159,948,1748,0.00011066113061821254,0,,160,100
160,954,1754,2.2662701552067684e-06,0,,160,100
161,957,1757,3.5233211723072796e-05,0,,160,100
162,960,1760,1.7679051456385514e-07,0,,159,100
163,968,1768,8.030067421114483e-05,0,,158,100
164,972,1772,2.080376403391842e-06,0,,157,100
165,976,1776,4.3155957512532075e-05,0,,157,100
166,979,1779,0.0013725805509509216,1,,158,100
167,989,1789,0.00018968702065143902,0,,159,100
168,993,1793,3.887509649427651e-05,0,,159,100
169,1005,1805,0.0033839714613615817,1,,161,100
170,1012,1812,9.187026456681264e-06,0,,160,100
171,1016,1816,4.274323239633898e-06,0,,160,100
172,1027,1827,0.0005292770417459296,0,,160,100
173,1030,1830,4.721441136032637e-05,0,,159,100
174,1035,1835,0.007328113214060006,1,,160,100
175,1046,1846,1.2298880880224644e-05,0,,161,100
176,1050,1850,0.0004407251936612068,0,,162,100
177,1061,1861,2.1637107863845246e-05,0,,162,100
178,1065,1865,1.8298530911932235e-05,0,,161,100
179,1072,1872,9.196936777773413e-06,0,,161,100
180,1075,1875,9.607043204019117e-05,0,,161,100
181,1080,1880,1.0783093050874113e-05,0,,160,100
182,1086,1886,1.1693435930614516e-05,0,,160,100
183,1089,1889,6.162941055981525e-05,0,,159,100
184,1092,1892,1.3398112520689212e-06,0,,159,100
185,1097,1897,1.0723662413858843e-05,0,,158,100
186,1103,1903,0.0008077477700512738,0,,160,100
187,1108,1908,3.1677323542054966e-06,0,,159,100
188,1113,1913,1.424092138119855e-06,0,,159,100
189,1120,1920,7.04654662090813e-05,0,,159,100
190,1123,1923,5.738492318865238e-06,0,,159,100
191,1130,1930,0.0002186042269815077,0,,159,100
192,1136,1936,7.537983257877121e-06,0,,159,100
193,1143,1943,2.6598723334083956e-05,0,,160,100
194,1147,1947,0.0005788824647180958,0,,160,100
195,1158,1958,0.05040907448876146,1,,160,100
196,1168,1968,0.007359969999435143,1,,158,100
197,1176,1976,0.0005493123818538373,0,,158,100
198,1181,1981,0.000604614474880644,0,,160,100
199,1189,1989,0.0004319157961573577,0,,160,100
200,1194,1994,0.2252897597520231,1,,163,100
201,1206,2006,7.407613638691658e-06,0,,161,100
202,1211,2011,0.02835083411704142,1,,163,100
203,1223,2023,2.4834868023561395e-06,0,,162,100
204,1230,2030,1.025563790115372e-05,0,,162,100
205,1234,2034,1.0832202139768295e-06,0,,161,100
206,1237,2037,2.1360072796991283e-05,0,,161,100
207,1245,2045,2.4868404025628067e-06,0,,161,100
208,1249,2049,0.0006112385624196401,0,,161,100
209,1255,2055,2.3424659276288e-07,0,,162,100
210,1259,2059,7.036153787218136e-06,0,,162,100
211,1269,2069,0.007558229514916366,1,,163,100
212,1277,2077,0.0003897669797435933,0,,163,100
213,1281,2081,2.562344851289428e-05,0,,163,100
214,1293,2093,8.03134591477774e-05,0,,165,100
215,1297,2097,0.0013943738150166962,1,,164,100
216,1308,2108,0.014791589738677745,1,,166,100
217,1313,2113,0.0004363880610214166,0,,165,100
218,1320,2120,0.0019111740091577493,1,,164,100
219,1325,2125,0.00022535507293161214,0,,165,100
220,1333,2133,0.0005100287776352492,0,,166,100
221,1337,2137,0.00024643287111038564,0,,166,100
222,1342,2142,0.0889389427955204,1,,168,100
223,1351,2151,6.870001349178805e-05,0,,167,100
224,1354,2154,0.03528684416372341,1,,168,100
225,1362,2162,9.758032815204134e-06,0,,167,100
226,1368,2168,0.0009349359164781293,0,,169,100
227,1374,2174,1.6604050883673275e-06,0,,168,100
228,1378,2178,0.004656802633356494,1,,169,100
229,1390,2190,2.0341269707006736e-06,0,,167,100
230,1395,2195,4.957922461478231e-05,0,,166,100
231,1398,2198,7.469077188437594e-06,0,,165,100
232,1404,2204,0.0035997912308954037,1,,167,100
233,1415,2215,1.8977884820144027e-06,0,,167,100
234,1418,2218,1.0118028583423096e-05,0,,166,100
235,1429,2229,3.252667741504512e-07,0,,169,100
236,1433,2233,1.390900648745488e-06,0,,168,100
237,1439,2239,2.666529152438438e-09,0,,168,100
238,1442,2242,6.36896856278138e-06,0,,168,100
239,1448,2248,1.2906907132770793e-08,0,,168,100
240,1453,2253,0.000269600934151418,0,,167,100
241,1457,2257,0.04088710328846855,1,,168,100
242,1469,2269,0.006279252945837991,1,,168,100
243,1473,2273,6.565500398246913e-05,0,,168,100
244,1478,2278,5.393351552416949e-07,0,,167,100
245,1480,2280,8.71227441728429e-06,0,,166,100
246,1485,2285,9.616005093836555e-09,0,,166,100
247,1491,2291,9.719109433912025e-07,0,,166,100
248,1494,2294,1.6181444528665173e-05,0,,167,100
249,1501,2301,1.2358836706055542e-06,0,,165,100
250,1505,2305,8.478123800642504e-08,0,,166,100
251,1518,2318,1.6195177631450776e-06,0,,163,100
252,1527,2327,1.7204896643019896e-05,0,,165,100
253,1538,2338,4.5068978016586146e-07,0,,163,100
254,1542,2342,5.429448292067519e-07,0,,162,100
255,1547,2347,1.141608928963727e-06,0,,163,100
256,1554,2354,0.002797805913763614,1,,164,100
257,1562,2362,1.7242329197996993e-05,0,,163,100
258,1564,2364,2.657538057515737e-05,0,,163,100
259,1571,2371,2.594558197332169e-06,0,,163,100
260,1574,2374,5.1310814673499534e-05,0,,163,100
261,1581,2381,1.392355159709345e-06,0,,163,100
262,1586,2386,3.549628219222889e-05,0,,164,100
263,1592,2392,0.00010679886459835557,0,,164,100
264,1601,2401,3.6583241225578966e-05,0,,165,100
265,1612,2412,0.00036651943913012657,0,,163,100
266,1615,2415,3.826279086094117e-06,0,,162,100
267,1618,2418,2.284852543712234e-05,0,,163,100
268,1624,2424,0.00016752041697140532,0,,161,100
269,1631,2431,0.000297684428258762,0,,160,100
270,1634,2434,2.131492876878314e-07,0,,160,100
271,1637,2437,1.9185056052184826e-05,0,,160,100
272,1643,2443,0.012548077814828583,1,,163,100
273,1649,2449,3.243390197885014e-05,0,,162,100
274,1652,2452,1.287864388051486e-05,0,,162,100
275,1658,2458,1.8187882308885983e-06,0,,161,100
276,1662,2462,1.5918126064484654e-07,0,,161,100
277,1667,2467,1.3656650797442217e-05,0,,162,100
278,1679,2479,7.0648946787564685e-06,0,,162,100
279,1683,2483,2.649848359135608e-07,0,,162,100
280,1686,2486,3.327383293980729e-05,0,,161,100
281,1694,2494,2.9732617205855657e-08,0,,161,100
282,1698,2498,4.7378560776590724e-05,0,,161,100
283,1705,2505,2.2985072862172217e-06,0,,160,100
284,1709,2509,1.758187788137725e-07,0,,160,100
285,1715,2515,3.361536184333243e-07,0,,159,100
286,1722,2522,5.430603168817151e-07,0,,161,100
287,1738,2538,5.723572162503133e-06,0,,161,100
288,1742,2542,5.606091735864624e-09,0,,160,100
289,1747,2547,9.859068460672339e-06,0,,160,100
290,1751,2551,1.0552368727363578e-05,0,,160,100
291,1759,2559,0.0002311250458618403,0,,161,100
292,1770,2570,8.16746990726811e-09,0,,160,100
293,1773,2573,2.5516738105592702e-05,0,,159,100
294,1779,2579,1.6328961887622582e-07,0,,160,100
295,1789,2589,3.3177574554612376e-06,0,,158,100
296,1793,2593,1.2455252738195589e-06,0,,157,100
297,1798,2598,2.4349960420164814e-06,0,,157,100
298,1801,2601,4.89937989215164e-07,0,,157,100
299,1805,2605,3.2999630932563143e-06,0,,156,100
300,1809,2609,0.00022660457419014732,0,,158,100
301,1819,2619,1.0569812504160047e-06,0,,157,100
302,1825,2625,9.332142982555014e-06,0,,158,100
303,1836,2636,1.0388868566417123e-07,0,,160,100
304,1841,2641,6.039109099253494e-07,0,,160,100
305,1844,2644,3.282547744611219e-06,0,,160,100
306,1850,2650,1.1412420187138268e-08,0,,160,100
307,1856,2656,1.6235011623543503e-06,0,,159,100
308,1863,2663,6.09709047396408e-07,0,,160,100
309,1871,2671,1.829724299629558e-06,0,,161,100
310,1874,2674,5.425345139203092e-07,0,,162,100
311,1886,2686,0.002857432555850766,1,,163,100
312,1890,2690,4.260973975042923e-05,0,,163,100
