window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.40659471541967296,1,,177,100
1,5,805,0.00010126024395985628,0,,178,100
2,11,811,3.815504940776126e-05,0,,178,100
3,15,815,0.000596339281619054,0,,178,100
4,21,821,9.214109046950772e-06,0,,177,100
5,27,827,1.5489978768589526e-05,0,,178,100
6,31,831,7.237688943334378e-06,0,,178,100
7,35,835,0.19341368662599512,1,,178,100
8,43,843,0.5432478053020606,1,,180,100
9,51,851,8.904557793516588e-07,0,,181,100
10,57,857,3.029693419240212e-05,0,,180,100
11,60,860,0.0022531648423304612,1,,179,100
12,65,865,5.1447344810804465e-05,0,,179,100
13,76,876,0.0003847730232139527,0,,180,100
14,78,878,0.00022558844203857993,0,,179,100
15,82,882,0.00017993427329384445,0,,180,100
16,90,890,0.5698052274394673,1,,181,100
17,100,900,4.667420251699813e-06,0,,182,100
18,103,903,0.0013488872104320325,1,,182,100
19,112,912,0.0001710766324308414,0,,181,100
20,116,916,0.3449693914456147,1,,183,100
21,126,926,2.4016315329207788e-05,0,,184,100
22,129,929,0.0002267257642753664,0,,182,100
23,133,933,0.16627949364507005,1,,183,100
24,145,945,0.0010321976672326338,1,,184,100
25,150,950,0.0025079477631010532,1,,184,100
26,154,954,8.027702499862391e-07,0,,183,100
27,158,958,0.00015917482701750213,0,,183,100
28,162,962,2.7558175653993574e-05,0,,183,100
29,170,970,0.0002963201241644204,0,,183,100
30,178,978,0.23169500968850876,1,,181,100
31,182,982,0.00046232893929212327,0,,180,100
32,185,985,0.0004786397790260228,0,,180,100
33,189,989,0.2691569994720786,1,,180,100
34,197,997,3.2791959279191284e-05,0,,180,100
35,200,1000,0.0017342700003512889,1,,180,100
36,202,1002,0.00044015753482083627,0,,180,100
37,208,1008,5.324021065479399e-05,0,,181,100
38,214,1014,2.794741269786545e-05,0,,181,100
39,219,1019,0.0009104704261114307,0,,180,100
40,227,1027,0.00020531954771228894,0,,181,100
41,235,1035,0.0008128412351870069,0,,182,100
42,240,1040,3.494868860079156e-05,0,,182,100
43,248,1048,0.00094106000651932,0,,182,100
44,251,1051,2.8483147146537042e-05,0,,182,100
45,255,1055,7.800411592675385e-05,0,,182,100
46,262,1062,8.268113316908437e-05,0,,182,100
47,265,1065,0.04960414396773057,1,,182,100
48,275,1075,1.6720284296632127e-05,0,,183,100
49,279,1079,0.00035438277570859684,0,,182,100
50,282,1082,0.008827076217356669,1,,183,100
51,293,1093,4.89375292889094e-05,0,,180,100
