window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,12,812,1.8290031513807253e-05,0,,152,100
2,15,815,0.36230597185822416,1,,152,100
3,22,822,0.7142489908562754,1,,154,100
4,31,831,8.579469161878798e-05,0,,152,100
5,36,836,0.00043560405559184956,0,,152,100
6,39,839,1.0466070748822436e-05,0,,151,100
7,47,847,1.284464168737057e-05,0,,151,100
8,50,850,8.388509815269697e-07,0,,151,100
9,54,854,0.0002689378042702152,0,,151,100
10,61,861,0.9823745353876893,1,,153,100
11,71,871,0.00012155088036652199,0,,152,100
12,73,873,0.0001681286686304194,0,,152,100
13,78,878,0.0011899021319741788,1,,151,100
14,81,881,0.00010933815223021524,0,,151,100
15,86,886,5.81161211767536e-06,0,,151,100
16,95,895,0.0003687286070478008,0,,152,100
17,99,899,0.0002385595011468081,0,,152,100
18,110,910,0.0013494387120114857,1,,153,100
19,124,924,0.0001441642362822244,0,,155,100
20,130,930,0.0010140112019272234,1,,154,100
21,135,935,0.00019201852156770457,0,,154,100
22,148,948,0.0019738747606987328,1,,155,100
23,151,951,0.0002590299151060949,0,,155,100
24,156,956,0.003038199796302985,1,,154,100
25,159,959,0.0002252852406887247,0,,153,100
26,163,963,0.0001565905725523404,0,,154,100
27,172,972,0.00012905821512560305,0,,155,100
28,180,980,0.9294981415507573,1,,155,100
29,193,993,0.0023986604702395174,1,,156,100
30,203,1003,0.0009143485151018594,0,,157,100
31,211,1011,0.8774878455272164,1,,158,100
32,222,1022,0.006819472348833691,1,,157,100
33,226,1026,4.2709144520737724e-05,0,,157,100
34,233,1033,0.021803615721775183,1,,156,100
35,236,1036,0.0006698185761842975,0,,155,100
36,241,1041,0.00012962260774448218,0,,153,100
37,247,1047,0.0001333612996568259,0,,151,100
38,255,1055,0.0007941103688958865,0,,149,100
39,262,1062,0.00047649126197486487,0,,147,100
40,271,1071,0.7295566691103251,1,,146,100
41,283,1083,0.016422583837667298,1,,145,100
42,295,1095,0.0012139392962009566,1,,141,100
43,302,1102,3.989410644777548e-05,0,,139,100
44,307,1107,0.9764993805169191,1,,139,100
45,314,1114,3.6752221931312896e-05,0,,137,100
46,317,1117,2.6164621709788498e-05,0,,136,100
47,321,1121,3.917181733545453e-05,0,,135,100
48,331,1131,0.000663072106322757,0,,133,100
49,335,1135,0.00014584465770418496,0,,132,100
50,338,1138,0.8073950131789385,1,,132,100
51,345,1145,6.147052195588477e-05,0,,130,100
52,353,1153,9.864930972891536e-06,0,,129,100
53,356,1156,0.26778607479147404,1,,129,100
54,361,1161,9.301544445387129e-05,0,,127,100
55,365,1165,0.0037068798672600964,1,,126,100
56,374,1174,0.0003221802534378452,0,,125,100
57,377,1177,0.6953591248931335,1,,126,100
58,387,1187,0.0005394583078583657,0,,123,100
59,390,1190,2.950911978131475e-05,0,,122,100
60,393,1193,4.550851724167026e-05,0,,121,100
61,397,1197,0.004637316376374789,1,,119,100
62,405,1205,1.2140009252664164e-05,0,,118,100
63,408,1208,0.0003493057531233553,0,,117,100
64,412,1212,0.00024121829872713197,0,,116,100
65,422,1222,0.00021121130642367565,0,,115,100
66,435,1235,1.0,1,,111,100
67,439,1239,8.624619516363205e-05,0,,110,100
68,445,1245,3.246443925475987e-05,0,,109,100
69,455,1255,4.389973241458006e-05,0,,108,100
70,462,1262,0.0001948126218026784,0,,107,100
71,466,1266,5.760142443907863e-05,0,,106,100
72,471,1271,1.0918648993783705e-05,0,,105,100
73,482,1282,5.2305928355762525e-05,0,,104,100
74,489,1289,3.705133521145958e-06,0,,103,100
75,495,1295,3.8793913410845745e-05,0,,102,100
76,498,1298,0.0006480062886485916,0,,101,100
77,507,1307,0.0005448536098453053,0,,100,100
