window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.09343038330509376,1,,185,100
1,5,805,0.007962127235922536,1,,181,100
2,9,809,0.10858566417181344,1,,181,100
3,14,814,0.0006337277212786483,0,,179,100
4,17,817,2.199110636784278e-06,0,,178,100
5,20,820,0.010005453495947522,1,,178,100
6,30,830,0.00032988757743824946,0,,175,100
7,32,832,2.120172914939281e-05,0,,174,100
8,38,838,4.0580098952673984e-05,0,,173,100
9,42,842,1.6238742221068874e-08,0,,172,100
10,49,849,0.014505495429811154,1,,168,100
11,54,854,0.003996314898234496,1,,164,100
12,57,857,2.0299373619695213e-05,0,,163,100
13,64,864,0.000585643347937414,0,,161,100
14,67,867,1.7707568960010566e-06,0,,160,100
15,70,870,5.948007769167274e-07,0,,159,100
16,74,874,2.6324854127179127e-06,0,,158,100
17,79,879,8.233456554081994e-08,0,,157,100
18,82,882,9.929504272292125e-07,0,,156,100
19,88,888,5.4348478413920156e-05,0,,156,100
20,98,898,1.9404596463138862e-05,0,,153,100
21,101,901,9.991239567434922e-07,0,,152,100
22,109,909,1.3549284343849365e-07,0,,150,100
23,112,912,5.719293290752043e-05,0,,150,100
24,119,919,5.995517271579712e-05,0,,147,100
25,123,923,1.0297515084804933e-06,0,,146,100
26,129,929,3.2188186012539814e-07,0,,145,100
27,138,938,0.0818377963464626,1,,141,100
28,143,943,0.004110802101842328,1,,137,100
29,146,946,3.9600966971825196e-05,0,,136,100
30,156,956,1.8894223680374037e-05,0,,134,100
31,159,959,0.002017296592800305,1,,134,100
32,165,965,0.0001315077098913233,0,,131,100
33,168,968,4.542336556575035e-06,0,,130,100
34,176,976,5.813125079657507e-09,0,,128,100
35,179,979,8.618418117189965e-07,0,,127,100
36,182,982,5.960721638575219e-10,0,,126,100
37,186,986,1.5787528845178186e-06,0,,125,100
38,192,992,2.8138023136972584e-08,0,,124,100
39,195,995,0.013638075469701283,1,,125,100
40,209,1009,0.0013985558010310762,1,,121,100
41,213,1013,1.7500780324089726e-05,0,,120,100
42,217,1017,5.990630457292752e-05,0,,119,100
43,224,1024,2.694536764174288e-08,0,,118,100
44,231,1031,0.31582998340612634,1,,113,100
45,236,1036,0.0028623398155736665,1,,109,100
46,241,1041,2.026895728865112e-05,0,,106,100
47,248,1048,1.946935959645376e-05,0,,105,100
48,250,1050,2.81433963688814e-06,0,,104,100
49,255,1055,1.5531051524462235e-05,0,,103,100
50,263,1063,1.4812146849671888e-06,0,,102,100
51,267,1067,0.0008542121211880708,0,,102,100
52,274,1074,3.5071093086636307e-08,0,,100,100
