window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.18909016540448512,1,,162,100
1,6,806,0.0002460057438165393,0,,160,100
2,8,808,2.6232690565337425e-06,0,,159,100
3,16,816,0.001885322894732715,1,,159,100
4,21,821,2.1573806261923483e-07,0,,157,100
5,24,824,4.733040631862226e-06,0,,156,100
6,26,826,0.034354081500163766,1,,156,100
7,35,835,7.1508605153188575e-06,0,,153,100
8,40,840,0.0684207895422393,1,,150,100
9,45,845,1.1001151456394642e-06,0,,148,100
10,49,849,7.2562731473159825e-09,0,,147,100
11,54,854,5.391010062262329e-06,0,,147,100
12,61,861,7.202756546788621e-09,0,,145,100
13,65,865,4.0547042447663235e-06,0,,144,100
14,70,870,0.0014226717090200659,1,,144,100
15,81,881,0.06597805494341163,1,,140,100
16,87,887,1.3929854649815944e-10,0,,139,100
17,93,893,1.1484328487769673e-06,0,,138,100
18,96,896,9.024235288307162e-11,0,,137,100
19,102,902,7.890780016272038e-06,0,,136,100
20,106,906,6.750559083585715e-05,0,,136,100
21,114,914,3.4888612786378955e-06,0,,134,100
22,119,919,9.373035087963364e-10,0,,133,100
23,122,922,0.0001554393959957025,0,,132,100
24,127,927,8.748028371364456e-05,0,,129,100
25,131,931,9.083450531557408e-05,0,,129,100
26,140,940,9.929303020583302e-07,0,,126,100
27,146,946,0.016885980324380073,1,,126,100
28,151,951,3.1164995897513573e-05,0,,124,100
29,155,955,9.687939832494798e-10,0,,123,100
30,159,959,2.7591995868822714e-06,0,,122,100
31,165,965,7.993754933888583e-11,0,,121,100
32,167,967,7.064080454852395e-05,0,,120,100
33,173,973,7.554414017040417e-06,0,,117,100
34,182,982,4.0823443199237626e-10,0,,115,100
35,186,986,4.440302672959639e-07,0,,114,100
36,190,990,4.173978997745323e-09,0,,113,100
37,194,994,5.7237719872893854e-05,0,,112,100
38,198,998,8.350564293931695e-12,0,,111,100
39,201,1001,1.0696429156999729e-08,0,,111,100
40,208,1008,0.0005878922757920885,0,,110,100
41,216,1016,0.008600345421545492,1,,106,100
42,220,1020,1.2316825451905192e-09,0,,105,100
43,226,1026,5.283981291474441e-06,0,,104,100
44,229,1029,4.471616300952757e-10,0,,103,100
45,233,1033,1.7585495839560903e-05,0,,102,100
46,238,1038,6.778583447366862e-05,0,,102,100
47,249,1049,6.811797089114694e-06,0,,100,100
