window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,8.520011333671137e-11,0,,165,100
1,5,805,5.976284578777932e-10,0,,164,100
2,15,815,3.389160580501695e-09,0,,164,100
3,18,818,9.074005929124288e-10,0,,163,100
4,22,822,1.3546097885926825e-11,0,,162,100
5,29,829,1.9268643513824114e-10,0,,161,100
6,32,832,3.8181221895153253e-11,0,,161,100
7,36,836,1.979806867200944e-09,0,,161,100
8,43,843,7.168985223882976e-11,0,,162,100
9,51,851,9.367254929169512e-09,0,,160,100
10,54,854,8.289282369200583e-09,0,,160,100
11,60,860,7.097692309071891e-08,0,,160,100
12,63,863,1.4611143331442155e-10,0,,160,100
13,68,868,2.802510882393265e-11,0,,161,100
14,70,870,3.387104356160443e-10,0,,160,100
15,75,875,1.6097882065277412e-10,0,,160,100
16,83,883,2.3306454647978817e-10,0,,161,100
17,90,890,1.3292874226635956e-10,0,,160,100
18,100,900,8.074000650151024e-12,0,,162,100
19,109,909,7.815067583785709e-11,0,,162,100
20,116,916,5.181456852145728e-13,0,,163,100
21,125,925,1.747682317058451e-15,0,,164,100
22,138,938,4.5523084074477764e-11,0,,160,100
23,146,946,2.7244680642119853e-12,0,,162,100
24,150,950,3.1414876472609304e-12,0,,162,100
25,154,954,4.585246366440883e-11,0,,162,100
26,161,961,1.0319100552297752e-13,0,,164,100
27,170,970,1.7220785020429594e-11,0,,164,100
28,178,978,1.5460561240047942e-14,0,,164,100
29,182,982,5.0289063159073855e-15,0,,165,100
30,190,990,6.4738157121017644e-15,0,,167,100
31,199,999,4.0565887695174386e-11,0,,166,100
32,203,1003,1.707743429875886e-10,0,,165,100
33,210,1010,4.593877868316548e-14,0,,167,100
34,214,1014,3.4430394807283096e-15,0,,167,100
35,224,1024,1.7545207500793702e-16,0,,167,100
36,227,1027,7.500316132132174e-18,0,,167,100
37,235,1035,2.3221865339274315e-19,0,,170,100
38,238,1038,1.979242206549655e-21,0,,171,100
39,248,1048,1.7228665653921886e-21,0,,169,100
40,252,1052,1.1069118912475549e-18,0,,169,100
41,256,1056,2.8565856160700985e-22,0,,169,100
42,267,1067,3.5621185863472717e-19,0,,168,100
43,270,1070,2.7108993305316503e-19,0,,167,100
44,277,1077,2.473525203253513e-20,0,,167,100
45,281,1081,1.3609762040733623e-20,0,,167,100
46,291,1091,8.513195190695586e-21,0,,169,100
47,296,1096,1.0431511693017974e-18,0,,169,100
48,309,1109,2.6688725004930517e-19,0,,169,100
49,313,1113,3.145795357666514e-21,0,,169,100
50,317,1117,9.484203339072996e-18,0,,169,100
51,324,1124,1.0993251960026653e-19,0,,169,100
52,331,1131,5.949291824151406e-20,0,,170,100
53,334,1134,1.2203630808921427e-19,0,,168,100
54,345,1145,8.225096373584558e-15,0,,166,100
55,353,1153,2.97510855594519e-16,0,,167,100
56,356,1156,2.2659578514955574e-14,0,,165,100
57,364,1164,3.75459061098576e-12,0,,164,100
