window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.2453891074567634e-11,0,,182,100
1,10,810,2.829198019529608e-16,0,,184,100
2,13,813,1.6183092826167672e-16,0,,184,100
3,20,820,1.6086732578033227e-15,0,,185,100
4,25,825,2.2781610560642345e-19,0,,185,100
5,31,831,1.4975234390413597e-09,0,,181,100
6,40,840,1.4518098586025887e-14,0,,180,100
7,43,843,7.116596435142428e-12,0,,179,100
8,50,850,9.359529300525358e-16,0,,178,100
9,55,855,7.833280727873145e-16,0,,177,100
10,65,865,5.776810262241118e-13,0,,174,100
11,72,872,3.3261198713049733e-18,0,,173,100
12,75,875,4.344918247525609e-18,0,,172,100
13,82,882,2.942124480786901e-16,0,,171,100
14,87,887,3.7992064508890393e-16,0,,170,100
15,96,896,2.4606267331660486e-14,0,,167,100
16,104,904,5.3661436624552505e-20,0,,166,100
17,107,907,3.870628524610117e-17,0,,165,100
18,114,914,2.506747340062415e-16,0,,164,100
19,119,919,4.0618463131963936e-20,0,,163,100
20,132,932,6.308896462963049e-13,0,,160,100
21,137,937,1.047664692980091e-19,0,,159,100
22,140,940,1.570395833643493e-19,0,,158,100
23,147,947,1.8327903828395987e-20,0,,157,100
24,152,952,4.574790838646338e-20,0,,156,100
25,160,960,2.0123332095401018e-17,0,,153,100
26,167,967,9.370735539582408e-21,0,,152,100
27,170,970,4.447997541834861e-24,0,,151,100
28,177,977,3.964527247756914e-27,0,,150,100
29,182,982,2.7426266946562666e-28,0,,150,100
30,189,989,1.5025925745855632e-23,0,,146,100
31,201,1001,3.016600364204698e-25,0,,144,100
32,209,1009,8.533572481991079e-26,0,,141,100
33,217,1017,2.05326765601363e-30,0,,140,100
34,223,1023,8.079040446317456e-31,0,,139,100
35,230,1030,6.704532670141005e-31,0,,137,100
36,238,1038,2.2385490845821962e-26,0,,136,100
37,245,1045,5.630956191054467e-30,0,,135,100
38,248,1048,6.971079423631072e-27,0,,134,100
39,254,1054,1.3250350490097877e-26,0,,133,100
40,258,1058,1.4021155437465052e-24,0,,132,100
41,265,1065,2.3046691945428245e-22,0,,129,100
42,274,1074,5.494536128232742e-28,0,,130,100
43,287,1087,1.2665104018006052e-26,0,,127,100
44,293,1093,3.3676349675450955e-26,0,,127,100
45,301,1101,6.655597412637476e-21,0,,123,100
46,308,1108,7.670961064429812e-26,0,,122,100
47,315,1115,2.5541162899446614e-26,0,,121,100
48,321,1121,1.813234161182019e-24,0,,120,100
49,326,1126,5.29556836615931e-28,0,,120,100
50,336,1136,1.4515649270997334e-16,0,,116,100
51,343,1143,1.748151999549558e-18,0,,116,100
52,354,1154,2.2244520903629527e-25,0,,115,100
53,364,1164,3.3960823332079366e-17,0,,111,100
54,367,1167,2.8781203269091375e-24,0,,110,100
55,371,1171,2.9679973145926674e-22,0,,109,100
56,376,1176,1.4135496645691897e-24,0,,108,100
57,379,1179,3.8651962180679117e-22,0,,108,100
58,390,1190,6.0863444251845904e-27,0,,106,100
59,397,1197,9.381946785145313e-24,0,,104,100
60,401,1201,6.151498450546788e-30,0,,105,100
61,412,1212,6.501699276997112e-26,0,,102,100
62,415,1215,4.155061441077931e-28,0,,102,100
