window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.7355917111238747e-08,0,,262,100
1,6,806,2.054570531197407e-12,0,,262,100
2,12,812,2.549120611845972e-12,0,,263,100
3,18,818,4.673146866041357e-12,0,,263,100
4,22,822,6.789830962883992e-13,0,,265,100
5,28,828,2.2926890149016128e-10,0,,265,100
6,40,840,3.945603242919027e-11,0,,268,100
7,51,851,3.2470237421861104e-12,0,,267,100
8,57,857,1.1415496604522858e-07,0,,267,100
9,61,861,9.341611614667037e-07,0,,267,100
10,64,864,6.062695240599206e-07,0,,268,100
11,72,872,0.00038222186295286,0,,269,100
12,79,879,0.00016939235073564895,0,,269,100
13,90,890,2.7742860713008183e-05,0,,270,100
14,93,893,0.00011254280714418227,0,,271,100
15,100,900,2.2306621111973038e-05,0,,271,100
16,103,903,1.4727570029627765e-05,0,,272,100
17,110,910,1.649680236811964e-11,0,,271,100
18,116,916,8.413830402203105e-13,0,,272,100
19,124,924,3.0135835012606827e-15,0,,271,100
20,127,927,1.8950362300276203e-18,0,,271,100
21,132,932,1.553737044073604e-19,0,,270,100
22,135,935,2.7852822252784395e-22,0,,270,100
23,141,941,2.0681509608908207e-21,0,,271,100
24,149,949,1.420829895634556e-26,0,,270,100
25,154,954,9.396344441072702e-24,0,,270,100
26,162,962,1.5990150778871662e-24,0,,272,100
27,175,975,2.221602343659776e-30,0,,272,100
28,183,983,5.248287498269003e-35,0,,271,100
29,191,991,1.8056283574428766e-35,0,,268,100
30,196,996,1.0121641501339429e-34,0,,266,100
31,199,999,1.6604262573822433e-35,0,,266,100
32,207,1007,3.9416853671417665e-31,0,,263,100
33,210,1010,7.666184923873118e-32,0,,262,100
34,213,1013,6.388623856403847e-33,0,,261,100
35,221,1021,1.633957479873572e-33,0,,260,100
36,232,1032,5.89807265734594e-30,0,,256,100
37,237,1037,9.121770169042598e-32,0,,254,100
38,242,1042,1.0984289506364731e-31,0,,252,100
39,248,1048,7.389482170388054e-29,0,,251,100
40,254,1054,2.414797875614119e-25,0,,249,100
41,257,1057,8.269443392472425e-24,0,,248,100
42,271,1071,9.093768389261387e-25,0,,243,100
43,274,1074,2.7782148093774265e-22,0,,242,100
44,284,1084,3.460901706529114e-25,0,,239,100
45,290,1090,4.210551994407972e-23,0,,237,100
46,295,1095,3.1751373133102266e-22,0,,236,100
47,301,1101,1.6563971739945256e-23,0,,234,100
48,311,1111,8.323098739762272e-21,0,,230,100
49,321,1121,8.944548005531054e-21,0,,229,100
50,326,1126,1.7344929097690556e-23,0,,227,100
51,335,1135,1.6797842621903136e-19,0,,223,100
52,345,1145,1.275140836854645e-21,0,,219,100
53,349,1149,3.738182715972494e-18,0,,218,100
54,359,1159,8.631045331722291e-23,0,,215,100
55,364,1164,8.736189273352236e-27,0,,213,100
56,367,1167,3.236510507959318e-21,0,,212,100
57,373,1173,3.627602285800737e-23,0,,210,100
58,377,1177,1.554979137223601e-26,0,,209,100
59,385,1185,4.456974364111303e-25,0,,207,100
60,394,1194,8.99716040149499e-28,0,,205,100
61,401,1201,6.027710380545894e-34,0,,202,100
62,406,1206,1.6402456119020827e-36,0,,201,100
63,409,1209,9.087481217781295e-38,0,,200,100
64,413,1213,3.105184315951407e-37,0,,200,100
65,422,1222,4.5426111158403326e-36,0,,195,100
66,428,1228,5.5690045162813515e-40,0,,192,100
67,431,1231,3.308483377567981e-41,0,,191,100
68,438,1238,3.291658395448042e-43,0,,188,100
69,443,1243,1.8949430521193177e-43,0,,187,100
70,450,1250,3.5939885052080523e-42,0,,186,100
71,458,1258,5.8130499304713404e-43,0,,184,100
72,467,1267,1.2960756035382418e-46,0,,180,100
73,474,1274,3.223602339249413e-44,0,,179,100
74,481,1281,2.0398177936905e-43,0,,176,100
75,487,1287,1.7882141427567976e-44,0,,174,100
76,493,1293,1.3517979447946387e-44,0,,172,100
77,500,1300,3.6324598324731354e-43,0,,168,100
78,512,1312,2.8640629304592746e-43,0,,164,100
79,517,1317,4.523295808377854e-45,0,,162,100
80,527,1327,4.4733655641528473e-44,0,,158,100
81,532,1332,4.38204332353778e-43,0,,156,100
82,540,1340,8.393182057688401e-41,0,,153,100
83,544,1344,3.621198519909128e-38,0,,152,100
84,550,1350,3.2300793346462786e-32,0,,148,100
85,558,1358,9.426370287524993e-38,0,,145,100
86,567,1367,1.7943805371293162e-34,0,,142,100
87,579,1379,2.1469658351280368e-35,0,,139,100
88,586,1386,7.686815842447733e-31,0,,136,100
89,592,1392,4.686884472085102e-35,0,,135,100
90,599,1399,5.101735872673868e-34,0,,134,100
91,606,1406,6.542169866581467e-37,0,,132,100
92,615,1415,1.6095425569565741e-38,0,,128,100
93,618,1418,1.4856530029519578e-42,0,,127,100
94,625,1425,1.865100320695557e-43,0,,124,100
95,634,1434,2.5217525040159004e-40,0,,121,100
96,638,1438,5.965848648079052e-39,0,,120,100
97,646,1446,2.180138441238345e-43,0,,117,100
98,654,1454,4.1200577099277296e-43,0,,114,100
99,658,1458,5.574418871082965e-44,0,,113,100
100,667,1467,2.98617208894318e-49,0,,110,100
101,678,1478,6.097781884378188e-44,0,,105,100
102,682,1482,5.430785352236627e-45,0,,105,100
103,686,1486,1.220678030106219e-43,0,,103,100
