window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.146647580008709e-05,0,,180,100
1,10,810,1.2295062206274983e-06,0,,181,100
2,12,812,7.193264689073593e-05,0,,179,100
3,21,821,5.990400874415626e-08,0,,180,100
4,27,827,7.072436090846318e-07,0,,179,100
5,32,832,3.370588240789307e-08,0,,179,100
6,35,835,1.546124304978567e-07,0,,180,100
7,39,839,6.924054545273983e-07,0,,180,100
8,50,850,1.8503552630506324e-06,0,,181,100
9,53,853,2.5149806665709417e-06,0,,182,100
10,67,867,1.2704619980109252e-06,0,,181,100
11,70,870,1.323499748914066e-05,0,,183,100
12,80,880,3.1980515607939e-06,0,,182,100
13,83,883,1.0861385996204284e-06,0,,182,100
14,95,895,1.8537272939899286e-07,0,,181,100
15,99,899,0.00010557537737679795,0,,180,100
16,104,904,6.91210809484e-06,0,,181,100
17,113,913,2.3323215099374692e-08,0,,183,100
18,122,922,4.294268371138818e-06,0,,181,100
19,125,925,0.00011891223432759204,0,,181,100
20,135,935,5.281422681650419e-07,0,,180,100
21,139,939,9.234610047705143e-07,0,,181,100
22,147,947,2.025682956593291e-06,0,,180,100
23,150,950,3.872868658369599e-07,0,,180,100
24,158,958,1.2424863098585754e-10,0,,181,100
25,161,961,1.0329609387975062e-10,0,,179,100
26,164,964,1.4050694817869227e-11,0,,181,100
27,168,968,4.092887574875105e-15,0,,181,100
28,175,975,3.7050556523432123e-10,0,,181,100
29,178,978,6.052299221520586e-10,0,,182,100
30,182,982,8.42571288745802e-18,0,,181,100
31,188,988,1.401464643470518e-16,0,,181,100
32,191,991,1.5693842429198585e-19,0,,181,100
33,195,995,2.9293696207352884e-19,0,,181,100
34,202,1002,2.9481977938890187e-16,0,,182,100
35,212,1012,1.9401600252468617e-15,0,,181,100
36,215,1015,2.5311692295977825e-14,0,,182,100
37,225,1025,2.5824938070246397e-13,0,,182,100
38,229,1029,2.8421489031487112e-14,0,,182,100
39,232,1032,1.162250544427285e-14,0,,182,100
40,241,1041,6.411043535160623e-16,0,,182,100
41,245,1045,1.7445168051332372e-15,0,,180,100
42,256,1056,1.6903292723223127e-16,0,,183,100
43,260,1060,2.391566423683718e-15,0,,182,100
44,262,1062,8.310290301063557e-18,0,,182,100
45,270,1070,4.17441717341416e-15,0,,183,100
46,273,1073,3.4629722102277185e-14,0,,184,100
47,287,1087,6.50086112534941e-06,0,,181,100
48,297,1097,5.859191765936091e-06,0,,181,100
49,300,1100,3.1280211718243156e-05,0,,179,100
50,302,1102,3.524284706660381e-07,0,,179,100
51,307,1107,4.316800474864005e-09,0,,179,100
52,317,1117,3.3017919541325263e-09,0,,181,100
53,326,1126,2.972012429381449e-07,0,,179,100
54,332,1132,1.2059953106067433e-08,0,,179,100
55,342,1142,3.6444343528287337e-09,0,,180,100
56,345,1145,3.210662065820452e-09,0,,180,100
57,349,1149,1.4106693121831146e-07,0,,180,100
58,358,1158,2.917991590746044e-09,0,,180,100
59,361,1161,1.0596884437597096e-10,0,,181,100
60,363,1163,2.5363527027767604e-10,0,,180,100
61,368,1168,4.025931432463055e-13,0,,181,100
62,375,1175,9.178784359937677e-12,0,,181,100
63,379,1179,9.097810666005782e-13,0,,181,100
64,385,1185,4.663190538386142e-13,0,,182,100
65,388,1188,4.406709672807312e-13,0,,182,100
66,392,1192,1.5050872355006849e-12,0,,182,100
67,399,1199,1.9665897358041086e-10,0,,181,100
68,402,1202,1.4991340584647744e-11,0,,180,100
69,407,1207,5.1871381486235e-13,0,,181,100
70,411,1211,1.0637826872188186e-12,0,,181,100
71,416,1216,1.4028315815468431e-14,0,,182,100
72,422,1222,3.983674969799563e-12,0,,181,100
73,428,1228,1.5704845742612227e-10,0,,181,100
74,432,1232,7.641240860059844e-12,0,,181,100
75,435,1235,4.226940793611738e-13,0,,181,100
76,446,1246,1.5467376543207292e-09,0,,179,100
77,456,1256,2.598691181670884e-11,0,,178,100
78,460,1260,3.975857482177581e-09,0,,178,100
79,463,1263,3.7226235016551954e-14,0,,178,100
80,471,1271,1.5111117006958979e-15,0,,177,100
81,478,1278,1.1266868116909428e-13,0,,177,100
82,481,1281,2.646600685552448e-13,0,,177,100
83,486,1286,3.032267891386396e-14,0,,177,100
84,489,1289,6.914359650978636e-14,0,,176,100
85,495,1295,1.7346729623855033e-14,0,,177,100
86,498,1298,4.06238981594455e-13,0,,176,100
87,508,1308,5.259332957810463e-16,0,,177,100
88,511,1311,1.0774687142361327e-15,0,,177,100
89,515,1315,2.201160451538017e-14,0,,175,100
90,522,1322,7.150378043366766e-13,0,,175,100
91,530,1330,3.4866172671649096e-15,0,,176,100
92,534,1334,5.91718439783752e-14,0,,178,100
93,542,1342,5.678554838742612e-13,0,,178,100
94,545,1345,1.930959259633702e-15,0,,177,100
95,549,1349,4.877495045534361e-13,0,,177,100
96,556,1356,6.342199521617736e-13,0,,175,100
97,560,1360,7.312812627377502e-11,0,,176,100
98,563,1363,2.8849914775835507e-12,0,,175,100
99,568,1368,2.4672176630581316e-12,0,,175,100
100,571,1371,4.4317667617503926e-10,0,,175,100
101,576,1376,7.646103878155175e-09,0,,173,100
102,580,1380,8.254371733712073e-08,0,,173,100
103,583,1383,2.8901696923142663e-09,0,,173,100
104,585,1385,2.9204196495251593e-10,0,,174,100
105,592,1392,1.5776256204682435e-08,0,,174,100
106,595,1395,1.4679988915864814e-08,0,,173,100
107,598,1398,7.96331747437115e-07,0,,174,100
108,609,1409,2.284549036405511e-06,0,,172,100
109,612,1412,9.086028187912186e-07,0,,173,100
110,617,1417,6.526271399369045e-05,0,,171,100
