window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,5.960995692020185e-19,0,,164,100
1,3,803,9.175253258199281e-18,0,,163,100
2,13,813,9.117656248894892e-15,0,,163,100
3,18,818,8.804063785267556e-16,0,,162,100
4,21,821,7.429451340344661e-16,0,,160,100
5,27,827,2.4622457451338897e-14,0,,155,100
6,31,831,2.7235718938751107e-18,0,,157,100
7,41,841,4.249720674194759e-15,0,,156,100
8,53,853,7.176757711324254e-16,0,,158,100
9,56,856,2.1789152831497516e-15,0,,156,100
10,60,860,9.356878314498419e-18,0,,157,100
11,69,869,1.5336475573218975e-12,0,,159,100
12,76,876,3.0809462192138806e-11,0,,158,100
13,83,883,1.9460872096381895e-11,0,,157,100
14,86,886,1.3347322627758425e-12,0,,156,100
15,95,895,3.944655381551057e-06,0,,157,100
16,100,900,2.094932625539695e-09,0,,155,100
17,103,903,4.3069872549190674e-11,0,,155,100
18,107,907,4.69366228484021e-11,0,,155,100
19,114,914,3.933548958427339e-13,0,,155,100
20,117,917,1.0540258066210551e-11,0,,155,100
21,123,923,4.3513961783417203e-10,0,,156,100
22,131,931,3.9903551662186606e-11,0,,156,100
23,134,934,7.006913824240121e-12,0,,157,100
24,142,942,3.509257756047213e-11,0,,157,100
25,152,952,5.78053006741209e-12,0,,158,100
26,156,956,3.388093115772063e-11,0,,157,100
27,160,960,2.45571034989221e-11,0,,158,100
28,167,967,1.62378157051553e-10,0,,158,100
29,170,970,2.377521394565052e-10,0,,159,100
30,179,979,6.690306068818045e-11,0,,161,100
31,183,983,2.167925373645208e-12,0,,160,100
32,193,993,1.0017421483036147e-11,0,,161,100
33,199,999,1.3687337295490425e-12,0,,160,100
34,205,1005,2.6647011474501986e-11,0,,161,100
35,210,1010,1.3067960985326197e-09,0,,161,100
36,220,1020,4.503864904338393e-12,0,,162,100
37,225,1025,2.925508894908243e-10,0,,161,100
38,230,1030,1.6431225042393848e-09,0,,161,100
39,239,1039,6.251910378563838e-09,0,,161,100
40,243,1043,5.389273455152724e-09,0,,160,100
41,246,1046,3.533400672772594e-10,0,,160,100
42,253,1053,3.4561507014232537e-10,0,,159,100
43,259,1059,7.26229444880204e-10,0,,160,100
44,263,1063,2.8926194796834644e-10,0,,158,100
45,270,1070,1.8646458342451835e-11,0,,158,100
46,273,1073,1.1333913609643813e-09,0,,158,100
47,277,1077,2.1107352797201014e-08,0,,158,100
48,284,1084,1.9824940692036346e-10,0,,157,100
49,288,1088,1.3280952298559488e-09,0,,159,100
50,297,1097,3.590295542018357e-10,0,,160,100
51,301,1101,5.434181890592672e-09,0,,160,100
52,307,1107,3.394697858076888e-10,0,,159,100
53,315,1115,3.5976672485706e-08,0,,160,100
54,318,1118,1.20050401691373e-09,0,,160,100
55,324,1124,1.16283748168405e-09,0,,160,100
56,328,1128,4.1531000218044376e-09,0,,161,100
57,333,1133,4.049356275130483e-12,0,,159,100
58,336,1136,3.1860305651186226e-09,0,,159,100
59,343,1143,2.16618616647091e-12,0,,159,100
60,347,1147,4.309741391735075e-12,0,,159,100
61,350,1150,1.9749281490627987e-11,0,,159,100
62,359,1159,3.6486968053819077e-10,0,,158,100
63,363,1163,3.0789381740234704e-17,0,,159,100
64,371,1171,3.939677104382513e-15,0,,159,100
65,377,1177,1.0123415977847265e-12,0,,159,100
66,379,1179,2.5673295276729587e-14,0,,159,100
67,386,1186,2.168399271780401e-13,0,,159,100
68,394,1194,1.2264690322208797e-15,0,,159,100
69,397,1197,4.884205721521389e-16,0,,158,100
70,401,1201,2.5593184553283202e-17,0,,159,100
71,410,1210,1.4742223729537306e-15,0,,157,100
72,413,1213,2.2911266234113323e-16,0,,158,100
73,421,1221,2.1270838626546436e-14,0,,158,100
74,430,1230,1.65699457450195e-11,0,,157,100
75,435,1235,4.712851523157761e-12,0,,157,100
76,440,1240,2.548607917447665e-12,0,,157,100
77,447,1247,1.2778969948832237e-11,0,,157,100
78,455,1255,3.272989788454804e-11,0,,158,100
79,459,1259,1.8938899528450704e-10,0,,159,100
80,466,1266,9.891342409147124e-11,0,,158,100
81,472,1272,8.742143594882646e-13,0,,158,100
82,478,1278,3.4722968734554265e-13,0,,157,100
83,483,1283,8.580024385230322e-12,0,,157,100
84,486,1286,2.5275655837674117e-11,0,,157,100
85,490,1290,3.5263817707503144e-10,0,,156,100
86,502,1302,0.02377224406799019,1,,154,100
87,505,1305,1.990374364596824e-05,0,,153,100
88,510,1310,1.6347623771867093e-05,0,,153,100
89,516,1316,7.675000392967123e-06,0,,154,100
90,523,1323,1.6155816186490941e-06,0,,155,100
91,526,1326,2.617152559741836e-07,0,,155,100
92,529,1329,8.255224280604471e-05,0,,155,100
93,543,1343,0.002187861754018017,1,,153,100
94,548,1348,0.00012151101862376297,0,,152,100
95,552,1352,2.6155492382258016e-05,0,,152,100
96,556,1356,9.7790717497077e-06,0,,152,100
97,560,1360,7.516829437047088e-05,0,,151,100
98,568,1368,4.480048701426049e-05,0,,153,100
99,575,1375,0.0005680669179204253,0,,152,100
100,580,1380,4.398222785340876e-06,0,,152,100
101,585,1385,6.6465046783415415e-06,0,,152,100
102,589,1389,2.31229439747496e-09,0,,153,100
103,597,1397,5.039531440341192e-07,0,,153,100
104,600,1400,1.3932630443217006e-06,0,,153,100
105,606,1406,2.853755998688313e-07,0,,153,100
106,614,1414,2.299693151382147e-08,0,,152,100
107,619,1419,1.5355116249199917e-05,0,,153,100
108,627,1427,6.205320178420578e-05,0,,154,100
109,639,1439,4.728259760129193e-06,0,,153,100
110,647,1447,6.682361895636024e-05,0,,152,100
111,652,1452,2.100200372485411e-06,0,,152,100
112,658,1458,1.1676725660675662e-06,0,,153,100
113,664,1464,3.164414452090505e-07,0,,154,100
114,668,1468,9.56578494413487e-06,0,,152,100
115,674,1474,5.1842092986471975e-06,0,,152,100
116,682,1482,6.690501844832187e-08,0,,153,100
117,686,1486,4.621395110205189e-07,0,,153,100
118,690,1490,2.5930071757529933e-07,0,,154,100
119,698,1498,3.1983890228558567e-09,0,,154,100
120,701,1501,9.449777693242002e-10,0,,154,100
121,718,1518,1.720938117174095e-08,0,,156,100
122,721,1521,1.2262256117469647e-06,0,,155,100
123,728,1528,2.978179665856243e-09,0,,155,100
124,734,1534,2.0523056221873876e-09,0,,155,100
125,742,1542,4.5485246586973e-07,0,,156,100
126,754,1554,2.4985440121609377e-08,0,,155,100
127,758,1558,1.6222053117496834e-11,0,,156,100
128,769,1569,3.584274300701174e-08,0,,157,100
129,775,1575,2.2347649602598763e-08,0,,157,100
130,780,1580,3.83109536143407e-09,0,,156,100
131,789,1589,1.8531603689797354e-08,0,,156,100
132,795,1595,2.6125567335224153e-07,0,,156,100
133,800,1600,1.0199190179214766e-08,0,,155,100
134,807,1607,1.007498981662521e-07,0,,156,100
135,812,1612,3.019832462679573e-10,0,,158,100
136,816,1616,3.492986704125476e-11,0,,159,100
137,824,1624,7.310492821399793e-11,0,,159,100
138,827,1627,7.955645311815066e-12,0,,158,100
139,831,1631,6.789888275658318e-12,0,,161,100
140,841,1641,9.366947325699089e-08,0,,160,100
141,848,1648,5.8207611100105476e-08,0,,160,100
142,857,1657,2.0016901119371613e-09,0,,160,100
143,861,1661,3.3840525026195868e-09,0,,160,100
144,866,1666,1.2343505623937666e-10,0,,160,100
145,869,1669,1.8869370790757863e-11,0,,160,100
146,880,1680,5.703713701940968e-13,0,,162,100
147,888,1688,2.0197639004169936e-12,0,,164,100
148,900,1700,2.6058179360365833e-12,0,,163,100
149,903,1703,3.298906809793663e-12,0,,162,100
150,909,1709,4.806890691562302e-13,0,,163,100
151,915,1715,2.541982067714273e-09,0,,162,100
152,918,1718,8.626748577359731e-13,0,,161,100
153,921,1721,5.420328045044315e-13,0,,160,100
154,925,1725,5.195445072528279e-12,0,,160,100
155,931,1731,2.7937211848649086e-14,0,,160,100
156,934,1734,9.416330059648687e-16,0,,160,100
157,938,1738,1.4193772686375885e-12,0,,160,100
158,945,1745,5.407019526354636e-12,0,,160,100
159,948,1748,5.603119919948479e-12,0,,160,100
