window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0,1,,153,100
1,12,812,9.871710502879361e-06,0,,152,100
2,15,815,9.512209054351699e-09,0,,152,100
3,22,822,8.377422602470098e-07,0,,154,100
4,31,831,0.00012263059356503204,0,,152,100
5,36,836,0.0002012371381900127,0,,152,100
6,39,839,1.0505067242502436e-05,0,,151,100
7,47,847,1.5763533285206005e-05,0,,151,100
8,50,850,3.4918865287081456e-06,0,,151,100
9,54,854,0.00021869755178420205,0,,151,100
10,61,861,0.0001030215886788879,0,,153,100
11,71,871,8.075481561858667e-05,0,,152,100
12,73,873,0.00013967712082564265,0,,152,100
13,78,878,0.0005862195168678524,0,,151,100
14,81,881,0.00012379337105709867,0,,151,100
15,86,886,9.111407199960762e-06,0,,151,100
16,95,895,0.0003901864876247513,0,,152,100
17,99,899,0.0003047183771108574,0,,152,100
18,110,910,0.0010986582013700022,1,,153,100
19,124,924,0.00017032146945497695,0,,155,100
20,130,930,0.000861411690221445,0,,154,100
21,135,935,0.0002286872143605143,0,,154,100
22,148,948,0.0018960673249260036,1,,155,100
23,151,951,0.0003461613564641318,0,,155,100
24,156,956,0.003682745584900954,1,,154,100
25,159,959,0.00028524808756144783,0,,153,100
26,163,963,0.00026843034520278574,0,,154,100
27,172,972,0.0005499387491773887,0,,155,100
28,180,980,0.00031418761547407275,0,,155,100
29,193,993,0.0034587448714557935,1,,156,100
30,203,1003,0.0013388714032756667,1,,157,100
31,211,1011,1.0405711626214318e-07,0,,158,100
32,222,1022,0.005488657523349998,1,,157,100
33,226,1026,4.254798995611866e-05,0,,157,100
34,233,1033,0.01571140719243416,1,,156,100
35,236,1036,0.000923060862476498,0,,155,100
36,241,1041,9.747332942075767e-05,0,,153,100
37,247,1047,0.00013726154494352524,0,,151,100
38,255,1055,0.0010121187894446587,1,,149,100
39,262,1062,0.0007315811275949457,0,,147,100
40,271,1071,0.00012545062105473519,0,,146,100
41,283,1083,3.676109460730087e-07,0,,145,100
42,295,1095,0.0016706941143098076,1,,141,100
43,302,1102,7.444693531479871e-05,0,,139,100
44,307,1107,0.00047998517571065,0,,139,100
45,314,1114,3.9321462724284696e-05,0,,137,100
46,317,1117,3.751957757900803e-05,0,,136,100
47,321,1121,9.18542290220136e-05,0,,135,100
48,331,1131,0.0009670662170619379,0,,133,100
49,335,1135,6.58604220200605e-05,0,,132,100
50,338,1138,0.00018237827351115868,0,,132,100
51,345,1145,9.235666544998064e-05,0,,130,100
52,353,1153,1.9768747905813044e-05,0,,129,100
53,356,1156,7.1403045924750455e-06,0,,129,100
54,361,1161,6.417796799338784e-05,0,,127,100
55,365,1165,0.003432978870789921,1,,126,100
56,374,1174,0.0002364809511821152,0,,125,100
57,377,1177,5.3431814426028134e-05,0,,126,100
58,387,1187,0.00034776575463303346,0,,123,100
59,390,1190,1.4875453166268825e-05,0,,122,100
60,393,1193,0.00011985301274519667,0,,121,100
61,397,1197,0.005045214039376928,1,,119,100
62,405,1205,2.7097633346991577e-05,0,,118,100
63,408,1208,0.0005534656728064642,0,,117,100
64,412,1212,0.00023627156004834657,0,,116,100
65,422,1222,0.0001734562861298879,0,,115,100
66,435,1235,0.08228883142288158,1,,111,100
67,439,1239,1.1994056694055774e-05,0,,110,100
68,445,1245,1.81016904077037e-05,0,,109,100
69,455,1255,9.234970030547662e-06,0,,108,100
70,462,1262,7.576933662852237e-05,0,,107,100
71,466,1266,1.3041696136468966e-05,0,,106,100
72,471,1271,3.495023216666943e-06,0,,105,100
73,482,1282,8.403505778568859e-06,0,,104,100
74,489,1289,4.7517243418877106e-07,0,,103,100
75,495,1295,3.8126411000701353e-06,0,,102,100
76,498,1298,3.115754550542903e-05,0,,101,100
77,507,1307,2.4638381443065624e-05,0,,100,100
