window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.04357501165212699,1,,150,100
1,15,815,1.2371754602307099e-06,0,,152,100
2,19,819,4.964875501927389e-07,0,,149,100
3,23,823,7.59361178756424e-07,0,,150,100
4,26,826,5.733456715667585e-06,0,,150,100
5,33,833,2.8139478511743715e-07,0,,150,100
6,37,837,4.307348730965825e-06,0,,150,100
7,44,844,5.220915109615127e-07,0,,152,100
8,51,851,1.0159917469055556e-05,0,,150,100
9,56,856,2.5238481315164693e-07,0,,151,100
10,59,859,1.7468809610622785e-05,0,,150,100
11,67,867,0.002861894284498866,1,,150,100
12,81,881,0.05022951995190015,1,,151,100
13,85,885,0.00012056929618858165,0,,152,100
14,95,895,0.0003425827174224636,0,,150,100
15,104,904,0.0008240904985918193,0,,151,100
16,109,909,0.0003005006431408131,0,,150,100
17,113,913,8.685366384976675e-05,0,,151,100
18,123,923,0.000519951163922221,0,,151,100
19,134,934,0.001559858156964513,1,,151,100
20,138,938,0.0001288421332786209,0,,152,100
21,147,947,7.079635788160126e-05,0,,151,100
22,149,949,1.0393008318116226e-05,0,,152,100
23,165,965,2.907870958455785e-07,0,,153,100
24,168,968,1.6560628736937077e-06,0,,153,100
25,175,975,1.3721426003047922e-06,0,,153,100
26,180,980,3.696794397072869e-06,0,,153,100
27,185,985,5.977481822793621e-09,0,,155,100
28,192,992,4.057778484481994e-07,0,,155,100
29,196,996,3.6162595252002962e-06,0,,154,100
30,202,1002,8.741034101455898e-06,0,,155,100
31,218,1018,4.2357332652141294e-05,0,,155,100
32,226,1026,4.795818639996772e-05,0,,156,100
33,231,1031,8.053325597457245e-06,0,,155,100
34,236,1036,7.093645350661733e-06,0,,155,100
35,239,1039,0.0003095287313831778,0,,154,100
36,250,1050,9.311843577567085e-06,0,,155,100
37,254,1054,5.597455042779951e-06,0,,156,100
38,258,1058,1.5942004537175432e-06,0,,156,100
39,268,1068,6.391235822660443e-07,0,,156,100
40,284,1084,3.183013332510662e-06,0,,155,100
