window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,4.851633665794442e-13,0,,185,100
1,5,805,1.2661470394827722e-13,0,,181,100
2,9,809,1.6264278217124414e-15,0,,181,100
3,14,814,4.899505637567864e-16,0,,179,100
4,17,817,1.5011972547747407e-16,0,,178,100
5,20,820,8.838270471375244e-16,0,,178,100
6,30,830,6.939222703666894e-17,0,,175,100
7,32,832,3.9723891482253866e-16,0,,174,100
8,38,838,1.1734557189649742e-20,0,,173,100
9,42,842,2.9206271630059245e-19,0,,172,100
10,49,849,6.249548809363915e-17,0,,168,100
11,54,854,3.1839869819818173e-16,0,,164,100
12,57,857,2.384525616809102e-20,0,,163,100
13,64,864,5.960978852448544e-24,0,,161,100
14,67,867,1.0916798165501618e-21,0,,160,100
15,70,870,3.1500245297924892e-21,0,,159,100
16,74,874,1.064578172053171e-22,0,,158,100
17,79,879,1.5085850532387145e-24,0,,157,100
18,82,882,9.259143549059767e-23,0,,156,100
19,88,888,4.695633979780728e-24,0,,156,100
20,98,898,9.542125217357625e-22,0,,153,100
21,101,901,3.224769799317828e-23,0,,152,100
22,109,909,1.0342942759163346e-23,0,,150,100
23,112,912,1.566871339183281e-23,0,,150,100
24,119,919,6.3356500102509575e-21,0,,147,100
25,123,923,1.0922310897059235e-18,0,,146,100
26,129,929,1.754121898477612e-21,0,,145,100
27,138,938,3.5043749797407934e-15,0,,141,100
28,143,943,8.490280978076472e-19,0,,137,100
29,146,946,1.405353331605325e-19,0,,136,100
30,156,956,2.4512184590766295e-21,0,,134,100
31,159,959,4.097821364323007e-22,0,,134,100
32,165,965,1.9232481510413043e-18,0,,131,100
33,168,968,3.080358784578182e-21,0,,130,100
34,176,976,2.72759029810281e-22,0,,128,100
35,179,979,4.827319075413792e-23,0,,127,100
36,182,982,7.0337760135517e-27,0,,126,100
37,186,986,4.901945112852247e-25,0,,125,100
38,192,992,2.1079409866331136e-23,0,,124,100
39,195,995,4.854279386332566e-22,0,,125,100
40,209,1009,1.0034877015058657e-20,0,,121,100
41,213,1013,1.9536447490497479e-19,0,,120,100
42,217,1017,1.8945690551825772e-20,0,,119,100
43,224,1024,2.1040505150659606e-20,0,,118,100
44,231,1031,1.4803463513214993e-13,0,,113,100
45,236,1036,1.8084825068444702e-19,0,,109,100
46,241,1041,5.314011841055468e-21,0,,106,100
47,248,1048,2.720668786515168e-20,0,,105,100
48,250,1050,3.316064791492352e-24,0,,104,100
49,255,1055,1.1697406583613197e-20,0,,103,100
50,263,1063,5.105101542988456e-26,0,,102,100
51,267,1067,7.314434499646492e-27,0,,102,100
52,274,1074,2.2077634751568254e-29,0,,100,100
