window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.0388059855257162e-05,0,,162,100
1,6,806,7.447633747798109e-08,0,,160,100
2,8,808,6.355027524350727e-10,0,,159,100
3,16,816,6.02469215033529e-10,0,,159,100
4,21,821,5.4998419078715884e-12,0,,157,100
5,24,824,9.692289705757862e-12,0,,156,100
6,26,826,3.47435800893642e-12,0,,156,100
7,35,835,4.92225935037736e-12,0,,153,100
8,40,840,6.055255542504457e-11,0,,150,100
9,45,845,2.972756156340636e-14,0,,148,100
10,49,849,2.461111722397152e-13,0,,147,100
11,54,854,7.702767096997584e-16,0,,147,100
12,61,861,3.791692931135965e-14,0,,145,100
13,65,865,3.766443761879853e-16,0,,144,100
14,70,870,1.5252447084870658e-17,0,,144,100
15,81,881,1.5989889011395248e-10,0,,140,100
16,87,887,2.7358690074701878e-17,0,,139,100
17,93,893,1.1424725952116796e-17,0,,138,100
18,96,896,3.0333470456067836e-17,0,,137,100
19,102,902,1.1430875944064609e-15,0,,136,100
20,106,906,7.763476928939814e-20,0,,136,100
21,114,914,1.8620863155072494e-16,0,,134,100
22,119,919,3.8920583788208274e-17,0,,133,100
23,122,922,2.0161458394156575e-12,0,,132,100
24,127,927,1.9225794483749723e-12,0,,129,100
25,131,931,3.4942297195584162e-15,0,,129,100
26,140,940,4.793104341417326e-18,0,,126,100
27,146,946,8.422315259056401e-18,0,,126,100
28,151,951,1.3769776193850162e-18,0,,124,100
29,155,955,2.2159087613645364e-17,0,,123,100
30,159,959,4.1821351795243467e-19,0,,122,100
31,165,965,1.037171011836409e-18,0,,121,100
32,167,967,8.859647155071555e-15,0,,120,100
33,173,973,3.779209570965774e-14,0,,117,100
34,182,982,3.0405662212221308e-21,0,,115,100
35,186,986,3.176177316141347e-23,0,,114,100
36,190,990,2.0268722230138144e-23,0,,113,100
37,194,994,1.5966821115701352e-21,0,,112,100
38,198,998,3.2620932793772683e-22,0,,111,100
39,201,1001,6.246642726513353e-24,0,,111,100
40,208,1008,6.4695563533124215e-24,0,,110,100
41,216,1016,2.3680607042978437e-19,0,,106,100
42,220,1020,8.923846260714597e-23,0,,105,100
43,226,1026,2.9422965759107826e-23,0,,104,100
44,229,1029,5.417142242963314e-21,0,,103,100
45,233,1033,2.1303338132477082e-20,0,,102,100
46,238,1038,1.8643995897969584e-24,0,,102,100
47,249,1049,2.4656723804737803e-21,0,,100,100
