window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.05090770992661631,1,,262,100
1,6,806,7.295181283886621e-06,0,,262,100
2,12,812,1.114133962147547e-05,0,,263,100
3,18,818,2.1613378920285558e-05,0,,263,100
4,22,822,2.0928732693606038e-06,0,,265,100
5,28,828,4.0259238021606516e-05,0,,265,100
6,40,840,1.5714934288067542e-06,0,,268,100
7,51,851,3.113473055627008e-06,0,,267,100
8,57,857,0.00011223951696732696,0,,267,100
9,61,861,2.3435401762542456e-05,0,,267,100
10,64,864,1.3977670733498494e-05,0,,268,100
11,72,872,4.6286841697773705e-05,0,,269,100
12,79,879,1.921234389979168e-05,0,,269,100
13,90,890,2.4433927047409967e-06,0,,270,100
14,93,893,1.7547466819280083e-05,0,,271,100
15,100,900,5.778967615349184e-06,0,,271,100
16,103,903,2.1212312943100813e-06,0,,272,100
17,110,910,8.815768769818295e-07,0,,271,100
18,116,916,4.948020742781715e-08,0,,272,100
19,124,924,5.4093814045065165e-06,0,,271,100
20,127,927,7.433495849992361e-10,0,,271,100
21,132,932,5.696992218892494e-12,0,,270,100
22,135,935,2.256222725057232e-13,0,,270,100
23,141,941,1.0526969547491444e-12,0,,271,100
24,149,949,2.8230572400217106e-10,0,,270,100
25,154,954,1.4526063269238713e-07,0,,270,100
26,162,962,8.97895253746545e-10,0,,272,100
27,175,975,1.0596422473796645e-10,0,,272,100
28,183,983,6.016680345098514e-12,0,,271,100
29,191,991,1.1144569714154764e-12,0,,268,100
30,196,996,1.6982986971108482e-10,0,,266,100
31,199,999,4.507985462476039e-12,0,,266,100
32,207,1007,9.027181077292226e-13,0,,263,100
33,210,1010,3.0086426485875495e-11,0,,262,100
34,213,1013,2.1867445354843178e-12,0,,261,100
35,221,1021,3.603159547819265e-12,0,,260,100
36,232,1032,1.918238011682689e-09,0,,256,100
37,237,1037,3.240639914792369e-09,0,,254,100
38,242,1042,1.8996242157425812e-10,0,,252,100
39,248,1048,5.968951381010842e-10,0,,251,100
40,254,1054,5.813266533471972e-12,0,,249,100
41,257,1057,6.718068366048423e-14,0,,248,100
42,271,1071,3.9137550321922996e-17,0,,243,100
43,274,1074,1.0085575020825488e-17,0,,242,100
44,284,1084,3.075528232805655e-20,0,,239,100
45,290,1090,9.470916514337591e-20,0,,237,100
46,295,1095,1.4043730324753808e-18,0,,236,100
47,301,1101,2.0155376981218555e-20,0,,234,100
48,311,1111,2.8173907039521e-21,0,,230,100
49,321,1121,5.344765012033741e-27,0,,229,100
50,326,1126,5.062901694385427e-33,0,,227,100
51,335,1135,1.7008633822961903e-32,0,,223,100
52,345,1145,1.141581009081451e-35,0,,219,100
53,349,1149,1.3001318806147432e-34,0,,218,100
54,359,1159,1.1754238489350061e-38,0,,215,100
55,364,1164,5.432854801965717e-40,0,,213,100
56,367,1167,7.65224340768312e-39,0,,212,100
57,373,1173,2.554415834201051e-38,0,,210,100
58,377,1177,3.961468810292321e-43,0,,209,100
59,385,1185,6.667051749911095e-44,0,,207,100
60,394,1194,1.7758201774051386e-43,0,,205,100
61,401,1201,3.7579421735867526e-44,0,,202,100
62,406,1206,1.3042032109265804e-45,0,,201,100
63,409,1209,1.1660240868401848e-44,0,,200,100
64,413,1213,3.787935321897292e-44,0,,200,100
65,422,1222,4.18386139116925e-41,0,,195,100
66,428,1228,1.4996875310631303e-42,0,,192,100
67,431,1231,5.6199296270129795e-43,0,,191,100
68,438,1238,3.3929748431250703e-43,0,,188,100
69,443,1243,4.3565766532788106e-42,0,,187,100
70,450,1250,6.778587956353525e-41,0,,186,100
71,458,1258,6.632601114058972e-39,0,,184,100
72,467,1267,4.3345192497812657e-35,0,,180,100
73,474,1274,3.530659163233756e-33,0,,179,100
74,481,1281,4.097410038541809e-30,0,,176,100
75,487,1287,1.8185706835989184e-30,0,,174,100
76,493,1293,2.7247652112315374e-29,0,,172,100
77,500,1300,6.035155536810325e-27,0,,168,100
78,512,1312,7.807939616948302e-26,0,,164,100
79,517,1317,1.0939878911185557e-25,0,,162,100
80,527,1327,2.3231763509639866e-23,0,,158,100
81,532,1332,2.848569523213719e-24,0,,156,100
82,540,1340,2.8047317142670654e-25,0,,153,100
83,544,1344,7.367443312261377e-27,0,,152,100
84,550,1350,2.676595615389141e-22,0,,148,100
85,558,1358,2.988736544391875e-27,0,,145,100
86,567,1367,3.018417980493785e-25,0,,142,100
87,579,1379,4.455719153568465e-26,0,,139,100
88,586,1386,5.240794270313383e-26,0,,136,100
89,592,1392,1.174785848919553e-31,0,,135,100
90,599,1399,2.6768822135021075e-31,0,,134,100
91,606,1406,9.950502611365218e-35,0,,132,100
92,615,1415,5.055742651487193e-35,0,,128,100
93,618,1418,2.1747838239719968e-36,0,,127,100
94,625,1425,7.566324455015205e-38,0,,124,100
95,634,1434,6.62589516269341e-41,0,,121,100
96,638,1438,2.291406170314578e-41,0,,120,100
97,646,1446,3.129657770537878e-44,0,,117,100
98,654,1454,4.054077169877082e-46,0,,114,100
99,658,1458,7.645112793649166e-47,0,,113,100
100,667,1467,1.0175942531384318e-52,0,,110,100
101,678,1478,9.629120381083685e-49,0,,105,100
102,682,1482,4.0206102310004424e-49,0,,105,100
103,686,1486,1.3528497961109066e-47,0,,103,100
