window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.009398937882368e-07,0,,218,100
1,4,804,8.300360127812445e-05,0,,215,100
2,7,807,0.00150450509049519,1,,215,100
3,11,811,0.0019344295846510495,1,,216,100
4,21,821,0.0073905782596420675,1,,218,100
5,25,825,0.009336572661196672,1,,217,100
6,33,833,0.021208832753491048,1,,218,100
7,37,837,0.0208134993783833,1,,219,100
8,44,844,0.042087526724060874,1,,221,100
9,48,848,0.021790101554049368,1,,223,100
10,52,852,0.014019939052821957,1,,223,100
11,60,860,8.563649923545231e-08,0,,221,100
12,64,864,2.7221079067025916e-07,0,,219,100
13,68,868,6.980367641263953e-09,0,,219,100
14,72,872,2.0640213639881235e-09,0,,219,100
15,78,878,1.584829981008187e-08,0,,219,100
16,82,882,2.2597757342045347e-10,0,,219,100
17,90,890,8.511883661528931e-09,0,,219,100
18,96,896,1.5346698749523115e-05,0,,219,100
19,100,900,4.65227102648728e-05,0,,219,100
20,106,906,0.00022399055358544027,0,,217,100
21,110,910,0.0001349445030831417,0,,217,100
22,119,919,0.036729521125865715,1,,218,100
23,123,923,0.14347648065915838,1,,218,100
24,128,928,0.003148062212340091,1,,216,100
25,132,932,0.037588246375189996,1,,217,100
26,137,937,0.009848064869610389,1,,217,100
27,140,940,0.0020983332610178445,1,,217,100
28,144,944,0.00037767548975609294,0,,217,100
29,150,950,4.298972419232082e-05,0,,216,100
30,154,954,5.440770298363992e-09,0,,216,100
31,158,958,0.00023654504789012823,0,,216,100
32,165,965,8.15641646079503e-07,0,,217,100
33,168,968,2.7556307167575052e-05,0,,217,100
34,172,972,1.0799536960056095e-05,0,,218,100
35,178,978,6.786113436914463e-05,0,,222,100
36,183,983,0.00011453396428490581,0,,223,100
37,187,987,1.3114903797584182e-05,0,,223,100
38,192,992,5.2587426821991586e-05,0,,223,100
39,195,995,0.00015544562039251174,0,,223,100
40,199,999,0.0005434609900389277,0,,222,100
41,208,1008,4.231342276232404e-06,0,,220,100
42,212,1012,1.6904395782040783e-07,0,,218,100
43,216,1016,1.3540205394699352e-07,0,,218,100
44,220,1020,9.902196816933589e-08,0,,218,100
45,226,1026,5.352994884824465e-06,0,,218,100
