window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.2992560722639452e-05,0,,177,100
1,5,805,1.6991548442609042e-06,0,,178,100
2,11,811,2.909251080668486e-06,0,,178,100
3,15,815,4.8607807961005437e-05,0,,178,100
4,21,821,0.0001343215247888638,0,,177,100
5,27,827,0.0025700574762528797,1,,178,100
6,31,831,0.0005837878632148071,0,,178,100
7,35,835,0.000647277514117209,0,,178,100
8,43,843,0.0045913719428553185,1,,180,100
9,51,851,0.0018924496413760593,1,,181,100
10,57,857,0.0008776077131360493,0,,180,100
11,60,860,0.010899833577665302,1,,179,100
12,65,865,0.0006334042330351701,0,,179,100
13,76,876,0.00016496249387466046,0,,180,100
14,78,878,0.00011067846106319987,0,,179,100
15,82,882,2.109391787781177e-05,0,,180,100
16,90,890,0.00021311528480886982,0,,181,100
17,100,900,0.001214946719026792,1,,182,100
18,103,903,0.0004263582347517074,0,,182,100
19,112,912,0.00010708433997958164,0,,181,100
20,116,916,7.368565001567278e-05,0,,183,100
21,126,926,1.7510499231164941e-06,0,,184,100
22,129,929,1.4774265790817355e-05,0,,182,100
23,133,933,1.3554698117903456e-05,0,,183,100
24,145,945,0.00021399297891627154,0,,184,100
25,150,950,2.486432680133814e-05,0,,184,100
26,154,954,0.0001303500191872044,0,,183,100
27,158,958,0.00024529702803837,0,,183,100
28,162,962,1.878014874408028e-06,0,,183,100
29,170,970,3.617802889583696e-07,0,,183,100
30,178,978,4.177817797254426e-06,0,,181,100
31,182,982,2.6523080451047785e-08,0,,180,100
32,185,985,9.707484252172941e-07,0,,180,100
33,189,989,5.929902981723252e-07,0,,180,100
34,197,997,1.378507025916275e-06,0,,180,100
35,200,1000,4.742713694319446e-05,0,,180,100
36,202,1002,1.0260910675956421e-05,0,,180,100
37,208,1008,5.058063395313576e-07,0,,181,100
38,214,1014,7.195619701331869e-05,0,,181,100
39,219,1019,4.8876173918621134e-05,0,,180,100
40,227,1027,6.359917499542237e-06,0,,181,100
41,235,1035,3.6378769044215425e-06,0,,182,100
42,240,1040,6.249565174468822e-05,0,,182,100
