window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.1161006344298666e-06,0,,185,100
1,5,805,1.9849951153833623e-06,0,,181,100
2,9,809,1.3003432621997883e-06,0,,181,100
3,14,814,1.8663817232913972e-06,0,,179,100
4,17,817,5.40921638689801e-06,0,,178,100
5,20,820,5.7037057511088e-06,0,,178,100
6,30,830,1.181897942875665e-09,0,,175,100
7,32,832,2.208681617540121e-09,0,,174,100
8,38,838,9.380010610407293e-10,0,,173,100
9,42,842,1.0825176321950491e-08,0,,172,100
10,49,849,3.7047725166237812e-06,0,,168,100
11,54,854,8.267513876336461e-08,0,,164,100
12,57,857,3.486404022286478e-12,0,,163,100
13,64,864,3.107838467491745e-11,0,,161,100
14,67,867,1.0522128726701558e-09,0,,160,100
15,70,870,1.3094480767368759e-09,0,,159,100
16,74,874,3.1491042814434955e-10,0,,158,100
17,79,879,6.906253070896897e-12,0,,157,100
18,82,882,1.519829310308796e-14,0,,156,100
19,88,888,9.80487032973565e-15,0,,156,100
20,98,898,2.9390430090047666e-12,0,,153,100
21,101,901,2.2618842487703714e-11,0,,152,100
22,109,909,1.0985045567649682e-10,0,,150,100
23,112,912,2.92346479161818e-11,0,,150,100
24,119,919,1.5569601989123693e-10,0,,147,100
25,123,923,8.879091042776471e-11,0,,146,100
26,129,929,6.809779956045559e-09,0,,145,100
27,138,938,3.9437943937058306e-08,0,,141,100
28,143,943,8.51882339801779e-11,0,,137,100
29,146,946,5.4637852528095186e-14,0,,136,100
30,156,956,2.1470133325463877e-15,0,,134,100
31,159,959,7.290098946339434e-16,0,,134,100
32,165,965,1.9943451827162543e-14,0,,131,100
33,168,968,7.227437038970329e-13,0,,130,100
34,176,976,7.091780568284789e-11,0,,128,100
35,179,979,2.0517236865717705e-10,0,,127,100
36,182,982,2.0372565662089164e-14,0,,126,100
37,186,986,4.475324991617418e-14,0,,125,100
38,192,992,5.302811108037156e-14,0,,124,100
39,195,995,1.0100108581791047e-14,0,,125,100
40,209,1009,1.450895819815003e-12,0,,121,100
41,213,1013,1.4094040943293189e-13,0,,120,100
42,217,1017,1.029218373381369e-13,0,,119,100
43,224,1024,1.3057034074596654e-14,0,,118,100
44,231,1031,9.368199419115498e-11,0,,113,100
45,236,1036,9.234727146010422e-13,0,,109,100
46,241,1041,3.1619259771454886e-16,0,,106,100
47,248,1048,6.035733668831964e-16,0,,105,100
48,250,1050,2.1071440540824296e-15,0,,104,100
49,255,1055,1.4687062431097704e-11,0,,103,100
50,263,1063,6.6941232269811e-12,0,,102,100
51,267,1067,4.588114390579621e-12,0,,102,100
52,274,1074,1.6959441766884884e-12,0,,100,100
