window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.20206418124812708,1,,179,100
1,5,805,0.1847486291460562,1,,177,100
2,8,808,0.10912566456432782,1,,177,100
3,13,813,0.04607929878786621,1,,178,100
4,17,817,0.021264749036063423,1,,176,100
5,30,830,0.002035855916589875,1,,178,100
6,39,839,0.001042535923907045,1,,178,100
7,48,848,0.09348480334809398,1,,179,100
8,53,853,0.006447852953953825,1,,180,100
9,57,857,0.07713958079881096,1,,178,100
10,64,864,0.10668289707742055,1,,178,100
11,73,873,0.15293417848137134,1,,176,100
12,80,880,0.14203836211921456,1,,175,100
13,83,883,0.058152795383696776,1,,175,100
14,88,888,0.12375753974932574,1,,174,100
15,91,891,0.006092349991165896,1,,174,100
16,97,897,0.00023482951225131798,0,,174,100
17,105,905,0.00046079535252995245,0,,174,100
18,114,914,0.0001379094404762357,0,,173,100
19,119,919,0.000408674290600287,0,,173,100
20,128,928,0.0061967895857438894,1,,172,100
21,134,934,0.0007991859472033123,0,,171,100
22,137,937,0.0013842890865216578,1,,170,100
23,148,948,0.002359241226710568,1,,170,100
24,153,953,0.002497769531633672,1,,169,100
25,163,963,7.350217214051052e-05,0,,169,100
26,170,970,0.00012521587721707597,0,,171,100
27,173,973,3.8181183670001924e-06,0,,170,100
28,180,980,6.150295385413267e-06,0,,172,100
29,185,985,4.437468958296345e-11,0,,172,100
30,190,990,1.6367086169763216e-06,0,,173,100
31,193,993,0.00011962191475595517,0,,171,100
32,196,996,3.364558817494886e-11,0,,171,100
33,198,998,2.04956772799923e-10,0,,170,100
34,207,1007,1.4075614962595613e-06,0,,170,100
35,215,1015,3.2518473013906575e-10,0,,169,100
36,219,1019,1.6550791881733606e-05,0,,169,100
37,223,1023,0.00014651774913406544,0,,169,100
38,232,1032,0.0016185135437936531,1,,169,100
39,243,1043,0.0074412257087702,1,,171,100
40,246,1046,0.00023721594619080085,0,,170,100
41,262,1062,0.00023974033342674623,0,,172,100
42,266,1066,0.00017785605341426788,0,,172,100
43,269,1069,0.00018840625746972207,0,,172,100
44,273,1073,0.00015281553243617042,0,,172,100
45,281,1081,0.09351610720242673,1,,169,100
46,284,1084,0.0006552001362335201,0,,171,100
47,298,1098,0.067610409422879,1,,171,100
48,303,1103,0.09229831571721801,1,,170,100
49,313,1113,0.01494834194555493,1,,171,100
50,323,1123,0.06205658916959695,1,,173,100
51,329,1129,0.13825347163132304,1,,172,100
52,333,1133,0.024683223107727085,1,,171,100
53,340,1140,0.07245366606765553,1,,172,100
54,343,1143,0.043466508743539196,1,,173,100
55,351,1151,0.06625507515729387,1,,170,100
56,354,1154,0.28631515523245793,1,,169,100
57,359,1159,0.3221764875020032,1,,168,100
58,368,1168,0.3242345303139214,1,,168,100
59,377,1177,0.20164177683084,1,,166,100
60,381,1181,0.18570226425719044,1,,165,100
61,385,1185,0.4105294397750469,1,,164,100
62,389,1189,0.21705125065678074,1,,163,100
63,399,1199,0.3114410375667849,1,,162,100
64,408,1208,0.31268903879850224,1,,161,100
65,411,1211,0.38702013893085635,1,,160,100
66,415,1215,0.5384464338629836,1,,158,100
67,424,1224,0.5041249782360958,1,,157,100
68,427,1227,0.43752296452129463,1,,156,100
69,431,1231,0.13510413281777295,1,,155,100
70,438,1238,0.19938960092141564,1,,154,100
71,446,1246,0.05913837343596638,1,,152,100
72,449,1249,0.17382062470724283,1,,151,100
73,454,1254,0.13644902068778839,1,,150,100
74,459,1259,0.13984903991623363,1,,150,100
75,470,1270,0.13279110061722582,1,,148,100
76,474,1274,0.14487972192480544,1,,147,100
77,478,1278,0.11535724141671458,1,,147,100
78,486,1286,0.14517541244722693,1,,144,100
79,489,1289,0.10233719313633666,1,,143,100
80,493,1293,0.08501685621117697,1,,142,100
81,500,1300,0.028187125825274776,1,,141,100
82,503,1303,0.13510783518466268,1,,140,100
83,509,1309,0.22922655983354273,1,,139,100
84,513,1313,0.03494902637405924,1,,138,100
85,516,1316,0.012688705877847083,1,,137,100
86,520,1320,0.0008600295068905299,0,,137,100
87,530,1330,0.11022952741126557,1,,135,100
88,533,1333,0.07770125413142338,1,,134,100
89,537,1337,0.03891301257764017,1,,134,100
90,543,1343,0.0977976726003586,1,,132,100
91,547,1347,0.15215839158671043,1,,130,100
92,559,1359,0.19680643852049914,1,,127,100
93,562,1362,0.15656055539590896,1,,127,100
94,569,1369,0.5081408530895882,1,,125,100
95,574,1374,0.30273329339173305,1,,125,100
96,585,1385,0.11752275586622703,1,,123,100
97,588,1388,0.035517488425181105,1,,122,100
98,591,1391,0.16482049272383756,1,,121,100
99,594,1394,0.2355100042024301,1,,121,100
100,600,1400,0.04755071380597418,1,,119,100
101,604,1404,0.017954427978533385,1,,118,100
102,607,1407,0.0016844599577256177,1,,116,100
103,622,1422,0.0012732506450974274,1,,113,100
104,625,1425,4.0967728591380136e-05,0,,113,100
105,636,1436,0.0073292143569158065,1,,110,100
106,639,1439,0.028338042284270188,1,,109,100
107,643,1443,0.8572632216014086,1,,108,100
108,651,1451,0.7146104059024194,1,,107,100
109,655,1455,0.5421083453185769,1,,106,100
110,662,1462,0.642028779208874,1,,105,100
111,669,1469,0.5832456043506609,1,,104,100
112,672,1472,0.5303733371216026,1,,103,100
113,677,1477,0.5029815663842472,1,,101,100
114,686,1486,0.48450343646596733,1,,100,100
