window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,2.8466267187839378e-58,0,,193,100
1,10,810,2.8270592779919537e-64,0,,190,100
2,20,820,5.498393636879373e-63,0,,188,100
3,30,830,4.3233961506515944e-58,0,,189,100
4,40,840,1.4213769607574487e-57,0,,187,100
5,50,850,7.42907277890182e-58,0,,188,100
6,60,860,1.9321574887716863e-54,0,,188,100
7,70,870,1.2879452980084044e-53,0,,188,100
8,80,880,1.5669479044543776e-56,0,,190,100
9,90,890,3.6121438247494515e-61,0,,187,100
10,100,900,7.025924043902348e-64,0,,187,100
11,110,910,7.840635119741291e-66,0,,187,100
12,120,920,1.2421500145069179e-61,0,,185,100
13,130,930,4.9331561616293613e-57,0,,188,100
14,140,940,2.271134894602828e-59,0,,187,100
15,150,950,5.428879484775725e-57,0,,187,100
16,160,960,3.447938619139226e-58,0,,189,100
17,170,970,1.6364550859208545e-57,0,,188,100
18,180,980,1.780215660761965e-55,0,,186,100
19,190,990,1.1377111066037714e-55,0,,189,100
20,200,1000,9.319290320068995e-52,0,,189,100
21,210,1010,2.0826511406769383e-53,0,,190,100
22,220,1020,1.6790294625265314e-49,0,,190,100
23,230,1030,2.628005580396942e-50,0,,190,100
24,240,1040,5.134587040981882e-56,0,,190,100
25,250,1050,1.3151615236785112e-55,0,,191,100
26,260,1060,6.147333094941809e-57,0,,191,100
27,270,1070,6.163996239992617e-58,0,,191,100
28,280,1080,1.175716763016746e-63,0,,193,100
29,290,1090,1.6224917763219978e-63,0,,193,100
30,300,1100,8.65873771071363e-62,0,,194,100
31,310,1110,1.1470500231107911e-56,0,,192,100
32,320,1120,3.726813282543434e-57,0,,193,100
33,330,1130,6.621131317728157e-59,0,,191,100
34,340,1140,5.026937221378101e-57,0,,191,100
35,350,1150,7.197661028686282e-59,0,,193,100
36,360,1160,4.1706768352034195e-61,0,,193,100
37,370,1170,1.3556826478154015e-58,0,,192,100
38,380,1180,9.350756363732922e-62,0,,191,100
39,390,1190,1.174531830566881e-65,0,,190,100
40,400,1200,4.168439581539477e-66,0,,189,100
41,410,1210,1.3186958491166772e-61,0,,188,100
42,420,1220,4.836039888639435e-67,0,,188,100
43,430,1230,6.845871198543504e-68,0,,189,100
44,440,1240,1.5741283933555467e-64,0,,191,100
45,450,1250,7.944899771822912e-63,0,,191,100
46,460,1260,5.546163946194908e-61,0,,190,100
47,470,1270,6.460592619817236e-65,0,,191,100
48,480,1280,4.082333783559017e-60,0,,187,100
49,490,1290,6.855517861126957e-61,0,,191,100
50,500,1300,2.6188750487010393e-59,0,,192,100
51,510,1310,1.4387955799432532e-61,0,,191,100
52,520,1320,5.014146956391802e-62,0,,190,100
53,530,1330,1.1201693056555064e-68,0,,191,100
54,540,1340,2.32728456196864e-66,0,,190,100
55,550,1350,4.8260833466251126e-67,0,,188,100
56,560,1360,7.405296408048429e-67,0,,187,100
57,570,1370,2.2440836242186897e-67,0,,189,100
58,580,1380,3.472655954304739e-65,0,,186,100
59,590,1390,1.2716223113422002e-62,0,,188,100
60,600,1400,1.618157109524887e-65,0,,185,100
61,610,1410,2.0800161114192964e-64,0,,186,100
62,620,1420,2.2766136683147456e-62,0,,188,100
63,630,1430,8.144875853245973e-66,0,,188,100
64,640,1440,1.1274031798479932e-64,0,,189,100
65,650,1450,8.319925132748997e-68,0,,190,100
66,660,1460,3.088709789317174e-70,0,,189,100
67,670,1470,1.5175119661884203e-68,0,,188,100
68,680,1480,8.938083062480081e-71,0,,188,100
69,690,1490,7.327975492479213e-73,0,,187,100
70,700,1500,4.312115879105998e-67,0,,186,100
71,710,1510,1.037454545320696e-64,0,,185,100
72,720,1520,1.2471121923734896e-62,0,,186,100
73,730,1530,1.0629841575608946e-65,0,,187,100
74,740,1540,1.9028458277628617e-61,0,,188,100
75,750,1550,7.584798508923846e-64,0,,185,100
76,760,1560,8.532347421166153e-64,0,,186,100
77,770,1570,1.2007344102985213e-64,0,,188,100
78,780,1580,2.8254197158138342e-67,0,,187,100
79,790,1590,2.3360794648229816e-67,0,,189,100
80,800,1600,6.368609909432878e-70,0,,190,100
81,810,1610,6.291876533023346e-63,0,,190,100
82,820,1620,4.113102888739856e-73,0,,188,100
83,830,1630,1.2417400304094827e-71,0,,186,100
84,840,1640,3.0733857160328535e-71,0,,187,100
85,850,1650,5.756973740375546e-68,0,,185,100
86,860,1660,4.333872816523085e-68,0,,187,100
87,870,1670,2.1615257095583588e-72,0,,189,100
88,880,1680,1.150519965249732e-70,0,,189,100
89,890,1690,5.977444389119107e-67,0,,188,100
90,900,1700,3.191499705458266e-65,0,,191,100
91,910,1710,2.956513337019213e-73,0,,189,100
92,920,1720,5.261415557327413e-75,0,,190,100
93,930,1730,3.999716645076414e-76,0,,191,100
94,940,1740,5.342521904588728e-78,0,,191,100
95,950,1750,8.768953053388929e-76,0,,190,100
96,960,1760,1.263949671145277e-72,0,,188,100
97,970,1770,2.9723556217870664e-74,0,,190,100
98,980,1780,6.435532941638835e-74,0,,191,100
99,990,1790,4.3238617231547995e-74,0,,191,100
100,1000,1800,3.694261294917395e-72,0,,191,100
101,1010,1810,1.7426927874138353e-72,0,,190,100
102,1020,1820,3.951685405921577e-71,0,,193,100
103,1030,1830,1.556868681477577e-67,0,,193,100
104,1040,1840,1.2097442124249132e-67,0,,191,100
105,1050,1850,8.823879497977782e-72,0,,191,100
106,1060,1860,3.640450878540741e-73,0,,191,100
107,1070,1870,9.205144432777003e-74,0,,191,100
108,1080,1880,3.247508557432592e-75,0,,189,100
109,1090,1890,7.416152571939292e-72,0,,190,100
110,1100,1900,1.8114053074065617e-72,0,,191,100
111,1110,1910,2.8663816232952236e-69,0,,191,100
112,1120,1920,6.257976332772395e-67,0,,191,100
113,1130,1930,1.9010516200739295e-65,0,,191,100
114,1140,1940,1.707111807127139e-65,0,,190,100
115,1150,1950,1.06708912287037e-68,0,,190,100
116,1160,1960,6.544362856149097e-66,0,,193,100
117,1170,1970,5.128951932297283e-71,0,,193,100
118,1180,1980,3.2967394229152793e-69,0,,194,100
119,1190,1990,3.495343215563826e-70,0,,194,100
120,1200,2000,1.8610560924780964e-66,0,,194,100
121,1210,2010,1.1123505363998343e-68,0,,194,100
122,1220,2020,1.1891839887319408e-73,0,,195,100
123,1230,2030,4.823694073383047e-73,0,,195,100
124,1240,2040,3.313143420889379e-70,0,,194,100
125,1250,2050,5.335579151728862e-67,0,,194,100
126,1260,2060,7.689868547121937e-62,0,,192,100
127,1270,2070,2.5180936566038403e-64,0,,196,100
128,1280,2080,7.577316034701903e-61,0,,196,100
