window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.20585344767061428,1,,186,100
1,6,806,0.04258940402543164,1,,183,100
2,10,810,0.07176279781459949,1,,185,100
3,21,821,0.10745954861006231,1,,186,100
4,25,825,0.0367122764758989,1,,187,100
5,30,830,0.02104990731634404,1,,186,100
6,44,844,0.17701929284514217,1,,182,100
7,48,848,0.14629701932170447,1,,184,100
8,65,865,0.24377397771420894,1,,181,100
9,68,868,0.040946664559761495,1,,179,100
10,88,888,0.2852111010034579,1,,183,100
11,98,898,0.16841606366904643,1,,182,100
12,104,904,0.18136707563605645,1,,183,100
13,109,909,0.0017814198698763856,1,,183,100
14,113,913,0.09816862665787443,1,,181,100
15,119,919,0.0018155764427904538,1,,181,100
16,123,923,0.03686905122633188,1,,181,100
17,134,934,0.001603150882404493,1,,183,100
18,138,938,0.0013817499934602713,1,,182,100
19,143,943,0.000293814578818843,0,,181,100
20,163,963,6.1299102668477065e-06,0,,178,100
21,167,967,0.002660362359409148,1,,179,100
22,180,980,0.0003115426934155501,0,,180,100
23,183,983,0.0024135466676601836,1,,182,100
24,191,991,0.004227665551295081,1,,183,100
25,194,994,0.017251825248043404,1,,184,100
26,203,1003,0.0016098720835562282,1,,183,100
27,205,1005,0.0022492373376862603,1,,182,100
28,213,1013,0.0010751380469851432,1,,182,100
29,215,1015,0.04895669224196542,1,,181,100
30,218,1018,0.004272849424330376,1,,181,100
31,223,1023,0.10787037594419761,1,,180,100
32,240,1040,0.06580813759136188,1,,179,100
33,251,1051,0.030980183046860156,1,,177,100
34,257,1057,0.0016871884686950865,1,,175,100
35,262,1062,0.002228925331175299,1,,176,100
36,266,1066,0.0019601585778177624,1,,176,100
37,276,1076,0.0239315338902412,1,,176,100
38,282,1082,2.2834961874366284e-05,0,,177,100
39,285,1085,0.003632673142225688,1,,176,100
40,292,1092,1.3073571989602629e-07,0,,176,100
41,303,1103,0.09624775362815105,1,,177,100
42,312,1112,6.951667464398799e-08,0,,175,100
43,316,1116,0.18786110698681674,1,,176,100
44,326,1126,3.197139920886405e-07,0,,176,100
45,332,1132,0.05481401863283323,1,,176,100
46,337,1137,1.911803373127043e-08,0,,176,100
47,340,1140,3.716344757450011e-05,0,,177,100
48,349,1149,4.684358790136554e-05,0,,177,100
49,353,1153,0.05565699768385913,1,,176,100
