window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.43830545111254354,1,,180,100
1,10,810,0.3363983278630904,1,,181,100
2,12,812,0.004461932093612351,1,,179,100
3,21,821,0.0029854148664895898,1,,180,100
4,27,827,0.00024882841328132164,0,,179,100
5,32,832,0.007900310160227861,1,,179,100
6,35,835,0.03711668090280578,1,,180,100
7,39,839,0.0372415217763774,1,,180,100
8,50,850,0.013275175118711088,1,,181,100
9,53,853,0.020846845587679644,1,,182,100
10,67,867,0.0063919482683106495,1,,181,100
11,70,870,0.005561098532453269,1,,183,100
12,80,880,0.0024243060703484937,1,,182,100
13,83,883,0.11824726122791492,1,,182,100
14,95,895,0.0037382493627145246,1,,181,100
15,99,899,0.03866538374431786,1,,180,100
16,104,904,0.04019243235604533,1,,181,100
17,113,913,0.003912612692697062,1,,183,100
18,122,922,0.05931124392828994,1,,181,100
19,125,925,0.0029297631068734833,1,,181,100
20,135,935,0.03732510622897534,1,,180,100
21,139,939,0.030473519554457228,1,,181,100
22,147,947,0.06112445571325846,1,,180,100
23,150,950,4.4441816729932576e-05,0,,180,100
24,158,958,5.3904292941982394e-08,0,,181,100
25,161,961,0.06536957315467043,1,,179,100
26,164,964,2.6728520788236814e-08,0,,181,100
27,168,968,0.06439494358789835,1,,181,100
28,175,975,0.08641235191632643,1,,181,100
29,178,978,0.0008066185002734418,0,,182,100
30,182,982,0.07501916102199685,1,,181,100
31,188,988,0.0012043602001062304,1,,181,100
32,191,991,0.08948845983573356,1,,181,100
33,195,995,0.00041128561292372605,0,,181,100
34,202,1002,0.09918629640956708,1,,182,100
35,212,1012,0.09741202656876335,1,,181,100
36,215,1015,0.0013933329477225135,1,,182,100
37,225,1025,0.00021467030952845086,0,,182,100
38,229,1029,0.12795804134218633,1,,182,100
39,232,1032,0.08580183429081537,1,,182,100
40,241,1041,0.0918589245419204,1,,182,100
41,245,1045,0.00025820270203282577,0,,180,100
42,256,1056,0.011645939117818723,1,,183,100
43,260,1060,4.6598076462871106e-05,0,,182,100
44,262,1062,6.346355788165448e-07,0,,182,100
45,270,1070,3.413600038693383e-05,0,,183,100
46,273,1073,0.06955930884634355,1,,184,100
47,287,1087,0.11986283163179749,1,,181,100
48,297,1097,0.08702141037471713,1,,181,100
49,300,1100,0.2078331039601635,1,,179,100
50,302,1102,0.07236727287216786,1,,179,100
51,307,1107,0.19211538477062798,1,,179,100
52,317,1117,0.07475622917005563,1,,181,100
53,326,1126,0.1188082998039947,1,,179,100
54,332,1132,0.059522469773122935,1,,179,100
55,342,1142,0.14410425063172452,1,,180,100
56,345,1145,0.06359240495171303,1,,180,100
57,349,1149,0.14577642712455324,1,,180,100
58,358,1158,0.028410236398928455,1,,180,100
59,361,1161,0.1326113097015088,1,,181,100
60,363,1163,0.04008097605531655,1,,180,100
61,368,1168,0.019735030119607117,1,,181,100
62,375,1175,0.17149920263865454,1,,181,100
63,379,1179,0.05892411474583737,1,,181,100
64,385,1185,0.14511453187242174,1,,182,100
65,388,1188,0.04848831513722177,1,,182,100
66,392,1192,0.16000101779846435,1,,182,100
67,399,1199,0.1342751527412663,1,,181,100
68,402,1202,0.14879711588888966,1,,180,100
69,407,1207,0.10983023012278069,1,,181,100
70,411,1211,0.056556839432141195,1,,181,100
71,416,1216,0.10580480819613004,1,,182,100
72,422,1222,0.10863803484980754,1,,181,100
73,428,1228,0.2811178719539316,1,,181,100
74,432,1232,0.09267426924428916,1,,181,100
75,435,1235,0.10409072128979856,1,,181,100
76,446,1246,0.25315160191360375,1,,179,100
77,456,1256,0.0642961080754123,1,,178,100
78,460,1260,0.15852641707620607,1,,178,100
79,463,1263,0.0005537289304527285,0,,178,100
80,471,1271,0.1572458844407667,1,,177,100
81,478,1278,0.3377574640789649,1,,177,100
82,481,1281,0.00982991341210686,1,,177,100
83,486,1286,0.1082388368143734,1,,177,100
84,489,1289,0.0015583981517828642,1,,176,100
85,495,1295,0.3936285823240848,1,,177,100
86,498,1298,0.19346952786589178,1,,176,100
87,508,1308,0.007396418958839841,1,,177,100
88,511,1311,0.0036459043835559814,1,,177,100
89,515,1315,0.03847515982327906,1,,175,100
90,522,1322,0.039964908008092694,1,,175,100
91,530,1330,0.0748331568398849,1,,176,100
92,534,1334,0.1463649953626633,1,,178,100
93,542,1342,0.425380362444537,1,,178,100
94,545,1345,0.00011768928104080123,0,,177,100
95,549,1349,0.1359974377512554,1,,177,100
96,556,1356,0.11112883511892031,1,,175,100
