window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.23403286084281555,1,,182,100
1,10,810,0.01523591869501751,1,,184,100
2,13,813,0.16793135663882797,1,,184,100
3,20,820,0.022503825460197562,1,,185,100
4,25,825,0.0004312995499610864,0,,185,100
5,31,831,0.6871332416738074,1,,181,100
6,40,840,0.3356481698624131,1,,180,100
7,43,843,0.24661490831883418,1,,179,100
8,50,850,0.03050993399882843,1,,178,100
9,55,855,0.003571549798903825,1,,177,100
10,65,865,0.2097182418366428,1,,174,100
11,72,872,0.019844826831265233,1,,173,100
12,75,875,0.2625055182213885,1,,172,100
13,82,882,0.1663899686757939,1,,171,100
14,87,887,0.0004341051842296699,0,,170,100
15,96,896,0.11906450841132166,1,,167,100
16,104,904,0.00692408466780616,1,,166,100
17,107,907,0.2782308620238108,1,,165,100
18,114,914,0.0015543223554289045,1,,164,100
19,119,919,0.0024854382203251505,1,,163,100
20,132,932,0.06920124189676641,1,,160,100
21,137,937,0.1922712493972273,1,,159,100
22,140,940,0.034582205327595227,1,,158,100
23,147,947,0.01127695407067146,1,,157,100
24,152,952,0.040970710631381115,1,,156,100
25,160,960,0.4960474985563009,1,,153,100
26,167,967,0.0012959153312830927,1,,152,100
27,170,970,0.00015026958450166793,0,,151,100
28,177,977,0.0002251537739678034,0,,150,100
29,182,982,4.600774266893432e-06,0,,150,100
30,189,989,0.002288234222527777,1,,146,100
31,201,1001,0.00015107313843992074,0,,144,100
32,209,1009,0.0006008057281251934,0,,141,100
33,217,1017,0.00010877525216479795,0,,140,100
34,223,1023,0.0018251745881697943,1,,139,100
35,230,1030,0.0002527819744214437,0,,137,100
36,238,1038,2.6853495630160996e-05,0,,136,100
37,245,1045,5.4781980415940154e-05,0,,135,100
38,248,1048,0.0003972482458113373,0,,134,100
39,254,1054,0.004561825923313513,1,,133,100
40,258,1058,1.7834893781580796e-05,0,,132,100
41,265,1065,0.007459165792059832,1,,129,100
42,274,1074,2.2178363091794495e-06,0,,130,100
43,287,1087,0.010393153591811796,1,,127,100
44,293,1093,0.00011179296926465254,0,,127,100
45,301,1101,0.024059974175650818,1,,123,100
46,308,1108,0.004139629169465964,1,,122,100
47,315,1115,0.00042459826073031515,0,,121,100
48,321,1121,0.0009627508043800142,0,,120,100
49,326,1126,0.00030388011295076406,0,,120,100
50,336,1136,0.005732855422079461,1,,116,100
51,343,1143,0.00843742451126743,1,,116,100
52,354,1154,8.442424883582356e-06,0,,115,100
53,364,1164,0.03223239794469349,1,,111,100
54,367,1167,4.1729126435195155e-06,0,,110,100
55,371,1171,0.01760789550943348,1,,109,100
56,376,1176,1.4302479282953187e-05,0,,108,100
57,379,1179,4.047372235556195e-05,0,,108,100
58,390,1190,2.779636489565545e-07,0,,106,100
59,397,1197,1.4066375788815451e-05,0,,104,100
60,401,1201,0.008628181382576351,1,,105,100
61,412,1212,7.415636422917994e-05,0,,102,100
62,415,1215,4.812490814560324e-05,0,,102,100
