window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4174689287227273,1,,179,100
1,5,805,0.9021353400320399,1,,177,100
2,8,808,0.6994794943778327,1,,177,100
3,13,813,0.7377298056997563,1,,178,100
4,17,817,0.3935334515639656,1,,176,100
5,30,830,0.6489613322878741,1,,178,100
6,39,839,0.6906743174134382,1,,178,100
7,48,848,0.42096429169093985,1,,179,100
8,53,853,0.06311857695263896,1,,180,100
9,57,857,0.6504593992994157,1,,178,100
10,64,864,0.6330393579493425,1,,178,100
11,73,873,0.7169708092931075,1,,176,100
12,80,880,0.11622889842870299,1,,175,100
13,83,883,0.4297583300694271,1,,175,100
14,88,888,0.01543255874942262,1,,174,100
15,91,891,0.3703248076070543,1,,174,100
16,97,897,0.5148080439729408,1,,174,100
17,105,905,0.46304108062952715,1,,174,100
18,114,914,0.32243953473854514,1,,173,100
19,119,919,0.7824262727798278,1,,173,100
20,128,928,0.6502034539415805,1,,172,100
21,134,934,0.6562531496153452,1,,171,100
22,137,937,0.4672888171217385,1,,170,100
23,148,948,0.5372995435086039,1,,170,100
24,153,953,0.4336854860564675,1,,169,100
25,163,963,0.2000137306997945,1,,169,100
26,170,970,0.23487787730436474,1,,171,100
27,173,973,0.1139484524881467,1,,170,100
28,180,980,0.06878435418580613,1,,172,100
29,185,985,0.0011917823425702035,1,,172,100
30,190,990,0.04635877784133139,1,,173,100
31,193,993,0.11592867103677063,1,,171,100
32,196,996,0.00032673552118519725,0,,171,100
33,198,998,0.1263439378515188,1,,170,100
34,207,1007,0.07604747808224355,1,,170,100
35,215,1015,0.04377180693946573,1,,169,100
36,219,1019,0.020206389438160218,1,,169,100
37,223,1023,0.15214387337731433,1,,169,100
38,232,1032,0.08697825782641828,1,,169,100
39,243,1043,0.1946740793123729,1,,171,100
40,246,1046,0.0002849104320867075,0,,170,100
41,262,1062,0.6874013472718105,1,,172,100
42,266,1066,0.028971404278638268,1,,172,100
43,269,1069,0.7799950886292579,1,,172,100
44,273,1073,0.7446440440962376,1,,172,100
45,281,1081,0.4744439051870782,1,,169,100
46,284,1084,0.09944490619890563,1,,171,100
47,298,1098,0.054047867423482075,1,,171,100
48,303,1103,0.15484317448438012,1,,170,100
49,313,1113,0.08629819121698953,1,,171,100
50,323,1123,0.6656756203976372,1,,173,100
51,329,1129,0.5349901054997545,1,,172,100
52,333,1133,0.26354316862619265,1,,171,100
53,340,1140,0.6220289947289095,1,,172,100
54,343,1143,0.7230275269382729,1,,173,100
55,351,1151,0.44504693829560826,1,,170,100
56,354,1154,0.7789139730717165,1,,169,100
57,359,1159,0.9362360641078725,1,,168,100
58,368,1168,0.31982279806280733,1,,168,100
59,377,1177,0.8111280804486378,1,,166,100
60,381,1181,0.4820012905734277,1,,165,100
61,385,1185,0.832817269009874,1,,164,100
62,389,1189,0.4040251196105183,1,,163,100
63,399,1199,0.9602546136948298,1,,162,100
64,408,1208,0.25866747916833494,1,,161,100
65,411,1211,0.30860574812781083,1,,160,100
66,415,1215,0.34572903455147297,1,,158,100
67,424,1224,0.9353732964215276,1,,157,100
68,427,1227,0.6213528033630004,1,,156,100
69,431,1231,0.8059432744729783,1,,155,100
70,438,1238,0.49466234888079685,1,,154,100
71,446,1246,0.2328953020607599,1,,152,100
72,449,1249,0.35546211593835947,1,,151,100
73,454,1254,0.2782349643762032,1,,150,100
74,459,1259,0.516180024311436,1,,150,100
75,470,1270,0.9941248451292297,1,,148,100
76,474,1274,0.6252225232996892,1,,147,100
77,478,1278,0.8526295725371884,1,,147,100
78,486,1286,0.9726141541980082,1,,144,100
79,489,1289,0.9764993805169191,1,,143,100
80,493,1293,0.6586150697336172,1,,142,100
81,500,1300,0.953689109928949,1,,141,100
82,503,1303,0.7330532783728763,1,,140,100
83,509,1309,0.9713145745412597,1,,139,100
84,513,1313,0.15767787266383912,1,,138,100
85,516,1316,0.846345606388642,1,,137,100
86,520,1320,0.16369922403738163,1,,137,100
87,530,1330,0.9941248451292297,1,,135,100
88,533,1333,0.8807638410844895,1,,134,100
89,537,1337,0.27756684953326816,1,,134,100
90,543,1343,0.7217044861533828,1,,132,100
91,547,1347,0.795065718569874,1,,130,100
92,559,1359,0.8380061501310767,1,,127,100
93,562,1362,0.05771637656064199,1,,127,100
94,569,1369,0.29731696165987404,1,,125,100
95,574,1374,0.17992933096104569,1,,125,100
96,585,1385,0.3808717136487736,1,,123,100
97,588,1388,0.15421435114418414,1,,122,100
98,591,1391,0.14807417893569555,1,,121,100
99,594,1394,0.012629392428951494,1,,121,100
100,600,1400,0.1993517036648247,1,,119,100
101,604,1404,0.44811392276192225,1,,118,100
102,607,1407,0.582167678083147,1,,116,100
103,622,1422,0.34670743134844495,1,,113,100
104,625,1425,0.17736724265398918,1,,113,100
105,636,1436,0.03572356230043763,1,,110,100
106,639,1439,0.0038414861366009375,1,,109,100
107,643,1443,0.014538365544476812,1,,108,100
108,651,1451,0.013017107305351286,1,,107,100
109,655,1455,0.0029014112672154702,1,,106,100
110,662,1462,0.16225148453336863,1,,105,100
111,669,1469,0.0016919719505464636,1,,104,100
112,672,1472,0.004179838029169256,1,,103,100
113,677,1477,0.0011858333686159924,1,,101,100
114,686,1486,0.16444137130804773,1,,100,100
