window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.35093886867973845,1,,262,100
1,6,806,0.25551504503590944,1,,262,100
2,12,812,0.8949739503236236,1,,263,100
3,18,818,0.8252544002669107,1,,263,100
4,22,822,0.5396703726273345,1,,265,100
5,28,828,0.4884081515241331,1,,265,100
6,40,840,0.04993190285463366,1,,268,100
7,51,851,0.5285604783690144,1,,267,100
8,57,857,0.8948108154769845,1,,267,100
9,61,861,0.9322595371312001,1,,267,100
10,64,864,0.8831291776295078,1,,268,100
11,72,872,0.7915446182620286,1,,269,100
12,79,879,0.9536310360787505,1,,269,100
13,90,890,0.8188125028589454,1,,270,100
14,93,893,0.9294981415507573,1,,271,100
15,100,900,0.8786927943991574,1,,271,100
16,103,903,0.011340680997484504,1,,272,100
17,110,910,0.001065910809272776,1,,271,100
18,116,916,0.0010533186791447124,1,,272,100
19,124,924,0.01693728368366398,1,,271,100
20,127,927,0.01418977883694331,1,,271,100
21,132,932,0.038779354703982444,1,,270,100
22,135,935,0.011645403436573448,1,,270,100
23,141,941,0.048737180862783856,1,,271,100
24,149,949,0.000711047640749332,0,,270,100
25,154,954,0.8530860986638205,1,,270,100
26,162,962,1.9592817996749473e-05,0,,272,100
27,175,975,7.531702343666718e-06,0,,272,100
28,183,983,1.1354975674798298e-07,0,,271,100
29,191,991,0.001307511431469412,1,,268,100
30,196,996,0.4538107920074289,1,,266,100
31,199,999,0.21516336402406278,1,,266,100
32,207,1007,5.066993393939933e-07,0,,263,100
33,210,1010,0.08664997428158461,1,,262,100
34,213,1013,3.0479568334614304e-08,0,,261,100
35,221,1021,0.14362646427102316,1,,260,100
36,232,1032,0.3084050957513635,1,,256,100
37,237,1037,0.1818831002039637,1,,254,100
38,242,1042,0.007875103728161194,1,,252,100
39,248,1048,1.2588129084092038e-08,0,,251,100
40,254,1054,1.6987081695984002e-07,0,,249,100
41,257,1057,0.01814248182985743,1,,248,100
42,271,1071,1.8092954261381256e-07,0,,243,100
43,274,1074,0.0053567485702690106,1,,242,100
44,284,1084,4.329503418212985e-07,0,,239,100
45,290,1090,4.244298391702751e-07,0,,237,100
46,295,1095,0.012119504622469439,1,,236,100
47,301,1101,0.009822517197000858,1,,234,100
48,311,1111,0.011645355798536176,1,,230,100
49,321,1121,7.5215332886206e-08,0,,229,100
50,326,1126,6.449617762788217e-08,0,,227,100
51,335,1135,1.8017973702357657e-07,0,,223,100
52,345,1145,2.1576521563199284e-07,0,,219,100
53,349,1149,0.024290955829020286,1,,218,100
54,359,1159,2.0801108751540424e-07,0,,215,100
55,364,1164,3.5151492838483527e-07,0,,213,100
56,367,1167,0.013313074484615205,1,,212,100
57,373,1173,0.024547789056094668,1,,210,100
58,377,1177,5.282972343304526e-08,0,,209,100
59,385,1185,2.0496307216106395e-07,0,,207,100
60,394,1194,1.6281155220121902e-10,0,,205,100
61,401,1201,8.843351478051265e-06,0,,202,100
62,406,1206,5.438348625126862e-12,0,,201,100
63,409,1209,1.1663103475243973e-09,0,,200,100
64,413,1213,6.215204146041658e-08,0,,200,100
65,422,1222,4.937903938396118e-08,0,,195,100
66,428,1228,1.1350650957035837e-06,0,,192,100
67,431,1231,1.5603118449664593e-09,0,,191,100
68,438,1238,2.2883877116441346e-06,0,,188,100
69,443,1243,1.8952513256630556e-08,0,,187,100
70,450,1250,1.7414169622973398e-07,0,,186,100
71,458,1258,9.45509531841595e-08,0,,184,100
72,467,1267,6.825744421579321e-06,0,,180,100
73,474,1274,7.999945294910954e-06,0,,179,100
74,481,1281,1.0376957256318966e-06,0,,176,100
75,487,1287,1.4347456789201615e-08,0,,174,100
76,493,1293,7.34849821023197e-10,0,,172,100
77,500,1300,7.149719871220614e-07,0,,168,100
78,512,1312,4.848038069529257e-08,0,,164,100
79,517,1317,1.85218101729017e-07,0,,162,100
80,527,1327,1.2724309788668883e-08,0,,158,100
81,532,1332,3.86678059148116e-10,0,,156,100
82,540,1340,5.853674403822332e-08,0,,153,100
83,544,1344,2.7130022870101677e-08,0,,152,100
84,550,1350,1.58600686910684e-08,0,,148,100
85,558,1358,6.3689760268811916e-09,0,,145,100
86,567,1367,5.408247575322015e-10,0,,142,100
87,579,1379,3.7157605440907364e-07,0,,139,100
88,586,1386,1.2262437127044264e-09,0,,136,100
89,592,1392,1.9797574052504415e-08,0,,135,100
90,599,1399,1.606642808951937e-11,0,,134,100
91,606,1406,4.269126486487505e-11,0,,132,100
92,615,1415,9.169578272244847e-10,0,,128,100
93,618,1418,2.4493966834093568e-09,0,,127,100
94,625,1425,1.064760421025119e-10,0,,124,100
95,634,1434,3.3219348331364587e-07,0,,121,100
96,638,1438,2.4938590816252135e-11,0,,120,100
97,646,1446,1.3428752198394248e-07,0,,117,100
98,654,1454,2.6422834437603937e-11,0,,114,100
99,658,1458,3.4774613034922636e-09,0,,113,100
100,667,1467,1.0139310910397077e-17,0,,110,100
101,678,1478,9.554172919193852e-07,0,,105,100
102,682,1482,7.935346283551669e-07,0,,105,100
103,686,1486,1.2533289922695457e-05,0,,103,100
