window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0006467459143825937,0,,180,100
1,10,810,0.0009644484743286279,0,,181,100
2,12,812,0.0005174869219023578,0,,179,100
3,21,821,0.00028985380623365364,0,,180,100
4,27,827,0.0004091205028814309,0,,179,100
5,32,832,0.00013994034161194418,0,,179,100
6,35,835,0.00019192021622995776,0,,180,100
7,39,839,9.958242930096776e-05,0,,180,100
8,50,850,0.00026850297404745093,0,,181,100
9,53,853,0.0003230492505867744,0,,182,100
10,67,867,0.00018376607361607117,0,,181,100
11,70,870,4.213459749427687e-05,0,,183,100
12,80,880,0.0006179803301081971,0,,182,100
13,83,883,0.0013508458895630522,1,,182,100
14,95,895,0.00042221842699373456,0,,181,100
15,99,899,4.56980126922473e-05,0,,180,100
16,104,904,0.00011530456910719177,0,,181,100
17,113,913,0.0004158415883989933,0,,183,100
18,122,922,1.8728458606565305e-05,0,,181,100
19,125,925,6.403350715573358e-06,0,,181,100
20,135,935,8.865903171105186e-06,0,,180,100
21,139,939,2.347959081298913e-06,0,,181,100
22,147,947,1.1184711359641222e-09,0,,180,100
23,150,950,2.343452069271575e-10,0,,180,100
24,158,958,1.2754773741134993e-11,0,,181,100
25,161,961,5.1413040448842226e-12,0,,179,100
26,164,964,3.4305458065632327e-11,0,,181,100
27,168,968,2.842684314044894e-12,0,,181,100
28,175,975,1.1009092912682761e-10,0,,181,100
29,178,978,1.7766599450686035e-09,0,,182,100
30,182,982,1.0835916399928312e-08,0,,181,100
31,188,988,9.557973391172519e-09,0,,181,100
32,191,991,8.809906148968024e-08,0,,181,100
33,195,995,1.2134804884254503e-06,0,,181,100
34,202,1002,2.280816971112194e-05,0,,182,100
35,212,1012,2.533068959551391e-05,0,,181,100
36,215,1015,1.929411194202018e-05,0,,182,100
37,225,1025,8.777799847769342e-06,0,,182,100
38,229,1029,2.1434542389472594e-05,0,,182,100
39,232,1032,3.242095634972444e-05,0,,182,100
40,241,1041,4.686444662219919e-06,0,,182,100
41,245,1045,2.474326463865546e-06,0,,180,100
42,256,1056,3.800074399043467e-06,0,,183,100
43,260,1060,9.607409907784364e-07,0,,182,100
44,262,1062,1.2319453388591296e-06,0,,182,100
45,270,1070,3.153793540279867e-07,0,,183,100
46,273,1073,1.5207695024110355e-06,0,,184,100
47,287,1087,5.878859704601768e-09,0,,181,100
48,297,1097,1.8671818280220774e-09,0,,181,100
49,300,1100,1.917217516429122e-10,0,,179,100
50,302,1102,8.220238899760134e-09,0,,179,100
51,307,1107,3.955973255847697e-12,0,,179,100
52,317,1117,1.3578583199526558e-11,0,,181,100
53,326,1126,5.348607082980191e-13,0,,179,100
54,332,1132,2.105534603215068e-15,0,,179,100
55,342,1142,2.2709974722754304e-13,0,,180,100
56,345,1145,3.88747053189682e-15,0,,180,100
57,349,1149,6.365112828830069e-14,0,,180,100
58,358,1158,1.7595411804195372e-12,0,,180,100
59,361,1161,5.804845726521287e-12,0,,181,100
60,363,1163,3.003982249757909e-12,0,,180,100
61,368,1168,1.2867652855034038e-09,0,,181,100
62,375,1175,4.1922043842776653e-07,0,,181,100
63,379,1179,4.111547518788824e-09,0,,181,100
