window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,9.496073098259249e-11,0,,164,100
1,3,803,1.7637167908472348e-10,0,,163,100
2,13,813,8.798870542116964e-06,0,,163,100
3,18,818,2.775360229462265e-06,0,,162,100
4,21,821,2.0658917474482818e-05,0,,160,100
5,27,827,7.511872631810602e-06,0,,155,100
6,31,831,7.97084005627842e-06,0,,157,100
7,41,841,3.1054816812201394e-07,0,,156,100
8,53,853,4.107369680600413e-06,0,,158,100
9,56,856,1.1283414738339502e-05,0,,156,100
10,60,860,2.3614700578325778e-05,0,,157,100
11,69,869,1.3184727404109488e-05,0,,159,100
12,76,876,5.737210129660922e-05,0,,158,100
13,83,883,1.7318844790073215e-05,0,,157,100
14,86,886,4.758553963057281e-05,0,,156,100
15,95,895,2.9412022304858036e-05,0,,157,100
16,100,900,2.223215200295427e-06,0,,155,100
17,103,903,1.7119922904476763e-07,0,,155,100
18,107,907,2.9559974344765966e-06,0,,155,100
19,114,914,2.69950259578079e-08,0,,155,100
20,117,917,2.698850767667285e-07,0,,155,100
21,123,923,4.131413319363834e-08,0,,156,100
22,131,931,3.386268225863551e-08,0,,156,100
23,134,934,7.498554321796555e-08,0,,157,100
24,142,942,1.1900140733644944e-07,0,,157,100
25,152,952,6.706358324520181e-09,0,,158,100
26,156,956,6.720880094716362e-07,0,,157,100
27,160,960,5.888326823613087e-08,0,,158,100
28,167,967,3.328295747565407e-08,0,,158,100
29,170,970,3.089176307413265e-08,0,,159,100
30,179,979,2.2200931691955823e-07,0,,161,100
31,183,983,1.0857117496141505e-06,0,,160,100
32,193,993,4.387160205790427e-06,0,,161,100
33,199,999,4.6857337345377003e-07,0,,160,100
34,205,1005,1.2560600065308449e-05,0,,161,100
35,210,1010,1.2643042755354476e-05,0,,161,100
36,220,1020,1.770192623037887e-05,0,,162,100
37,225,1025,2.0930450765701554e-06,0,,161,100
38,230,1030,3.009216894948106e-05,0,,161,100
39,239,1039,4.52186923864875e-06,0,,161,100
40,243,1043,1.204366223591816e-06,0,,160,100
41,246,1046,2.287208988355967e-06,0,,160,100
42,253,1053,1.4614607837882001e-05,0,,159,100
43,259,1059,4.140602153628061e-06,0,,160,100
44,263,1063,2.2008755492709764e-05,0,,158,100
45,270,1070,2.7033205368996535e-05,0,,158,100
46,273,1073,5.9336813807607e-05,0,,158,100
47,277,1077,7.921523446720727e-05,0,,158,100
48,284,1084,0.00016775037043319593,0,,157,100
49,288,1088,0.00017024834756131787,0,,159,100
50,297,1097,0.00013843141721949412,0,,160,100
51,301,1101,8.20161533597784e-05,0,,160,100
52,307,1107,8.810360106939712e-05,0,,159,100
53,315,1115,0.0012563497652463773,1,,160,100
54,318,1118,0.0011348462591370685,1,,160,100
55,324,1124,0.00014115171299732563,0,,160,100
56,328,1128,0.00019758619287863684,0,,161,100
57,333,1133,0.00038382897880065176,0,,159,100
58,336,1136,0.0032219621716619933,1,,159,100
59,343,1143,0.013612367607097027,1,,159,100
60,347,1147,0.03869531091527365,1,,159,100
61,350,1150,0.0038882620527594426,1,,159,100
62,359,1159,0.0038092162498485943,1,,158,100
63,363,1163,0.007931512542080934,1,,159,100
64,371,1171,0.023283012383514788,1,,159,100
65,377,1177,0.04180486713225785,1,,159,100
66,379,1179,0.04483490368572782,1,,159,100
67,386,1186,0.10781814238476811,1,,159,100
68,394,1194,0.08177766004931207,1,,159,100
69,397,1197,0.127210741826931,1,,158,100
70,401,1201,0.12014616935554188,1,,159,100
71,410,1210,0.07357302644206712,1,,157,100
72,413,1213,0.07468217725637097,1,,158,100
73,421,1221,0.06118309340791285,1,,158,100
74,430,1230,0.05651684742026179,1,,157,100
75,435,1235,0.03839570435415713,1,,157,100
76,440,1240,0.033197863798573174,1,,157,100
77,447,1247,0.08165714184150548,1,,157,100
78,455,1255,0.040350827435495736,1,,158,100
79,459,1259,0.03790388833066481,1,,159,100
80,466,1266,0.04452207927559379,1,,158,100
81,472,1272,0.06585967424641903,1,,158,100
82,478,1278,0.008665798743420633,1,,157,100
83,483,1283,0.008241087315996,1,,157,100
84,486,1286,0.008259127823309377,1,,157,100
85,490,1290,0.010328798027141118,1,,156,100
86,502,1302,0.012303221238709692,1,,154,100
87,505,1305,0.01678757979690631,1,,153,100
88,510,1310,0.005945240011332442,1,,153,100
89,516,1316,0.0036384356335722773,1,,154,100
90,523,1323,0.007707584365983433,1,,155,100
91,526,1326,0.002873177930361511,1,,155,100
92,529,1329,0.0033724356066455155,1,,155,100
93,543,1343,0.006876385863514828,1,,153,100
94,548,1348,0.002719459661772352,1,,152,100
95,552,1352,0.002447029115764817,1,,152,100
96,556,1356,0.0009871979144686193,0,,152,100
97,560,1360,0.0007218184704291263,0,,151,100
98,568,1368,0.0020591275386705613,1,,153,100
99,575,1375,0.0004519103632840643,0,,152,100
100,580,1380,0.000589541803563709,0,,152,100
101,585,1385,0.00041252870796684916,0,,152,100
102,589,1389,0.0002118203046722948,0,,153,100
103,597,1397,0.0027978535028930144,1,,153,100
104,600,1400,0.0008622252696209885,0,,153,100
105,606,1406,0.001510076842384987,1,,153,100
106,614,1414,0.0004749868634673764,0,,152,100
107,619,1419,0.00028938851465303163,0,,153,100
108,627,1427,0.00015534813258823147,0,,154,100
109,639,1439,0.004718174803753988,1,,153,100
110,647,1447,0.0063536390429326925,1,,152,100
