window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.271196805400588e-05,0,,137,100
1,11,811,0.00017156192278216476,0,,136,100
2,14,814,5.7000557702508e-05,0,,135,100
3,19,819,0.00018973420069564928,0,,133,100
4,25,825,2.414928868642458e-05,0,,131,100
5,33,833,0.00033975610506905895,0,,129,100
6,40,840,4.321139993456925e-05,0,,128,100
7,51,851,3.7756300009194356e-05,0,,126,100
8,56,856,8.364399971100796e-05,0,,125,100
9,65,865,1.2535498791371273e-05,0,,124,100
10,69,869,2.3118702654446798e-05,0,,123,100
11,73,873,9.29141816607728e-05,0,,122,100
12,81,881,0.00019990639527029715,0,,121,100
13,86,886,0.00012128510034047343,0,,120,100
14,89,889,0.00021781367956550488,0,,119,100
15,97,897,0.0002610903349114322,0,,118,100
16,101,901,0.0006907397266911351,0,,117,100
17,104,904,0.0008078618578487687,0,,117,100
18,111,911,0.0005865854533455154,0,,116,100
19,120,920,0.04558891345452465,1,,113,100
20,129,929,0.01232027165076154,1,,112,100
21,134,934,0.01806823482012642,1,,111,100
22,138,938,0.008256989489862459,1,,110,100
23,144,944,0.00034191506996995245,0,,109,100
24,154,954,0.004315520182583,1,,108,100
25,161,961,0.0026355289772475835,1,,107,100
26,165,965,0.0021275793239281834,1,,106,100
27,170,970,3.5853177354902144e-05,0,,105,100
28,181,981,0.00036109127114380626,0,,104,100
29,188,988,0.0050010735426229795,1,,103,100
30,195,995,0.003002521987595244,1,,102,100
31,198,998,0.0035356479688415203,1,,101,100
32,202,1002,0.0017483968603303934,1,,101,100
