window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.008267623511792757,1,,179,100
1,5,805,0.008951945161653973,1,,177,100
2,8,808,0.0022911730752117197,1,,177,100
3,13,813,0.0077966998129017796,1,,178,100
4,17,817,0.004494219903642532,1,,176,100
5,30,830,0.002580110308274654,1,,178,100
6,39,839,0.0030620834103768854,1,,178,100
7,48,848,0.0016228482415195616,1,,179,100
8,53,853,0.0010371171534828134,1,,180,100
9,57,857,0.0034999435567466316,1,,178,100
10,64,864,0.009416607935465013,1,,178,100
11,73,873,0.0003130191283327672,0,,176,100
12,80,880,0.00011854513321562061,0,,175,100
13,83,883,0.0008453592608078674,0,,175,100
14,88,888,0.0001790691835069727,0,,174,100
15,91,891,0.0007549050510553133,0,,174,100
16,97,897,7.652922339742993e-05,0,,174,100
17,105,905,6.14005681753427e-06,0,,174,100
18,114,914,0.00017890762311324716,0,,173,100
19,119,919,2.9564803084438072e-05,0,,173,100
20,128,928,2.9277160878777696e-06,0,,172,100
21,134,934,2.998801186929206e-06,0,,171,100
22,137,937,3.6254079212471764e-06,0,,170,100
23,148,948,0.00010188485130900571,0,,170,100
24,153,953,3.570299577659275e-07,0,,169,100
25,163,963,2.425475203878653e-05,0,,169,100
26,170,970,2.0789200542127707e-06,0,,171,100
27,173,973,2.5940346219338137e-08,0,,170,100
28,180,980,2.818143908726444e-07,0,,172,100
29,185,985,7.661545123549508e-05,0,,172,100
30,190,990,2.8163059966053442e-05,0,,173,100
31,193,993,3.9779432878986305e-05,0,,171,100
32,196,996,6.720408839765539e-06,0,,171,100
33,198,998,3.405561362468545e-06,0,,170,100
34,207,1007,4.512865727311395e-07,0,,170,100
35,215,1015,8.191608600281848e-09,0,,169,100
36,219,1019,4.533154962851866e-08,0,,169,100
37,223,1023,3.401495268560549e-13,0,,169,100
38,232,1032,2.0200400147855606e-12,0,,169,100
39,243,1043,1.1016107250175922e-09,0,,171,100
40,246,1046,7.746876920180406e-11,0,,170,100
41,262,1062,0.008929771044950265,1,,172,100
42,266,1066,0.0030993679026062285,1,,172,100
43,269,1069,0.004575542677442853,1,,172,100
44,273,1073,0.0032686509905758936,1,,172,100
45,281,1081,0.003786534040574916,1,,169,100
46,284,1084,0.009353541138753613,1,,171,100
47,298,1098,0.009999702176949699,1,,171,100
48,303,1103,0.008089887725890026,1,,170,100
49,313,1113,0.002327141279635589,1,,171,100
50,323,1123,0.001630562802430959,1,,173,100
51,329,1129,0.009196022302371395,1,,172,100
52,333,1133,0.0006389342468178843,0,,171,100
53,340,1140,0.0013800037388208616,1,,172,100
54,343,1143,0.0021755328418812283,1,,173,100
55,351,1151,0.0064141922021556455,1,,170,100
56,354,1154,0.005398371941656423,1,,169,100
57,359,1159,0.007451521706540727,1,,168,100
58,368,1168,0.004055355024379842,1,,168,100
59,377,1177,0.006418485928483379,1,,166,100
60,381,1181,0.005357360204046574,1,,165,100
61,385,1185,0.0057322942759316965,1,,164,100
62,389,1189,0.007815060299454534,1,,163,100
63,399,1199,0.0073532676174978134,1,,162,100
64,408,1208,0.007375274716601711,1,,161,100
65,411,1211,0.004115750930785554,1,,160,100
66,415,1215,0.006628326246074269,1,,158,100
67,424,1224,0.0010326374876686252,1,,157,100
68,427,1227,0.0016602327749003453,1,,156,100
69,431,1231,0.0018188545471077265,1,,155,100
70,438,1238,0.012907867406569386,1,,154,100
71,446,1246,0.07425911370433678,1,,152,100
72,449,1249,0.08430409097331887,1,,151,100
73,454,1254,0.06903712767121155,1,,150,100
74,459,1259,0.041846676195996975,1,,150,100
75,470,1270,0.04448172957441208,1,,148,100
76,474,1274,0.035064393926944874,1,,147,100
77,478,1278,0.01736738959247439,1,,147,100
78,486,1286,0.031222154432479842,1,,144,100
79,489,1289,0.05947676792862333,1,,143,100
80,493,1293,0.0386892293043133,1,,142,100
81,500,1300,0.06128285537600364,1,,141,100
82,503,1303,0.05115304931375934,1,,140,100
83,509,1309,0.14123804455750313,1,,139,100
84,513,1313,0.06259335523123574,1,,138,100
85,516,1316,0.03869509437261745,1,,137,100
86,520,1320,0.016663009272614864,1,,137,100
87,530,1330,0.1952912504417982,1,,135,100
88,533,1333,0.3126393122354731,1,,134,100
89,537,1337,0.20534185155998905,1,,134,100
90,543,1343,0.21467310569060127,1,,132,100
91,547,1347,0.3948009746764923,1,,130,100
92,559,1359,0.038835472922479686,1,,127,100
93,562,1362,0.046019156928579226,1,,127,100
94,569,1369,0.0930908081457096,1,,125,100
95,574,1374,0.02345287524996372,1,,125,100
96,585,1385,0.4940140220941135,1,,123,100
97,588,1388,0.2865892836200359,1,,122,100
98,591,1391,0.2075059155847489,1,,121,100
99,594,1394,0.2168675010173857,1,,121,100
100,600,1400,0.344967240346218,1,,119,100
101,604,1404,0.5116289892939302,1,,118,100
102,607,1407,0.9598279557087496,1,,116,100
103,622,1422,0.9226470294080773,1,,113,100
104,625,1425,0.8219976127310742,1,,113,100
105,636,1436,0.11499781816054658,1,,110,100
106,639,1439,0.04150141704829706,1,,109,100
107,643,1443,0.003928455206556372,1,,108,100
108,651,1451,0.014543332174792855,1,,107,100
109,655,1455,0.1913697866748846,1,,106,100
110,662,1462,0.3157339087640481,1,,105,100
111,669,1469,0.2959244250457676,1,,104,100
112,672,1472,0.4519857629496303,1,,103,100
113,677,1477,0.5769562935018441,1,,101,100
114,686,1486,0.5512653218626324,1,,100,100
