window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.0018775016750903525,1,,165,100
1,5,805,0.0001821389855319686,0,,164,100
2,15,815,0.0005007367152270077,0,,164,100
3,18,818,0.3810199376096223,1,,163,100
4,22,822,0.03649492322268291,1,,162,100
5,29,829,0.0007652185975400581,0,,161,100
6,32,832,0.0003253057233515747,0,,161,100
7,36,836,0.19092352254325504,1,,161,100
8,43,843,0.10540213900911795,1,,162,100
9,51,851,0.0004338238998619971,0,,160,100
10,54,854,0.4229808481388554,1,,160,100
11,60,860,0.35459750930916717,1,,160,100
12,63,863,8.666209301047055e-05,0,,160,100
13,68,868,7.5308381842588715e-06,0,,161,100
14,70,870,0.24977775065089194,1,,160,100
15,75,875,0.3330773413063887,1,,160,100
16,83,883,0.0007113751127379948,0,,161,100
17,90,890,0.27471919763472163,1,,160,100
18,100,900,0.09814989371389082,1,,162,100
19,109,909,0.00025400085865252543,0,,162,100
20,116,916,8.346654688338018e-05,0,,163,100
21,125,925,0.002801547893307059,1,,164,100
22,138,938,0.020436520762706877,1,,160,100
23,146,946,0.0005581433235937703,0,,162,100
24,150,950,0.00022764951997393347,0,,162,100
25,154,954,0.19612015258992496,1,,162,100
26,161,961,0.24661639408981606,1,,164,100
27,170,970,0.00016154076204815112,0,,164,100
28,178,978,0.01808904569042682,1,,164,100
29,182,982,0.015801019521548137,1,,165,100
30,190,990,0.01583690919491484,1,,167,100
31,199,999,0.2565792888301371,1,,166,100
32,203,1003,0.06494984813987374,1,,165,100
33,210,1010,0.0005682778821575163,0,,167,100
34,214,1014,0.0005172558183366211,0,,167,100
35,224,1024,0.1030415611936811,1,,167,100
36,227,1027,0.006923159429867636,1,,167,100
37,235,1035,0.0007078322930085436,0,,170,100
38,238,1038,0.0006522353062664929,0,,171,100
39,248,1048,0.13436496474368292,1,,169,100
40,252,1052,0.1011878219787406,1,,169,100
41,256,1056,0.00026801988265833784,0,,169,100
42,267,1067,0.07336769203703539,1,,168,100
43,270,1070,0.0009876158622967783,0,,167,100
44,277,1077,0.0021339610248816195,1,,167,100
45,281,1081,0.035757370075609925,1,,167,100
46,291,1091,0.00021346504492043004,0,,169,100
47,296,1096,1.4359628706208948e-05,0,,169,100
48,309,1109,0.054149104751108366,1,,169,100
49,313,1113,0.00010613597418889225,0,,169,100
50,317,1117,3.210486256471476e-06,0,,169,100
51,324,1124,0.00017067391353776465,0,,169,100
52,331,1131,0.10301437402164484,1,,170,100
53,334,1134,0.00042329857766964434,0,,168,100
54,345,1145,0.11466366321581513,1,,166,100
55,353,1153,0.011254418512530612,1,,167,100
56,356,1156,0.11702864584782173,1,,165,100
57,364,1164,0.05833132342910431,1,,164,100
58,367,1167,0.04887147058796474,1,,162,100
59,371,1171,0.0023543354717619693,1,,164,100
60,383,1183,0.03697645239639105,1,,162,100
61,390,1190,0.009762939509337603,1,,162,100
62,397,1197,0.00015753479563305155,0,,164,100
63,405,1205,0.02847614854905941,1,,163,100
64,411,1211,0.03418275600166741,1,,163,100
65,414,1214,0.03405563956179152,1,,163,100
