window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.30383329270953097,1,,218,100
1,4,804,0.6878448699569364,1,,215,100
2,7,807,0.702790057122277,1,,215,100
3,11,811,0.6914013243012133,1,,216,100
4,21,821,0.46704143509060664,1,,218,100
5,25,825,0.028961891261899807,1,,217,100
6,33,833,0.4150907341176554,1,,218,100
7,37,837,0.42460470830291697,1,,219,100
8,44,844,0.6084118850862036,1,,221,100
9,48,848,0.38162871686572486,1,,223,100
10,52,852,0.7191954687946692,1,,223,100
11,60,860,0.5005269259014338,1,,221,100
12,64,864,0.41184688013681403,1,,219,100
13,68,868,0.0061022435496005875,1,,219,100
14,72,872,0.00024301681827282144,0,,219,100
15,78,878,0.008896775528700577,1,,219,100
16,82,882,0.01867474850890252,1,,219,100
17,90,890,0.0335503713369083,1,,219,100
18,96,896,0.12943849669873903,1,,219,100
19,100,900,0.16760521948374393,1,,219,100
20,106,906,0.10720920765484118,1,,217,100
21,110,910,0.11759563955675359,1,,217,100
22,119,919,0.607805751534838,1,,218,100
23,123,923,0.4752436937453256,1,,218,100
24,128,928,0.2548969298127606,1,,216,100
25,132,932,0.6090127042121782,1,,217,100
26,137,937,0.42081387020308325,1,,217,100
27,140,940,0.2018329726002625,1,,217,100
28,144,944,0.23578885604616553,1,,217,100
29,150,950,0.44896999425326567,1,,216,100
30,154,954,0.04073101627076077,1,,216,100
31,158,958,0.1663839425400329,1,,216,100
32,165,965,0.0009036723290947789,0,,217,100
33,168,968,0.0017365793361494876,1,,217,100
34,172,972,0.002255444051499068,1,,218,100
35,178,978,0.13827092020982437,1,,222,100
36,183,983,0.48224513655345,1,,223,100
37,187,987,0.08704336075651344,1,,223,100
38,192,992,0.00038698578510668584,0,,223,100
39,195,995,0.08166694857423672,1,,223,100
40,199,999,0.07233073477670839,1,,222,100
41,208,1008,0.0948156925301546,1,,220,100
42,212,1012,0.3552926873637281,1,,218,100
43,216,1016,0.3104687597058295,1,,218,100
44,220,1020,0.43944138779720643,1,,218,100
45,226,1026,0.33724815952541465,1,,218,100
46,230,1030,0.1958875585995831,1,,218,100
47,236,1036,0.27499625298453056,1,,217,100
48,239,1039,0.2727114043331777,1,,216,100
49,246,1046,0.4017488231323569,1,,216,100
50,250,1050,0.5057322727058258,1,,216,100
51,256,1056,0.18297315282205456,1,,216,100
52,260,1060,0.11485180542719192,1,,215,100
53,268,1068,0.15078568080270702,1,,213,100
54,272,1072,0.04199494394463924,1,,212,100
55,276,1076,0.33662121534133127,1,,212,100
56,280,1080,0.33285549596789715,1,,213,100
57,284,1084,0.019318769396907555,1,,212,100
58,288,1088,0.025780013258048077,1,,211,100
59,295,1095,0.03368822309859328,1,,211,100
60,300,1100,0.10566257023365662,1,,211,100
61,303,1103,0.1143468151793173,1,,213,100
62,307,1107,0.23567692596508028,1,,216,100
63,313,1113,0.2423291854429167,1,,216,100
64,317,1117,0.08592959567092633,1,,216,100
65,321,1121,0.08383353619720467,1,,217,100
66,329,1129,0.003706030479839948,1,,217,100
67,333,1133,0.41911650143972196,1,,217,100
68,339,1139,0.18661636107540977,1,,216,100
69,344,1144,0.12022421914104288,1,,216,100
70,348,1148,0.10739415065771044,1,,217,100
71,359,1159,0.5127280929645508,1,,215,100
72,363,1163,0.221836262688,1,,212,100
73,367,1167,0.08338225840173254,1,,213,100
74,371,1171,0.12866199754750526,1,,212,100
75,378,1178,0.3076346035775829,1,,213,100
76,382,1182,0.19962279090728074,1,,213,100
77,388,1188,0.17861090009269348,1,,214,100
78,393,1193,0.03547245876147706,1,,213,100
79,397,1197,0.09308607891677437,1,,212,100
80,401,1201,0.06730256374542418,1,,214,100
81,410,1210,0.02993640081105015,1,,212,100
82,413,1213,0.13198514255188462,1,,212,100
83,420,1220,0.010769075316370459,1,,212,100
84,427,1227,0.10019320191296932,1,,210,100
85,431,1231,0.06687153997312385,1,,211,100
86,435,1235,0.05726478575083793,1,,212,100
87,443,1243,0.033601814448075445,1,,212,100
88,447,1247,0.016549113205405454,1,,213,100
89,451,1251,0.012521761565002702,1,,214,100
90,459,1259,0.04752239771912263,1,,214,100
91,464,1264,0.1913244126478856,1,,214,100
92,468,1268,0.00841521205919628,1,,213,100
93,474,1274,0.2977386145989039,1,,215,100
94,480,1280,0.28607975142486436,1,,212,100
95,484,1284,0.013323458315292932,1,,211,100
96,488,1288,0.16714499880490946,1,,214,100
97,492,1292,0.537437404778844,1,,216,100
98,498,1298,0.0367923676483683,1,,215,100
99,502,1302,0.004378951072370946,1,,215,100
100,508,1308,0.0984030538746909,1,,215,100
101,511,1311,0.07688472878430058,1,,215,100
102,513,1313,0.08586530315646779,1,,215,100
103,523,1323,0.024746427334042656,1,,214,100
104,526,1326,0.007658052901831039,1,,214,100
105,530,1330,0.011189089965981745,1,,215,100
106,536,1336,0.0024052207397382416,1,,214,100
107,539,1339,0.02727404149893405,1,,214,100
108,543,1343,0.03531981885638878,1,,212,100
109,551,1351,0.06720754309458786,1,,211,100
110,555,1355,0.015303654977607715,1,,211,100
111,559,1359,0.00022494380511602167,0,,212,100
112,562,1362,0.0037121257707008735,1,,211,100
113,569,1369,0.058024155207991056,1,,213,100
114,573,1373,0.018231509109293328,1,,213,100
115,580,1380,0.0018029454989605094,1,,214,100
116,585,1385,0.012460686930799391,1,,213,100
117,589,1389,0.09175468220689288,1,,212,100
118,598,1398,0.07492756463981247,1,,211,100
119,602,1402,0.017893797244600322,1,,208,100
120,606,1406,0.12908843704412568,1,,208,100
121,610,1410,0.1427500378220742,1,,208,100
122,615,1415,0.0012474781594921098,1,,208,100
123,619,1419,0.0016110374774753382,1,,209,100
124,630,1430,0.0025805703945646742,1,,209,100
125,634,1434,0.0014613207407644063,1,,209,100
126,642,1442,0.02350583646633037,1,,210,100
127,646,1446,0.3409596003098581,1,,210,100
128,653,1453,0.002884923944604806,1,,211,100
129,659,1459,0.0014133789315492094,1,,211,100
130,664,1464,0.2247848871948734,1,,210,100
131,670,1470,0.0009472588746465075,0,,215,100
132,674,1474,0.00044633898949840515,0,,217,100
133,684,1484,0.018298932130266548,1,,216,100
134,689,1489,7.67205173211242e-05,0,,216,100
135,693,1493,0.0038257733352663674,1,,216,100
136,700,1500,0.0028166179296460246,1,,217,100
137,706,1506,0.00983353390294379,1,,216,100
138,711,1511,1.284612932336119e-06,0,,216,100
139,717,1517,0.0006347461423983225,0,,217,100
140,721,1521,0.0012715323941103922,1,,217,100
141,732,1532,0.022576248515393325,1,,220,100
142,736,1536,0.13876638280864848,1,,220,100
143,739,1539,9.408634759797306e-05,0,,220,100
144,743,1543,0.010931450818782891,1,,220,100
145,748,1548,0.011278231968456362,1,,218,100
146,752,1552,5.584867565108072e-05,0,,215,100
147,756,1556,0.014072206591132045,1,,215,100
148,760,1560,0.003486029037549167,1,,215,100
149,767,1567,0.001112052892846695,1,,216,100
150,771,1571,0.00030066523217381303,0,,217,100
151,781,1581,0.0057428959629214,1,,216,100
152,789,1589,1.5648107036520834e-06,0,,216,100
153,793,1593,0.0002369909593084379,0,,216,100
154,797,1597,0.0001915929772413497,0,,217,100
155,805,1605,0.0014677191930320156,1,,217,100
156,809,1609,1.1352954795616127e-06,0,,217,100
157,813,1613,0.0007516404115700658,0,,216,100
158,821,1621,1.9647457728583447e-05,0,,215,100
159,826,1626,0.0008113770898895481,0,,216,100
160,830,1630,0.00158090736331172,1,,216,100
161,837,1637,0.0337877035087748,1,,217,100
162,843,1643,0.0203629156551794,1,,214,100
163,847,1647,0.002934864834708024,1,,212,100
164,851,1651,0.017148520636152905,1,,212,100
165,855,1655,0.0012582106774840685,1,,212,100
166,861,1661,0.00015818077423435445,0,,212,100
167,865,1665,0.0003770934483792865,0,,213,100
168,869,1669,7.7814149616464e-05,0,,213,100
169,876,1676,0.0002412495567564454,0,,214,100
170,882,1682,0.0007108620333711108,0,,215,100
171,886,1686,0.001539997102589163,1,,216,100
172,893,1693,0.006261640395065291,1,,216,100
173,896,1696,0.00597331908050417,1,,216,100
174,905,1705,0.004847983925278892,1,,221,100
175,914,1714,0.015893331896344634,1,,221,100
176,919,1719,0.05947549364725358,1,,222,100
177,923,1723,0.02305147827899563,1,,222,100
178,930,1730,0.01817323528459106,1,,221,100
179,934,1734,0.039431278067736074,1,,222,100
180,938,1738,0.009795319519094674,1,,222,100
181,942,1742,0.01660346077900812,1,,222,100
182,946,1746,0.001603146304487801,1,,221,100
183,951,1751,0.007286962751689494,1,,222,100
184,959,1759,0.02822966271113969,1,,222,100
185,963,1763,0.0085671413590647,1,,221,100
186,966,1766,0.04406792023720469,1,,221,100
187,970,1770,0.00033669317908991634,0,,221,100
188,975,1775,1.8355870733223665e-05,0,,218,100
189,980,1780,2.0111613668361754e-06,0,,215,100
190,984,1784,0.005081266565783133,1,,215,100
191,988,1788,0.0031988598634501964,1,,215,100
192,995,1795,2.8213961103735753e-06,0,,216,100
193,999,1799,2.770500004816198e-06,0,,216,100
194,1003,1803,0.0001604667315938458,0,,217,100
195,1008,1808,0.0002885329697828465,0,,220,100
196,1015,1815,7.117544849340698e-07,0,,222,100
197,1019,1819,0.003296835728427589,1,,222,100
198,1023,1823,0.0010708147200477619,1,,223,100
199,1033,1833,2.090610953562917e-05,0,,224,100
200,1042,1842,1.3510250499887676e-06,0,,224,100
201,1045,1845,0.0005326482635512556,0,,223,100
202,1049,1849,4.044962709742256e-05,0,,223,100
203,1056,1856,1.4506226344683951e-06,0,,223,100
204,1063,1863,0.021443252158901614,1,,223,100
205,1066,1866,0.015425702811600429,1,,224,100
206,1072,1872,0.00015883106775706332,0,,222,100
207,1076,1876,0.11556377915674887,1,,222,100
208,1080,1880,0.11210067479547949,1,,225,100
209,1084,1884,0.0024628652602842133,1,,224,100
210,1089,1889,7.013714099583467e-05,0,,224,100
211,1092,1892,0.172464111439886,1,,223,100
212,1096,1896,0.4339678187231075,1,,223,100
213,1103,1903,0.4119939187101572,1,,221,100
214,1108,1908,0.007682218460690069,1,,218,100
215,1112,1912,0.0003272310846720713,0,,218,100
216,1116,1916,0.00020517718124261084,0,,217,100
217,1122,1922,0.2574026457525611,1,,218,100
218,1126,1926,9.458636483768909e-05,0,,218,100
219,1130,1930,5.960601633166711e-05,0,,218,100
220,1136,1936,0.012150547700624783,1,,218,100
221,1142,1942,0.23518109056317604,1,,219,100
222,1148,1948,0.0015718090220191358,1,,224,100
223,1155,1955,0.01034204480909154,1,,223,100
224,1159,1959,0.014196272779443846,1,,224,100
225,1164,1964,0.010631650866070581,1,,224,100
226,1173,1973,0.006039636386980694,1,,224,100
227,1179,1979,0.0005919996871285765,0,,223,100
228,1183,1983,0.00011127508956073485,0,,223,100
229,1187,1987,0.002138182536414524,1,,223,100
230,1193,1993,0.1624152283129551,1,,223,100
231,1198,1998,0.12828970973869241,1,,224,100
232,1207,2007,0.0001178634884260741,0,,224,100
233,1213,2013,0.032347631171743156,1,,226,100
