window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.9276839619171785,1,,137,100
1,11,811,0.9588739159046084,1,,136,100
2,14,814,0.0005052778871714523,0,,135,100
3,19,819,0.9654394196704894,1,,133,100
4,25,825,0.0007867587298038776,0,,131,100
5,33,833,0.953689109928949,1,,129,100
6,40,840,0.8475839585452002,1,,128,100
7,51,851,0.9764993805169191,1,,126,100
8,56,856,0.9485043039532893,1,,125,100
9,65,865,0.8852582981650382,1,,124,100
10,69,869,0.002446864240860694,1,,123,100
11,73,873,0.9419388001874085,1,,122,100
12,81,881,0.8523853194944337,1,,121,100
13,86,886,0.947123606163068,1,,120,100
14,89,889,0.004140757433745809,1,,119,100
15,97,897,0.8022755765954399,1,,118,100
16,101,901,0.9367539942117489,1,,117,100
17,104,904,0.7656240979827598,1,,117,100
18,111,911,0.947123606163068,1,,116,100
19,120,920,1.0,1,,113,100
20,129,929,0.8866389959552597,1,,112,100
21,134,934,0.004852390035223955,1,,111,100
22,138,938,0.9412484512922978,1,,110,100
23,144,944,0.8936448697912583,1,,109,100
24,154,954,0.9322595371312001,1,,108,100
25,161,961,0.004901527687415382,1,,107,100
26,165,965,0.9353732964215276,1,,106,100
27,170,970,0.9823745353876893,1,,105,100
28,181,981,0.8741402634684101,1,,104,100
29,188,988,0.0017162795339169886,1,,103,100
30,195,995,0.45906445795453366,1,,102,100
31,198,998,0.9882496902584595,1,,101,100
32,202,1002,0.892433032692557,1,,101,100
