window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,1.8185351291136023e-13,0,,165,100
1,5,805,4.686798354088091e-15,0,,164,100
2,15,815,1.0808408171363707e-16,0,,164,100
3,18,818,2.1268425394904136e-15,0,,163,100
4,22,822,5.962281338875833e-16,0,,162,100
5,29,829,2.333223723676069e-17,0,,161,100
6,32,832,1.732067517684818e-16,0,,161,100
7,36,836,4.243045056290803e-18,0,,161,100
8,43,843,1.9616688921081285e-17,0,,162,100
9,51,851,9.921645447327196e-16,0,,160,100
10,54,854,1.0303494659780608e-16,0,,160,100
11,60,860,3.110958089523225e-16,0,,160,100
12,63,863,3.563127213448995e-17,0,,160,100
13,68,868,2.3255757813277836e-18,0,,161,100
14,70,870,9.608369395217496e-18,0,,160,100
15,75,875,7.21620030471746e-17,0,,160,100
16,83,883,3.64168902771227e-17,0,,161,100
17,90,890,1.5328329811519108e-14,0,,160,100
18,100,900,3.6606456981750744e-15,0,,162,100
19,109,909,1.3467281293237011e-12,0,,162,100
20,116,916,2.7779431815688895e-14,0,,163,100
21,125,925,1.9963851506709717e-15,0,,164,100
22,138,938,5.8337545676870675e-12,0,,160,100
23,146,946,8.224184272729444e-10,0,,162,100
24,150,950,1.0161299384434507e-11,0,,162,100
25,154,954,1.1546472246190986e-10,0,,162,100
26,161,961,1.2248477762769635e-10,0,,164,100
27,170,970,1.599398381215214e-11,0,,164,100
28,178,978,1.141012703156758e-11,0,,164,100
29,182,982,1.561220492724361e-12,0,,165,100
30,190,990,7.374693579503651e-13,0,,167,100
31,199,999,1.8017944220067003e-11,0,,166,100
32,203,1003,7.149355056853681e-12,0,,165,100
33,210,1010,3.72341893353627e-11,0,,167,100
34,214,1014,1.8613899296199034e-11,0,,167,100
35,224,1024,2.7510701448773456e-12,0,,167,100
36,227,1027,1.958875881434666e-13,0,,167,100
37,235,1035,3.203456133231015e-13,0,,170,100
38,238,1038,3.735059702335932e-13,0,,171,100
39,248,1048,3.537540612059857e-13,0,,169,100
40,252,1052,1.786897837724372e-12,0,,169,100
41,256,1056,1.4607527395594784e-12,0,,169,100
42,267,1067,2.994487228052478e-13,0,,168,100
43,270,1070,3.195245268385814e-12,0,,167,100
44,277,1077,1.92338853344947e-12,0,,167,100
45,281,1081,1.8135548773753805e-13,0,,167,100
46,291,1091,1.5034609024598253e-13,0,,169,100
47,296,1096,1.3327209944354723e-13,0,,169,100
48,309,1109,2.2015163496072637e-12,0,,169,100
49,313,1113,1.932378795015879e-15,0,,169,100
50,317,1117,8.764316137108192e-16,0,,169,100
51,324,1124,1.160938312926853e-15,0,,169,100
52,331,1131,1.4332005325946502e-14,0,,170,100
53,334,1134,1.161615267105489e-13,0,,168,100
54,345,1145,1.6914682765137775e-18,0,,166,100
55,353,1153,1.8351289955452158e-15,0,,167,100
56,356,1156,1.140727157852031e-16,0,,165,100
57,364,1164,1.4733730838625758e-16,0,,164,100
58,367,1167,1.8684121542589846e-15,0,,162,100
59,371,1171,2.9035092213488414e-19,0,,164,100
60,383,1183,9.053959706581077e-17,0,,162,100
61,390,1190,1.1495599983658067e-15,0,,162,100
