window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,3.03852592290383e-08,0,,218,100
1,4,804,1.0547202092373062e-06,0,,215,100
2,7,807,4.6667241195836187e-07,0,,215,100
3,11,811,4.358391826753016e-07,0,,216,100
4,21,821,1.0254444905268943e-06,0,,218,100
5,25,825,4.44567679760682e-08,0,,217,100
6,33,833,7.727779073233488e-07,0,,218,100
7,37,837,4.209389014492011e-07,0,,219,100
8,44,844,9.943817628000697e-08,0,,221,100
9,48,848,1.928710468362001e-07,0,,223,100
10,52,852,2.429912587007681e-08,0,,223,100
11,60,860,3.864046971716935e-07,0,,221,100
12,64,864,9.460769264767692e-08,0,,219,100
13,68,868,8.837540949517389e-10,0,,219,100
14,72,872,1.046879766319118e-09,0,,219,100
15,78,878,2.7150208950495278e-11,0,,219,100
16,82,882,5.0143913960874885e-11,0,,219,100
17,90,890,4.72353421643954e-11,0,,219,100
18,96,896,6.735227738587046e-11,0,,219,100
19,100,900,1.606859657305898e-11,0,,219,100
20,106,906,9.041595529594178e-11,0,,217,100
21,110,910,1.1603793224079706e-10,0,,217,100
22,119,919,1.295719527904564e-09,0,,218,100
23,123,923,6.446435828796518e-09,0,,218,100
24,128,928,1.0514660028022791e-09,0,,216,100
25,132,932,2.076101727126528e-08,0,,217,100
26,137,937,2.1014025287747496e-07,0,,217,100
27,140,940,8.107137175598374e-08,0,,217,100
28,144,944,2.346590135945516e-09,0,,217,100
29,150,950,1.361020684488023e-08,0,,216,100
30,154,954,7.287828505871639e-10,0,,216,100
31,158,958,2.532982731165128e-09,0,,216,100
32,165,965,7.30757969089726e-12,0,,217,100
33,168,968,1.711898748516886e-10,0,,217,100
34,172,972,6.232374568196108e-11,0,,218,100
35,178,978,5.784037394136475e-09,0,,222,100
36,183,983,7.241461633530761e-10,0,,223,100
37,187,987,1.7366703007108034e-10,0,,223,100
38,192,992,8.369760139307314e-11,0,,223,100
39,195,995,4.021672463195899e-10,0,,223,100
40,199,999,6.384195855641869e-11,0,,222,100
41,208,1008,3.438493745671781e-11,0,,220,100
42,212,1012,6.99277953392457e-11,0,,218,100
43,216,1016,5.040577108389633e-10,0,,218,100
44,220,1020,1.6550183787764976e-10,0,,218,100
45,226,1026,1.0142687359013928e-11,0,,218,100
46,230,1030,5.347660617801018e-12,0,,218,100
47,236,1036,6.642055381786297e-11,0,,217,100
48,239,1039,2.5268041168805958e-09,0,,216,100
49,246,1046,2.6377571681138056e-10,0,,216,100
50,250,1050,1.273707777117996e-09,0,,216,100
51,256,1056,5.644592372321458e-08,0,,216,100
52,260,1060,2.2433754826238354e-09,0,,215,100
53,268,1068,1.6290993368683497e-06,0,,213,100
54,272,1072,7.349405556541212e-09,0,,212,100
55,276,1076,2.4422850393887246e-08,0,,212,100
56,280,1080,9.336934195713191e-09,0,,213,100
57,284,1084,1.267153958983184e-10,0,,212,100
58,288,1088,2.2828486435443043e-10,0,,211,100
59,295,1095,3.6139203977254204e-11,0,,211,100
60,300,1100,4.586881383545361e-11,0,,211,100
61,303,1103,5.5834897487637455e-09,0,,213,100
62,307,1107,1.668143292820445e-08,0,,216,100
63,313,1113,2.5660199985962627e-09,0,,216,100
64,317,1117,1.48285180122394e-09,0,,216,100
65,321,1121,2.5556978353027586e-09,0,,217,100
66,329,1129,3.259741546091149e-11,0,,217,100
67,333,1133,2.6788401630096207e-10,0,,217,100
68,339,1139,8.163533516330953e-10,0,,216,100
69,344,1144,1.9582116347591068e-09,0,,216,100
70,348,1148,6.906406915634703e-10,0,,217,100
71,359,1159,3.987447297455483e-12,0,,215,100
72,363,1163,3.135113568468544e-10,0,,212,100
73,367,1167,2.9337387571276063e-10,0,,213,100
74,371,1171,8.183065620782055e-09,0,,212,100
75,378,1178,5.7118363091016396e-09,0,,213,100
76,382,1182,1.8841356299904997e-09,0,,213,100
77,388,1188,1.6884769913126237e-09,0,,214,100
78,393,1193,6.162100018816127e-10,0,,213,100
79,397,1197,1.323259687071467e-09,0,,212,100
80,401,1201,2.3153733250913946e-09,0,,214,100
81,410,1210,1.9926549739826284e-10,0,,212,100
82,413,1213,6.319637663153807e-10,0,,212,100
83,420,1220,1.1199684066620139e-11,0,,212,100
84,427,1227,3.132322510594128e-11,0,,210,100
85,431,1231,6.537711821707943e-12,0,,211,100
86,435,1235,7.209178543388212e-12,0,,212,100
87,443,1243,1.0483151925865094e-13,0,,212,100
88,447,1247,1.9476649709746126e-13,0,,213,100
89,451,1251,3.3915049530411556e-12,0,,214,100
90,459,1259,3.87105940951117e-12,0,,214,100
91,464,1264,1.6238112271978905e-13,0,,214,100
92,468,1268,4.332100947455806e-13,0,,213,100
93,474,1274,1.617957082077213e-13,0,,215,100
94,480,1280,1.8468653953979776e-09,0,,212,100
95,484,1284,1.5501012695376533e-09,0,,211,100
96,488,1288,6.449634517483332e-08,0,,214,100
97,492,1292,2.4122700932120114e-10,0,,216,100
98,498,1298,3.7960925537870556e-11,0,,215,100
99,502,1302,3.545655820585505e-11,0,,215,100
100,508,1308,2.5681680069637963e-13,0,,215,100
101,511,1311,1.4744332043559156e-13,0,,215,100
102,513,1313,7.067106423911958e-14,0,,215,100
103,523,1323,4.91945737250808e-15,0,,214,100
104,526,1326,6.20094906836041e-14,0,,214,100
105,530,1330,8.424293738028351e-14,0,,215,100
106,536,1336,2.3289918191193236e-15,0,,214,100
107,539,1339,1.5215462384708424e-14,0,,214,100
108,543,1343,1.6481543237773413e-15,0,,212,100
109,551,1351,9.76051340837578e-15,0,,211,100
110,555,1355,3.048040107600804e-14,0,,211,100
111,559,1359,3.4332312703175143e-15,0,,212,100
112,562,1362,3.323979968910239e-15,0,,211,100
113,569,1369,2.1737002493761704e-16,0,,213,100
114,573,1373,4.7261825210822554e-17,0,,213,100
115,580,1380,2.718419409273729e-16,0,,214,100
116,585,1385,5.886818312579577e-17,0,,213,100
117,589,1389,8.980857695936113e-17,0,,212,100
118,598,1398,5.326480978648694e-14,0,,211,100
119,602,1402,5.92177837283909e-12,0,,208,100
120,606,1406,2.4493169621098817e-11,0,,208,100
121,610,1410,2.455795965953209e-11,0,,208,100
122,615,1415,1.1614376835556593e-09,0,,208,100
123,619,1419,2.1555334337754407e-10,0,,209,100
124,630,1430,5.89712987522144e-11,0,,209,100
125,634,1434,6.380313202084073e-11,0,,209,100
126,642,1442,2.485884369113466e-13,0,,210,100
127,646,1446,9.252716860102972e-12,0,,210,100
128,653,1453,3.6242837716919825e-12,0,,211,100
129,659,1459,4.2704868870897786e-13,0,,211,100
130,664,1464,1.0762202161710266e-13,0,,210,100
131,670,1470,7.501687374031702e-13,0,,215,100
132,674,1474,5.365768141516259e-13,0,,217,100
133,684,1484,4.1703139939650144e-14,0,,216,100
134,689,1489,7.859263614819766e-15,0,,216,100
135,693,1493,3.274559492488912e-15,0,,216,100
136,700,1500,4.7059187500893557e-17,0,,217,100
137,706,1506,1.5489492455701043e-13,0,,216,100
138,711,1511,1.0366219001974238e-14,0,,216,100
139,717,1517,4.174674459658109e-15,0,,217,100
140,721,1521,4.700269270160534e-15,0,,217,100
141,732,1532,8.46530627298541e-14,0,,220,100
142,736,1536,2.2394868702447026e-10,0,,220,100
143,739,1539,5.577265048090909e-12,0,,220,100
144,743,1543,2.486761532398182e-12,0,,220,100
145,748,1548,4.4142702283803863e-13,0,,218,100
146,752,1552,1.217760240639545e-11,0,,215,100
147,756,1556,2.1153180958610797e-09,0,,215,100
148,760,1560,4.311259139578401e-10,0,,215,100
149,767,1567,3.2333888744603987e-13,0,,216,100
150,771,1571,5.030425346121024e-13,0,,217,100
151,781,1581,1.629432364220443e-14,0,,216,100
152,789,1589,1.952836430191203e-12,0,,216,100
153,793,1593,1.6125961616125495e-14,0,,216,100
154,797,1597,1.2071467670456968e-14,0,,217,100
155,805,1605,2.6105317521379092e-14,0,,217,100
156,809,1609,3.977757034971861e-16,0,,217,100
157,813,1613,4.7845140967887415e-15,0,,216,100
158,821,1621,1.9868696977788924e-17,0,,215,100
159,826,1626,9.92943876635126e-16,0,,216,100
160,830,1630,1.1608697137008517e-16,0,,216,100
161,837,1637,8.393247108090217e-14,0,,217,100
